Metric,Average,Std Dev,Min,Max
Train MAE H4,0.003518,0.000000,0.003518,0.003518
Train MAE H8,0.005014,0.000000,0.005014,0.005014
Train MAE H12,0.004434,0.000000,0.004434,0.004434
Train MAE H16,0.006352,0.000000,0.006352,0.006352
Train MAE H20,0.005263,0.000000,0.005263,0.005263
Train MAE H24,0.006121,0.000000,0.006121,0.006121
Train Naive MAE H4,0.001684,0.000000,0.001684,0.001684
Train Naive MAE H8,0.002511,0.000000,0.002511,0.002511
Train Naive MAE H12,0.003158,0.000000,0.003158,0.003158
Train Naive MAE H16,0.003724,0.000000,0.003724,0.003724
Train Naive MAE H20,0.004235,0.000000,0.004235,0.004235
Train Naive MAE H24,0.004791,0.000000,0.004791,0.004791
Train R2 H4,0.930804,0.000000,0.930804,0.930804
Train R2 H8,0.874189,0.000000,0.874189,0.874189
Train R2 H12,0.891767,0.000000,0.891767,0.891767
Train R2 H16,0.802157,0.000000,0.802157,0.802157
Train R2 H20,0.856606,0.000000,0.856606,0.856606
Train R2 H24,0.808551,0.000000,0.808551,0.808551
Train Uncertainty H4,0.011295,0.000000,0.011295,0.011295
Train Uncertainty H8,0.011664,0.000000,0.011664,0.011664
Train Uncertainty H12,0.011416,0.000000,0.011416,0.011416
Train Uncertainty H16,0.011402,0.000000,0.011402,0.011402
Train Uncertainty H20,0.011054,0.000000,0.011054,0.011054
Train Uncertainty H24,0.011456,0.000000,0.011456,0.011456
Train SNR H4,115.141412,0.000000,115.141412,115.141412
Train SNR H8,111.884248,0.000000,111.884248,111.884248
Train SNR H12,114.091959,0.000000,114.091959,114.091959
Train SNR H16,114.578897,0.000000,114.578897,114.578897
Train SNR H20,117.779944,0.000000,117.779944,117.779944
Train SNR H24,113.901996,0.000000,113.901996,113.901996
Validation MAE H4,0.016664,0.000000,0.016664,0.016664
Validation MAE H8,0.017514,0.000000,0.017514,0.017514
Validation MAE H12,0.015566,0.000000,0.015566,0.015566
Validation MAE H16,0.011703,0.000000,0.011703,0.011703
Validation MAE H20,0.012019,0.000000,0.012019,0.012019
Validation MAE H24,0.011431,0.000000,0.011431,0.011431
Validation Naive MAE H4,0.001488,0.000000,0.001488,0.001488
Validation Naive MAE H8,0.002240,0.000000,0.002240,0.002240
Validation Naive MAE H12,0.002837,0.000000,0.002837,0.002837
Validation Naive MAE H16,0.003357,0.000000,0.003357,0.003357
Validation Naive MAE H20,0.003833,0.000000,0.003833,0.003833
Validation Naive MAE H24,0.004263,0.000000,0.004263,0.004263
Validation R2 H4,0.532932,0.000000,0.532932,0.532932
Validation R2 H8,0.486417,0.000000,0.486417,0.486417
Validation R2 H12,0.586140,0.000000,0.586140,0.586140
Validation R2 H16,0.761918,0.000000,0.761918,0.761918
Validation R2 H20,0.739745,0.000000,0.739745,0.739745
Validation R2 H24,0.770687,0.000000,0.770687,0.770687
Validation Uncertainty H4,0.038793,0.000000,0.038793,0.038793
Validation Uncertainty H8,0.039857,0.000000,0.039857,0.039857
Validation Uncertainty H12,0.039571,0.000000,0.039571,0.039571
Validation Uncertainty H16,0.038122,0.000000,0.038122,0.038122
Validation Uncertainty H20,0.038352,0.000000,0.038352,0.038352
Validation Uncertainty H24,0.037062,0.000000,0.037062,0.037062
Validation SNR H4,30.246384,0.000000,30.246384,30.246384
Validation SNR H8,29.433651,0.000000,29.433651,29.433651
Validation SNR H12,29.707749,0.000000,29.707749,29.707749
Validation SNR H16,31.027974,0.000000,31.027974,31.027974
Validation SNR H20,30.785750,0.000000,30.785750,30.785750
Validation SNR H24,31.925216,0.000000,31.925216,31.925216
Test MAE H4,0.022032,0.000000,0.022032,0.022032
Test MAE H8,0.024480,0.000000,0.024480,0.024480
Test MAE H12,0.019870,0.000000,0.019870,0.019870
Test MAE H16,0.013516,0.000000,0.013516,0.013516
Test MAE H20,0.014056,0.000000,0.014056,0.014056
Test MAE H24,0.012797,0.000000,0.012797,0.012797
Test Naive MAE H4,0.000979,0.000000,0.000979,0.000979
Test Naive MAE H8,0.001446,0.000000,0.001446,0.001446
Test Naive MAE H12,0.001837,0.000000,0.001837,0.001837
Test Naive MAE H16,0.002172,0.000000,0.002172,0.002172
Test Naive MAE H20,0.002448,0.000000,0.002448,0.002448
Test Naive MAE H24,0.002702,0.000000,0.002702,0.002702
Test R2 H4,-2.469891,0.000000,-2.469891,-2.469891
Test R2 H8,-3.203168,0.000000,-3.203168,-3.203168
Test R2 H12,-1.958968,0.000000,-1.958968,-1.958968
Test R2 H16,-0.524938,0.000000,-0.524938,-0.524938
Test R2 H20,-0.640375,0.000000,-0.640375,-0.640375
Test R2 H24,-0.382258,0.000000,-0.382258,-0.382258
Test Uncertainty H4,0.060290,0.000000,0.060290,0.060290
Test Uncertainty H8,0.061881,0.000000,0.061881,0.061881
Test Uncertainty H12,0.060366,0.000000,0.060366,0.060366
Test Uncertainty H16,0.059050,0.000000,0.059050,0.059050
Test Uncertainty H20,0.059822,0.000000,0.059822,0.059822
Test Uncertainty H24,0.057782,0.000000,0.057782,0.057782
Test SNR H4,18.222974,0.000000,18.222974,18.222974
Test SNR H8,17.711747,0.000000,17.711747,17.711747
Test SNR H12,18.244132,0.000000,18.244132,18.244132
Test SNR H16,18.806192,0.000000,18.806192,18.806192
Test SNR H20,18.553997,0.000000,18.553997,18.553997
Test SNR H24,19.244279,0.000000,19.244279,19.244279
