Metric,Average,Std Dev,Max,Min
Training MAE,0.004136884119361639,3.736068538273685e-05,0.004189986269921064,0.0041036298498511314
Training R²,0.9840886712074279,0.00016186401512728214,0.9842402935028076,0.9838519096374512
Training Uncertainty,0.0011487489100545645,0.0002550814824644476,0.0014266124926507473,0.0007948751444928348
Training SNR,288.5190124511719,70.33893585205078,393.7791748046875,219.7089080810547
Validation MAE,0.003944072872400284,4.386097134556621e-05,0.004006990697234869,0.003906079102307558
Validation R²,0.9987302541732788,1.4599872730091213e-05,0.9987442493438721,0.9987096190452576
Validation Uncertainty,0.0011368675623089075,0.0002456706133671105,0.0013879600446671247,0.0008002157555893064
Validation SNR,190.9529571533203,45.11195373535156,256.79217529296875,148.3380584716797
Test MAE,0.0032885230612009764,2.0647927158279344e-05,0.003316400106996298,0.0032639370765537024
Test R²,0.996258556842804,2.9207224733161307e-05,0.9962907433509827,0.9962179064750671
Test Uncertainty,0.0011081686243414879,0.00024370917526539415,0.001396526931785047,0.0007561059319414198
Test SNR,246.51290893554688,59.7748908996582,341.4476318359375,185.1644287109375
