Metric,Average,Std Dev,Max,Min
Training MAE,0.004330775234848261,0.0002462826087139547,0.004778026603162289,0.0041093225590884686
Training R²,0.981601893901825,0.0014354550013764625,0.9828138947486877,0.9789315462112427
Training Uncertainty,0.0053476132452487946,0.006526137236505747,0.018356531858444214,0.0010666738962754607
Training SNR,138.87745666503906,88.01827239990234,292.38409423828125,17.09800148010254
Validation MAE,0.004517294466495514,0.0007092752493917942,0.00593151431530714,0.004092073068022728
Validation R²,0.9984503388404846,0.0003562021466620037,0.998649537563324,0.9977388381958008
Validation Uncertainty,0.01313529908657074,0.011048823595046997,0.034396328032016754,0.0026216330006718636
Validation SNR,30.2899112701416,25.18435287475586,78.52867126464844,6.030673027038574
Test MAE,0.00354953296482563,0.0003620683855842799,0.004258401226252317,0.0032953789923340082
Test R²,0.9956602811813354,0.0006520186780167218,0.9960952401161194,0.9943758845329285
Test Uncertainty,0.0060881758108735085,0.006663608364760876,0.01939951442182064,0.002261212794110179
Test SNR,79.62647247314453,35.035823822021484,115.7074203491211,13.534759521484375
