Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000800,0.000033,0.000772,0.000846
Train MAE H2,0.001023,0.000066,0.000963,0.001115
Train MAE H3,0.001126,0.000263,0.000784,0.001423
Train MAE H4,0.001048,0.000201,0.000872,0.001330
Train MAE H5,0.001183,0.000302,0.000921,0.001606
Train MAE H6,0.001051,0.000519,0.000463,0.001726
Train R2 H1,0.997063,0.000269,0.996686,0.997292
Train R2 H2,0.995450,0.000653,0.994548,0.996071
Train R2 H3,0.994411,0.002580,0.991264,0.997584
Train R2 H4,0.995547,0.001848,0.992950,0.997108
Train R2 H5,0.994231,0.003141,0.989811,0.996824
Train R2 H6,0.994707,0.004496,0.988517,0.999061
Train Uncertainty H1,0.000381,0.000034,0.000342,0.000424
Train Uncertainty H2,0.000579,0.000023,0.000548,0.000602
Train Uncertainty H3,0.000712,0.000029,0.000675,0.000746
Train Uncertainty H4,0.000854,0.000053,0.000787,0.000918
Train Uncertainty H5,0.000956,0.000039,0.000905,0.001001
Train Uncertainty H6,0.001019,0.000088,0.000935,0.001141
Train SNR H1,3200.629639,279.330170,2855.533691,3539.669678
Train SNR H2,2092.257812,82.982460,2010.591675,2206.077881
Train SNR H3,1700.624878,70.806870,1620.811523,1792.903198
Train SNR H4,1421.108276,89.915039,1318.033203,1537.133911
Train SNR H5,1267.414917,52.746178,1208.804688,1336.680908
Train SNR H6,1195.730957,98.738876,1060.406128,1293.216797
Validation MAE H1,0.000796,0.000070,0.000719,0.000888
Validation MAE H2,0.001068,0.000133,0.000969,0.001255
Validation MAE H3,0.001117,0.000226,0.000830,0.001383
Validation MAE H4,0.001105,0.000217,0.000934,0.001412
Validation MAE H5,0.001323,0.000379,0.000959,0.001845
Validation MAE H6,0.001269,0.000374,0.000873,0.001770
Validation R2 H1,0.999846,0.000022,0.999818,0.999871
Validation R2 H2,0.999737,0.000053,0.999662,0.999776
Validation R2 H3,0.999701,0.000122,0.999549,0.999847
Validation R2 H4,0.999735,0.000105,0.999586,0.999813
Validation R2 H5,0.999588,0.000261,0.999222,0.999809
Validation R2 H6,0.999634,0.000199,0.999360,0.999826
Validation Uncertainty H1,0.001147,0.000483,0.000670,0.001809
Validation Uncertainty H2,0.001226,0.000279,0.001003,0.001619
Validation Uncertainty H3,0.001252,0.000164,0.001085,0.001475
Validation Uncertainty H4,0.001362,0.000343,0.001003,0.001823
Validation Uncertainty H5,0.001350,0.000446,0.000999,0.001980
Validation Uncertainty H6,0.001477,0.000395,0.001135,0.002030
Validation SNR H1,1286.152344,479.735992,691.357117,1866.187378
Validation SNR H2,1068.147339,210.700424,772.308838,1246.916260
Validation SNR H3,1015.443054,126.336700,847.623291,1152.445679
Validation SNR H4,975.088379,229.641266,685.745178,1247.482544
Validation SNR H5,1017.004883,274.898285,631.291504,1251.962646
Validation SNR H6,902.032043,207.449158,615.825256,1100.965332
Test MAE H1,0.000658,0.000034,0.000628,0.000705
Test MAE H2,0.000828,0.000057,0.000781,0.000908
Test MAE H3,0.000906,0.000213,0.000632,0.001150
Test MAE H4,0.000849,0.000178,0.000702,0.001101
Test MAE H5,0.000987,0.000275,0.000730,0.001368
Test MAE H6,0.000855,0.000426,0.000387,0.001418
Test R2 H1,0.999432,0.000058,0.999352,0.999486
Test R2 H2,0.999147,0.000131,0.998963,0.999263
Test R2 H3,0.998947,0.000490,0.998347,0.999547
Test R2 H4,0.999141,0.000383,0.998601,0.999452
Test R2 H5,0.998831,0.000676,0.997883,0.999411
Test R2 H6,0.998970,0.000895,0.997731,0.999814
Test Uncertainty H1,0.000388,0.000092,0.000305,0.000516
Test Uncertainty H2,0.000547,0.000039,0.000515,0.000602
Test Uncertainty H3,0.000625,0.000017,0.000609,0.000648
Test Uncertainty H4,0.000773,0.000110,0.000663,0.000923
Test Uncertainty H5,0.000826,0.000095,0.000751,0.000959
Test Uncertainty H6,0.000891,0.000099,0.000813,0.001030
Test SNR H1,3213.710693,670.590393,2296.891602,3882.166260
Test SNR H2,2176.354248,148.041702,1968.282593,2300.492920
Test SNR H3,1896.261719,49.576431,1828.078003,1944.494629
Test SNR H4,1560.893555,209.030914,1282.096558,1785.409912
Test SNR H5,1451.635742,154.415802,1234.077759,1576.778198
Test SNR H6,1343.444702,138.184372,1148.947754,1457.142944
