Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000950,0.000001,0.000949,0.000952
Train MAE H2,0.001411,0.000004,0.001405,0.001415
Train MAE H3,0.001736,0.000005,0.001729,0.001743
Train MAE H4,0.002007,0.000014,0.001988,0.002018
Train MAE H5,0.002228,0.000009,0.002222,0.002241
Train MAE H6,0.002421,0.000030,0.002384,0.002458
Train R2 H1,0.996288,0.000018,0.996275,0.996313
Train R2 H2,0.992402,0.000030,0.992368,0.992442
Train R2 H3,0.988639,0.000066,0.988578,0.988731
Train R2 H4,0.985368,0.000178,0.985186,0.985609
Train R2 H5,0.982341,0.000204,0.982053,0.982510
Train R2 H6,0.979796,0.000463,0.979250,0.980381
Train Uncertainty H1,0.000364,0.000085,0.000292,0.000483
Train Uncertainty H2,0.000410,0.000096,0.000342,0.000546
Train Uncertainty H3,0.000496,0.000153,0.000361,0.000710
Train Uncertainty H4,0.000549,0.000155,0.000400,0.000763
Train Uncertainty H5,0.000610,0.000134,0.000503,0.000800
Train Uncertainty H6,0.000691,0.000094,0.000614,0.000824
Train SNR H1,3525.446533,716.114868,2531.111328,4189.059082
Train SNR H2,3131.547852,630.956360,2239.244873,3580.077393
Train SNR H3,2681.056885,703.351379,1722.335449,3389.970947
Train SNR H4,2395.455811,600.768127,1603.798950,3058.385498
Train SNR H5,2092.714600,400.904602,1529.627808,2431.587891
Train SNR H6,1800.625366,224.741730,1485.124878,1991.659912
Validation MAE H1,0.002360,0.000774,0.001717,0.003449
Validation MAE H2,0.002613,0.000674,0.002024,0.003556
Validation MAE H3,0.003033,0.000956,0.002279,0.004383
Validation MAE H4,0.003037,0.000273,0.002687,0.003352
Validation MAE H5,0.002935,0.000311,0.002528,0.003282
Validation MAE H6,0.003762,0.000404,0.003194,0.004100
Validation R2 H1,0.998680,0.000896,0.997416,0.999390
Validation R2 H2,0.998537,0.000777,0.997449,0.999214
Validation R2 H3,0.997890,0.001439,0.995857,0.998983
Validation R2 H4,0.998202,0.000322,0.997792,0.998580
Validation R2 H5,0.998324,0.000325,0.997962,0.998751
Validation R2 H6,0.997176,0.000570,0.996726,0.997980
Validation Uncertainty H1,0.010029,0.003726,0.006852,0.015258
Validation Uncertainty H2,0.009141,0.003013,0.005556,0.012927
Validation Uncertainty H3,0.010527,0.003634,0.007531,0.015642
Validation Uncertainty H4,0.010305,0.002360,0.008102,0.013579
Validation Uncertainty H5,0.008848,0.002447,0.005771,0.011757
Validation Uncertainty H6,0.011660,0.003003,0.007659,0.014896
Validation SNR H1,140.411041,42.584900,82.051910,182.469620
Validation SNR H2,153.893478,53.205105,96.888054,224.928070
Validation SNR H3,131.516159,37.257496,79.782196,166.036438
Validation SNR H4,127.220100,25.974997,92.115990,154.143738
Validation SNR H5,153.887299,46.248024,106.320229,216.546921
Validation SNR H6,115.898048,34.066963,83.851418,163.075775
Test MAE H1,0.001315,0.000442,0.000995,0.001940
Test MAE H2,0.001412,0.000217,0.001172,0.001697
Test MAE H3,0.001761,0.000434,0.001449,0.002374
Test MAE H4,0.001896,0.000219,0.001719,0.002205
Test MAE H5,0.002067,0.000313,0.001826,0.002509
Test MAE H6,0.002455,0.000247,0.002164,0.002769
Test R2 H1,0.996982,0.002525,0.993411,0.998795
Test R2 H2,0.997349,0.000945,0.996074,0.998333
Test R2 H3,0.995757,0.002481,0.992248,0.997526
Test R2 H4,0.995630,0.001135,0.994028,0.996529
Test R2 H5,0.994857,0.001704,0.992449,0.996130
Test R2 H6,0.993058,0.001460,0.991123,0.994650
Test Uncertainty H1,0.004693,0.002717,0.002715,0.008534
Test Uncertainty H2,0.003738,0.001535,0.002073,0.005778
Test Uncertainty H3,0.004031,0.002047,0.002453,0.006923
Test Uncertainty H4,0.004514,0.001764,0.003248,0.007009
Test Uncertainty H5,0.003891,0.001716,0.002641,0.006318
Test Uncertainty H6,0.004419,0.001321,0.003441,0.006286
Test SNR H1,331.101471,136.237457,138.698547,436.067169
Test SNR H2,376.002930,150.538223,204.903259,571.262878
Test SNR H3,363.009857,137.220734,170.855515,482.577972
Test SNR H4,297.907593,91.227379,168.914658,364.469971
Test SNR H5,357.263336,120.310226,187.260605,448.275421
Test SNR H6,289.070038,71.446327,188.147980,343.764435
