Metric,Average,Std Dev,Min,Max
Train MAE H4,0.001517,0.000000,0.001517,0.001517
Train MAE H8,0.002311,0.000000,0.002311,0.002311
Train MAE H12,0.002878,0.000000,0.002878,0.002878
Train MAE H16,0.003376,0.000000,0.003376,0.003376
Train MAE H20,0.003853,0.000000,0.003853,0.003853
Train MAE H24,0.004227,0.000000,0.004227,0.004227
Train Naive MAE H4,0.001490,0.000000,0.001490,0.001490
Train Naive MAE H8,0.002259,0.000000,0.002259,0.002259
Train Naive MAE H12,0.002871,0.000000,0.002871,0.002871
Train Naive MAE H16,0.003390,0.000000,0.003390,0.003390
Train Naive MAE H20,0.003845,0.000000,0.003845,0.003845
Train Naive MAE H24,0.004245,0.000000,0.004245,0.004245
Train R2 H4,0.996214,0.000000,0.996214,0.996214
Train R2 H8,0.992075,0.000000,0.992075,0.992075
Train R2 H12,0.988271,0.000000,0.988271,0.988271
Train R2 H16,0.984577,0.000000,0.984577,0.984577
Train R2 H20,0.980819,0.000000,0.980819,0.980819
Train R2 H24,0.977291,0.000000,0.977291,0.977291
Train Uncertainty H4,0.001304,0.000000,0.001304,0.001304
Train Uncertainty H8,0.001293,0.000000,0.001293,0.001293
Train Uncertainty H12,0.001363,0.000000,0.001363,0.001363
Train Uncertainty H16,0.001378,0.000000,0.001378,0.001378
Train Uncertainty H20,0.001386,0.000000,0.001386,0.001386
Train Uncertainty H24,0.001412,0.000000,0.001412,0.001412
Train SNR H4,1019.795348,0.000000,1019.795348,1019.795348
Train SNR H8,1028.011670,0.000000,1028.011670,1028.011670
Train SNR H12,974.959860,0.000000,974.959860,974.959860
Train SNR H16,964.709055,0.000000,964.709055,964.709055
Train SNR H20,959.072559,0.000000,959.072559,959.072559
Train SNR H24,940.942349,0.000000,940.942349,940.942349
Validation MAE H4,0.002008,0.000000,0.002008,0.002008
Validation MAE H8,0.002568,0.000000,0.002568,0.002568
Validation MAE H12,0.003253,0.000000,0.003253,0.003253
Validation MAE H16,0.003835,0.000000,0.003835,0.003835
Validation MAE H20,0.004390,0.000000,0.004390,0.004390
Validation MAE H24,0.004838,0.000000,0.004838,0.004838
Validation Naive MAE H4,0.001488,0.000000,0.001488,0.001488
Validation Naive MAE H8,0.002240,0.000000,0.002240,0.002240
Validation Naive MAE H12,0.002837,0.000000,0.002837,0.002837
Validation Naive MAE H16,0.003357,0.000000,0.003357,0.003357
Validation Naive MAE H20,0.003833,0.000000,0.003833,0.003833
Validation Naive MAE H24,0.004263,0.000000,0.004263,0.004263
Validation R2 H4,0.992152,0.000000,0.992152,0.992152
Validation R2 H8,0.987167,0.000000,0.987167,0.987167
Validation R2 H12,0.980043,0.000000,0.980043,0.980043
Validation R2 H16,0.972699,0.000000,0.972699,0.972699
Validation R2 H20,0.964550,0.000000,0.964550,0.964550
Validation R2 H24,0.957304,0.000000,0.957304,0.957304
Validation Uncertainty H4,0.005423,0.000000,0.005423,0.005423
Validation Uncertainty H8,0.005403,0.000000,0.005403,0.005403
Validation Uncertainty H12,0.005660,0.000000,0.005660,0.005660
Validation Uncertainty H16,0.005512,0.000000,0.005512,0.005512
Validation Uncertainty H20,0.005877,0.000000,0.005877,0.005877
Validation Uncertainty H24,0.006023,0.000000,0.006023,0.006023
Validation SNR H4,219.338014,0.000000,219.338014,219.338014
Validation SNR H8,219.976542,0.000000,219.976542,219.976542
Validation SNR H12,210.046100,0.000000,210.046100,210.046100
Validation SNR H16,215.761863,0.000000,215.761863,215.761863
Validation SNR H20,202.179061,0.000000,202.179061,202.179061
Validation SNR H24,197.484897,0.000000,197.484897,197.484897
Test MAE H4,0.002886,0.000000,0.002886,0.002886
Test MAE H8,0.002302,0.000000,0.002302,0.002302
Test MAE H12,0.002871,0.000000,0.002871,0.002871
Test MAE H16,0.003652,0.000000,0.003652,0.003652
Test MAE H20,0.003147,0.000000,0.003147,0.003147
Test MAE H24,0.004548,0.000000,0.004548,0.004548
Test Naive MAE H4,0.000979,0.000000,0.000979,0.000979
Test Naive MAE H8,0.001446,0.000000,0.001446,0.001446
Test Naive MAE H12,0.001837,0.000000,0.001837,0.001837
Test Naive MAE H16,0.002172,0.000000,0.002172,0.002172
Test Naive MAE H20,0.002448,0.000000,0.002448,0.002448
Test Naive MAE H24,0.002702,0.000000,0.002702,0.002702
Test R2 H4,0.933896,0.000000,0.933896,0.933896
Test R2 H8,0.953027,0.000000,0.953027,0.953027
Test R2 H12,0.927786,0.000000,0.927786,0.927786
Test R2 H16,0.889071,0.000000,0.889071,0.889071
Test R2 H20,0.911938,0.000000,0.911938,0.911938
Test R2 H24,0.832018,0.000000,0.832018,0.832018
Test Uncertainty H4,0.008159,0.000000,0.008159,0.008159
Test Uncertainty H8,0.008384,0.000000,0.008384,0.008384
Test Uncertainty H12,0.008753,0.000000,0.008753,0.008753
Test Uncertainty H16,0.008673,0.000000,0.008673,0.008673
Test Uncertainty H20,0.008354,0.000000,0.008354,0.008354
Test Uncertainty H24,0.008899,0.000000,0.008899,0.008899
Test SNR H4,137.578403,0.000000,137.578403,137.578403
Test SNR H8,133.646554,0.000000,133.646554,133.646554
Test SNR H12,128.096571,0.000000,128.096571,128.096571
Test SNR H16,129.409260,0.000000,129.409260,129.409260
Test SNR H20,134.055052,0.000000,134.055052,134.055052
Test SNR H24,126.215021,0.000000,126.215021,126.215021
