ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1766773057.056,0,ga_gen0_cand1,1052920,1053780,,,,,
1766773057.667,1,ga_gen0_cand1,1058356,1058356,,,,,
1766773058.271,2,ga_gen0_cand1,1060204,1060204,,,,,
1766773058.856,3,ga_gen0_cand1,1060864,1060864,,,,,
1766773059.447,4,ga_gen0_cand1,1061280,1061280,,,,,
1766773060.075,5,ga_gen0_cand1,1062124,1062124,,,,,
1766773060.693,6,ga_gen0_cand1,1062980,1062980,,,,,
1766773061.294,7,ga_gen0_cand1,1063232,1063232,,,,,
1766773061.876,8,ga_gen0_cand1,1063748,1063748,,,,,
1766773062.470,9,ga_gen0_cand1,1064272,1064272,,,,,
1766773063.060,10,ga_gen0_cand1,1064496,1064496,,,,,
1766773063.648,11,ga_gen0_cand1,1064900,1064900,,,,,
1766773064.247,12,ga_gen0_cand1,1065352,1065352,,,,,
1766773064.844,13,ga_gen0_cand1,1065596,1065596,,,,,
1766773065.447,14,ga_gen0_cand1,1065744,1065744,,,,,
1766773066.041,15,ga_gen0_cand1,1065824,1065824,,,,,
1766773066.641,16,ga_gen0_cand1,1065940,1065940,,,,,
1766773067.226,17,ga_gen0_cand1,1066304,1066304,,,,,
1766773067.813,18,ga_gen0_cand1,1066532,1066532,,,,,
1766773068.407,19,ga_gen0_cand1,1066744,1066744,,,,,
1766773068.998,20,ga_gen0_cand1,1066780,1066780,,,,,
1766773069.596,21,ga_gen0_cand1,1067156,1067156,,,,,
1766773070.177,22,ga_gen0_cand1,1067296,1067296,,,,,
1766773070.788,23,ga_gen0_cand1,1067408,1067408,,,,,
1766773071.382,24,ga_gen0_cand1,1067496,1067496,,,,,
1766773071.969,25,ga_gen0_cand1,1067800,1067800,,,,,
1766773072.567,26,ga_gen0_cand1,1068268,1068268,,,,,
1766773073.179,27,ga_gen0_cand1,1068288,1068288,,,,,
1766773073.784,28,ga_gen0_cand1,1068324,1068324,,,,,
1766773074.378,29,ga_gen0_cand1,1068428,1068428,,,,,
1766773074.967,30,ga_gen0_cand1,1068476,1068476,,,,,
1766773075.558,31,ga_gen0_cand1,1068552,1068552,,,,,
1766773076.145,32,ga_gen0_cand1,1068564,1068564,,,,,
1766773076.744,33,ga_gen0_cand1,1068584,1068584,,,,,
1766773077.356,34,ga_gen0_cand1,1068624,1068624,,,,,
1766773077.953,35,ga_gen0_cand1,1068648,1068648,,,,,
1766773078.543,36,ga_gen0_cand1,1068724,1068724,,,,,
1766773079.135,37,ga_gen0_cand1,1068764,1068764,,,,,
1766773079.730,38,ga_gen0_cand1,1068928,1068928,,,,,
1766773080.326,39,ga_gen0_cand1,1069004,1069004,,,,,
1766773080.928,40,ga_gen0_cand1,1069236,1069236,,,,,
1766773081.518,41,ga_gen0_cand1,1069280,1069280,,,,,
1766773082.112,42,ga_gen0_cand1,1069460,1069460,,,,,
1766773082.711,43,ga_gen0_cand1,1069504,1069504,,,,,
1766773083.304,44,ga_gen0_cand1,1069528,1069528,,,,,
1766773083.907,45,ga_gen0_cand1,1069552,1069552,,,,,
1766773084.500,46,ga_gen0_cand1,1069600,1069600,,,,,
1766773085.100,47,ga_gen0_cand1,1069768,1069768,,,,,
1766773085.690,48,ga_gen0_cand1,1069780,1069780,,,,,
1766773086.306,49,ga_gen0_cand1,1069784,1069784,,,,,
1766773086.926,50,ga_gen0_cand1,1069836,1069836,,,,,
1766773087.528,51,ga_gen0_cand1,1069860,1069860,,,,,
1766773088.123,52,ga_gen0_cand1,1069980,1069980,,,,,
1766773088.730,53,ga_gen0_cand1,1070184,1070184,,,,,
1766773089.331,54,ga_gen0_cand1,1070460,1070460,,,,,
1766773089.932,55,ga_gen0_cand1,1070472,1070472,,,,,
1766773090.536,56,ga_gen0_cand1,1070528,1070528,,,,,
1766773091.147,57,ga_gen0_cand1,1070708,1070708,,,,,
1766773091.745,58,ga_gen0_cand1,1070736,1070736,,,,,
1766773092.338,59,ga_gen0_cand1,1070856,1070856,,,,,
1766773092.952,60,ga_gen0_cand1,1070896,1070896,,,,,
1766773093.554,61,ga_gen0_cand1,1071032,1071032,,,,,
1766773094.150,62,ga_gen0_cand1,1071172,1071172,,,,,
1766773094.747,63,ga_gen0_cand1,1071344,1071344,,,,,
1766773095.349,64,ga_gen0_cand1,1071444,1071444,,,,,
1766773095.946,65,ga_gen0_cand1,1071488,1071488,,,,,
1766773096.559,66,ga_gen0_cand1,1071524,1071524,,,,,
1766773097.169,67,ga_gen0_cand1,1071568,1071568,,,,,
1766773097.783,68,ga_gen0_cand1,1071624,1071624,,,,,
1766773098.373,69,ga_gen0_cand1,1071648,1071648,,,,,
1766773098.976,70,ga_gen0_cand1,1071844,1071844,,,,,
1766773099.586,71,ga_gen0_cand1,1071848,1071848,,,,,
1766773100.171,72,ga_gen0_cand1,1071900,1071900,,,,,
1766773100.766,73,ga_gen0_cand1,1071908,1071908,,,,,
1766773101.368,74,ga_gen0_cand1,1071924,1071924,,,,,
1766773101.969,75,ga_gen0_cand1,1071940,1071940,,,,,
1766773102.580,76,ga_gen0_cand1,1071968,1071968,,,,,
1766773103.183,77,ga_gen0_cand1,1072064,1072064,,,,,
1766773103.777,78,ga_gen0_cand1,1072068,1072068,,,,,
1766773104.360,79,ga_gen0_cand1,1072076,1072076,,,,,
1766773104.971,80,ga_gen0_cand1,1073104,1073104,,,,,
1766773105.558,81,ga_gen0_cand1,1073156,1073156,,,,,
1766773106.155,82,ga_gen0_cand1,1073208,1073208,,,,,
1766773106.788,83,ga_gen0_cand1,1073264,1073264,,,,,
1766773107.386,84,ga_gen0_cand1,1073324,1073324,,,,,
1766773108.015,85,ga_gen0_cand1,1073380,1073380,,,,,
1766773108.616,86,ga_gen0_cand1,1073400,1073400,,,,,
1766773109.239,87,ga_gen0_cand1,1073472,1073472,,,,,
1766773109.871,88,ga_gen0_cand1,1073540,1073540,,,,,
1766773110.513,89,ga_gen0_cand1,1073544,1073544,,,,,
1766773111.153,90,ga_gen0_cand1,1075120,1075120,,,,,
1766773111.798,91,ga_gen0_cand1,1075136,1075136,,,,,
1766773112.438,92,ga_gen0_cand1,1075144,1075144,,,,,
1766773113.062,93,ga_gen0_cand1,1075532,1075532,,,,,
1766773113.696,94,ga_gen0_cand1,1075544,1075544,,,,,
1766773114.311,95,ga_gen0_cand1,1075548,1075548,,,,,
1766773114.928,96,ga_gen0_cand1,1076584,1076584,,,,,
1766773115.581,97,ga_gen0_cand1,1076624,1076624,,,,,
1766773116.236,98,ga_gen0_cand1,1076664,1076664,,,,,
1766773116.854,99,ga_gen0_cand1,1076680,1076680,,,,,
1766773117.468,100,ga_gen0_cand1,1076692,1076692,,,,,
1766773374.950,0,ga_gen0_cand1,1056684,1056684,,,,,
