Metric,Average,Std Dev,Min,Max
Train MAE H4,0.009371,0.000000,0.009371,0.009371
Train MAE H8,0.009503,0.000000,0.009503,0.009503
Train MAE H12,0.009538,0.000000,0.009538,0.009538
Train MAE H16,0.009709,0.000000,0.009709,0.009709
Train MAE H20,0.009861,0.000000,0.009861,0.009861
Train MAE H24,0.009961,0.000000,0.009961,0.009961
Train Naive MAE H4,0.001702,0.000000,0.001702,0.001702
Train Naive MAE H8,0.002556,0.000000,0.002556,0.002556
Train Naive MAE H12,0.003239,0.000000,0.003239,0.003239
Train Naive MAE H16,0.003828,0.000000,0.003828,0.003828
Train Naive MAE H20,0.004348,0.000000,0.004348,0.004348
Train Naive MAE H24,0.004818,0.000000,0.004818,0.004818
Train R2 H4,0.992293,0.000000,0.992293,0.992293
Train R2 H8,0.991733,0.000000,0.991733,0.991733
Train R2 H12,0.991322,0.000000,0.991322,0.991322
Train R2 H16,0.990732,0.000000,0.990732,0.990732
Train R2 H20,0.990163,0.000000,0.990163,0.990163
Train R2 H24,0.989730,0.000000,0.989730,0.989730
Train Uncertainty H4,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H8,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H12,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H16,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H20,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H24,0.000000,0.000000,0.000000,0.000000
Train SNR H4,1229691028.594971,0.000000,1229691028.594971,1229691028.594971
Train SNR H8,1229712486.267090,0.000000,1229712486.267090,1229712486.267090
Train SNR H12,1229621887.207031,0.000000,1229621887.207031,1229621887.207031
Train SNR H16,1229669451.713562,0.000000,1229669451.713562,1229669451.713562
Train SNR H20,1229685425.758362,0.000000,1229685425.758362,1229685425.758362
Train SNR H24,1229614734.649658,0.000000,1229614734.649658,1229614734.649658
Validation MAE H4,0.005190,0.000000,0.005190,0.005190
Validation MAE H8,0.005447,0.000000,0.005447,0.005447
Validation MAE H12,0.005675,0.000000,0.005675,0.005675
Validation MAE H16,0.005931,0.000000,0.005931,0.005931
Validation MAE H20,0.006170,0.000000,0.006170,0.006170
Validation MAE H24,0.006379,0.000000,0.006379,0.006379
Validation Naive MAE H4,0.001485,0.000000,0.001485,0.001485
Validation Naive MAE H8,0.002232,0.000000,0.002232,0.002232
Validation Naive MAE H12,0.002824,0.000000,0.002824,0.002824
Validation Naive MAE H16,0.003341,0.000000,0.003341,0.003341
Validation Naive MAE H20,0.003811,0.000000,0.003811,0.003811
Validation Naive MAE H24,0.004236,0.000000,0.004236,0.004236
Validation R2 H4,0.954887,0.000000,0.954887,0.954887
Validation R2 H8,0.949404,0.000000,0.949404,0.949404
Validation R2 H12,0.944349,0.000000,0.944349,0.944349
Validation R2 H16,0.938634,0.000000,0.938634,0.938634
Validation R2 H20,0.933148,0.000000,0.933148,0.933148
