Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000813,0.000000,0.000813,0.000813
Train MAE H2,0.001162,0.000006,0.001153,0.001167
Train MAE H3,0.001450,0.000002,0.001448,0.001452
Train MAE H4,0.001688,0.000009,0.001677,0.001699
Train MAE H5,0.001895,0.000020,0.001874,0.001922
Train MAE H6,0.002076,0.000048,0.002012,0.002129
Train R2 H1,0.999357,0.000000,0.999356,0.999357
Train R2 H2,0.998722,0.000017,0.998709,0.998746
Train R2 H3,0.998064,0.000005,0.998060,0.998071
Train R2 H4,0.997464,0.000030,0.997428,0.997501
Train R2 H5,0.996900,0.000072,0.996803,0.996973
Train R2 H6,0.996384,0.000183,0.996186,0.996627
Train Uncertainty H1,0.000087,0.000009,0.000078,0.000100
Train Uncertainty H2,0.000128,0.000045,0.000083,0.000190
Train Uncertainty H3,0.000098,0.000021,0.000082,0.000127
Train Uncertainty H4,0.000175,0.000072,0.000081,0.000254
Train Uncertainty H5,0.000257,0.000127,0.000081,0.000372
Train Uncertainty H6,0.000334,0.000195,0.000090,0.000567
Train SNR H1,14543.834961,1465.553467,12558.911133,16052.851562
Train SNR H2,10959.043945,3463.629639,6606.674805,15081.444336
Train SNR H3,13268.464844,2444.228760,9825.262695,15253.986328
Train SNR H4,9012.199219,4654.424316,4920.565430,15523.371094
Train SNR H5,7609.145020,5608.399902,3369.886719,15534.180664
Train SNR H6,6576.106934,5206.297363,2208.804443,13893.304688
Validation MAE H1,0.000797,0.000001,0.000796,0.000798
Validation MAE H2,0.001149,0.000003,0.001145,0.001151
Validation MAE H3,0.001429,0.000001,0.001428,0.001429
Validation MAE H4,0.001671,0.000003,0.001667,0.001674
Validation MAE H5,0.001887,0.000015,0.001869,0.001907
Validation MAE H6,0.002082,0.000028,0.002047,0.002116
Validation R2 H1,0.999834,0.000000,0.999834,0.999835
Validation R2 H2,0.999656,0.000003,0.999654,0.999660
Validation R2 H3,0.999484,0.000001,0.999484,0.999485
Validation R2 H4,0.999311,0.000005,0.999305,0.999318
Validation R2 H5,0.999150,0.000021,0.999125,0.999176
Validation R2 H6,0.998987,0.000040,0.998943,0.999039
Validation Uncertainty H1,0.000191,0.000068,0.000125,0.000284
Validation Uncertainty H2,0.000246,0.000059,0.000163,0.000294
Validation Uncertainty H3,0.000173,0.000018,0.000157,0.000199
Validation Uncertainty H4,0.000306,0.000100,0.000176,0.000421
Validation Uncertainty H5,0.000452,0.000222,0.000147,0.000669
Validation Uncertainty H6,0.000453,0.000230,0.000151,0.000708
Validation SNR H1,7359.206543,2308.379150,4404.541992,10038.782227
Validation SNR H2,5464.617188,1557.583984,4252.126465,7663.502930
Validation SNR H3,7293.730469,722.385742,6292.561523,7970.404297
Validation SNR H4,4657.026855,1763.384766,2972.210449,7091.708008
Validation SNR H5,4227.641113,3019.710205,1869.268066,8490.093750
Validation SNR H6,4188.559082,2918.520996,1767.513550,8294.000000
Test MAE H1,0.000727,0.000002,0.000725,0.000729
Test MAE H2,0.001025,0.000006,0.001017,0.001029
Test MAE H3,0.001261,0.000002,0.001258,0.001262
Test MAE H4,0.001467,0.000007,0.001458,0.001476
Test MAE H5,0.001670,0.000013,0.001653,0.001683
Test MAE H6,0.001802,0.000051,0.001731,0.001852
Test R2 H1,0.999297,0.000001,0.999295,0.999298
Test R2 H2,0.998627,0.000018,0.998614,0.998653
Test R2 H3,0.997952,0.000006,0.997947,0.997961
Test R2 H4,0.997289,0.000029,0.997253,0.997325
Test R2 H5,0.996603,0.000041,0.996552,0.996653
Test R2 H6,0.996060,0.000225,0.995834,0.996367
Test Uncertainty H1,0.000139,0.000043,0.000092,0.000196
Test Uncertainty H2,0.000177,0.000044,0.000127,0.000233
Test Uncertainty H3,0.000122,0.000017,0.000098,0.000137
Test Uncertainty H4,0.000233,0.000089,0.000123,0.000341
Test Uncertainty H5,0.000442,0.000301,0.000114,0.000842
Test Uncertainty H6,0.000387,0.000190,0.000129,0.000579
Test SNR H1,9355.760742,2778.865234,6039.086426,12839.718750
Test SNR H2,7098.296387,1747.976807,5077.229980,9341.550781
Test SNR H3,9885.020508,1535.855591,8614.000000,12045.870117
Test SNR H4,6048.978027,2610.655273,3475.633545,9628.400391
Test SNR H5,4987.289551,3871.259277,1405.883057,10364.093750
Test SNR H6,4615.827148,3243.684082,2046.500977,9191.561523
