Metric,Average,Std Dev,Min,Max
Train MAE H24,0.001006,0.000063,0.000931,0.001085
Train MAE H48,0.000963,0.000073,0.000881,0.001058
Train MAE H72,0.001119,0.000104,0.000972,0.001201
Train MAE H96,0.001150,0.000123,0.001050,0.001323
Train MAE H120,0.001266,0.000178,0.001137,0.001518
Train MAE H144,0.004131,0.000232,0.003820,0.004376
Train R2 H24,0.995357,0.000649,0.994541,0.996128
Train R2 H48,0.995662,0.000707,0.994697,0.996373
Train R2 H72,0.994204,0.000916,0.993310,0.995463
Train R2 H96,0.993736,0.001150,0.992150,0.994838
Train R2 H120,0.992581,0.001925,0.989867,0.994120
Train R2 H144,0.921346,0.009417,0.909620,0.932678
Train Uncertainty H24,0.001470,0.000022,0.001441,0.001496
Train Uncertainty H48,0.001797,0.000027,0.001763,0.001829
Train Uncertainty H72,0.002019,0.000041,0.001972,0.002072
Train Uncertainty H96,0.002228,0.000081,0.002144,0.002337
Train Uncertainty H120,0.002418,0.000073,0.002316,0.002480
Train Uncertainty H144,0.002392,0.000082,0.002291,0.002491
Train SNR H24,821.399170,12.447883,807.110657,837.448669
Train SNR H48,672.093079,10.123039,660.028259,684.799622
Train SNR H72,597.824036,12.174642,582.395691,612.156921
Train SNR H96,542.224121,19.432981,516.104919,562.686584
Train SNR H120,499.443207,15.577177,486.351837,521.332764
Train SNR H144,505.017456,17.464516,484.368805,527.078003
Validation MAE H24,0.001065,0.000074,0.001000,0.001168
Validation MAE H48,0.001342,0.000176,0.001108,0.001532
Validation MAE H72,0.001815,0.000388,0.001508,0.002362
Validation MAE H96,0.002072,0.000425,0.001659,0.002656
Validation MAE H120,0.002217,0.000423,0.001711,0.002747
Validation MAE H144,0.008098,0.000568,0.007422,0.008813
Validation R2 H24,0.999767,0.000034,0.999720,0.999793
Validation R2 H48,0.999676,0.000067,0.999600,0.999764
Validation R2 H72,0.999430,0.000211,0.999133,0.999590
Validation R2 H96,0.999268,0.000260,0.998910,0.999519
Validation R2 H120,0.999156,0.000286,0.998804,0.999505
Validation R2 H144,0.988842,0.001306,0.987127,0.990294
Validation Uncertainty H24,0.001326,0.000073,0.001265,0.001428
Validation Uncertainty H48,0.001542,0.000047,0.001478,0.001589
Validation Uncertainty H72,0.001808,0.000013,0.001795,0.001825
Validation Uncertainty H96,0.002022,0.000110,0.001906,0.002170
Validation Uncertainty H120,0.002243,0.000084,0.002128,0.002325
Validation Uncertainty H144,0.002583,0.000209,0.002367,0.002866
Validation SNR H24,946.139832,50.198612,875.646973,988.661255
Validation SNR H48,811.055725,24.960827,786.518311,845.301697
Validation SNR H72,690.497559,5.132960,683.524231,695.730774
Validation SNR H96,618.350891,32.859241,574.852417,654.260132
Validation SNR H120,556.088196,21.366827,535.594971,585.565857
Validation SNR H144,484.120026,38.190006,433.169006,525.110352
Test MAE H24,0.000799,0.000081,0.000716,0.000909
Test MAE H48,0.000851,0.000159,0.000696,0.001070
Test MAE H72,0.001248,0.000263,0.000876,0.001451
Test MAE H96,0.001394,0.000228,0.001115,0.001673
Test MAE H120,0.001391,0.000398,0.001100,0.001954
Test MAE H144,0.004902,0.000129,0.004732,0.005042
Test R2 H24,0.999233,0.000128,0.999060,0.999367
Test R2 H48,0.999140,0.000274,0.998766,0.999417
Test R2 H72,0.998239,0.000593,0.997757,0.999075
Test R2 H96,0.997789,0.000596,0.997100,0.998553
Test R2 H120,0.997598,0.001296,0.995766,0.998568
Test R2 H144,0.971457,0.001839,0.969285,0.973783
Test Uncertainty H24,0.001268,0.000091,0.001189,0.001395
Test Uncertainty H48,0.001492,0.000006,0.001484,0.001497
Test Uncertainty H72,0.001684,0.000028,0.001660,0.001723
Test Uncertainty H96,0.001741,0.000059,0.001669,0.001813
Test Uncertainty H120,0.001955,0.000042,0.001897,0.001991
Test Uncertainty H144,0.001872,0.000041,0.001822,0.001922
Test SNR H24,939.778809,64.363312,849.927795,997.315918
Test SNR H48,794.763245,2.973984,792.238037,798.938660
Test SNR H72,704.479004,11.348293,688.616150,714.520569
Test SNR H96,682.185852,23.102762,654.437500,710.997498
Test SNR H120,607.450195,13.290682,596.350281,626.136292
Test SNR H144,634.806519,13.270809,618.408569,650.911316
