DATE_TIME,Uncertainty_H24,Uncertainty_H48,Uncertainty_H72,Uncertainty_H96,Uncertainty_H120,Uncertainty_H144
2019-01-08 06:00:00,0.0012333315,0.001317452,0.0012409474,0.0017643094,0.0011091525,0.0013105075
2019-01-08 07:00:00,0.0014693137,0.0010668633,0.0010959356,0.0013661647,0.0015168294,0.0012288453
2019-01-08 08:00:00,0.00086241483,0.0011328817,0.0011626823,0.0012377833,0.0017299221,0.0011367352
2019-01-08 09:00:00,0.0013593984,0.00091088295,0.0013324965,0.0014715327,0.0013362521,0.0012034869
2019-01-08 10:00:00,0.0011940604,0.001237309,0.001422375,0.0015780558,0.0012262125,0.0012693538
2019-01-08 11:00:00,0.0011688783,0.0016619703,0.000786448,0.00141572,0.001428893,0.0013224704
2019-01-08 12:00:00,0.0012068673,0.0014478356,0.0013733541,0.0012307526,0.001221058,0.0013566441
2019-01-08 13:00:00,0.00092543074,0.0011140981,0.0011954407,0.0014165523,0.0013427945,0.0015151966
2019-01-08 14:00:00,0.0011034451,0.0012442332,0.0011058688,0.0012689128,0.0013486436,0.0015177756
2019-01-08 15:00:00,0.0015136921,0.0012907869,0.0012890983,0.0016669605,0.0011658409,0.0013725448
2019-01-08 16:00:00,0.0014218537,0.0013946559,0.0012641976,0.0015886531,0.0017060052,0.0020300434
2019-01-08 17:00:00,0.0012662779,0.0010334434,0.0012863509,0.0013079359,0.001269682,0.0014430085
2019-01-08 18:00:00,0.00132977,0.0012924171,0.0014531026,0.0013599984,0.0012931899,0.0011965868
2019-01-08 19:00:00,0.0012231873,0.0012750966,0.0012773531,0.0013213598,0.001653054,0.0010193416
2019-01-08 20:00:00,0.0010761481,0.0011289908,0.0014035302,0.0010809865,0.0012248066,0.0014469078
2019-01-08 21:00:00,0.0011319334,0.0015260547,0.001514599,0.001446412,0.0012752551,0.0016190365
2019-01-08 22:00:00,0.0011814955,0.0013627192,0.0012101703,0.0014658011,0.0014922004,0.001239634
2019-01-08 23:00:00,0.0014131694,0.0012591938,0.0015678582,0.0014845296,0.0013449189,0.0014494573
2019-01-09 00:00:00,0.0010224404,0.0013726933,0.001114141,0.0014385043,0.0013654741,0.0013306058
2019-01-09 01:00:00,0.0015015271,0.0015053839,0.0014435977,0.0014569525,0.0012422347,0.0014684437
2019-01-09 02:00:00,0.001193199,0.0011144468,0.001288437,0.0017225653,0.0017423262,0.0015174865
2019-01-09 03:00:00,0.0012672647,0.0014942357,0.0012056596,0.0013004284,0.0016079125,0.0015895662
2019-01-09 04:00:00,0.0011745145,0.0013081606,0.0013137029,0.0015468064,0.0016484831,0.0015453418
2019-01-09 05:00:00,0.0014583018,0.0007917771,0.0014521916,0.0015842961,0.0012037823,0.0014580024
2019-01-09 06:00:00,0.0014673825,0.0013501843,0.0011337362,0.0010288599,0.0013306781,0.0014029464
2019-01-09 07:00:00,0.0012096177,0.00093783095,0.0012563843,0.0014126939,0.001206392,0.0012821165
2019-01-09 08:00:00,0.0014001648,0.0009435411,0.0014121621,0.0012393844,0.0017235187,0.0010813219
2019-01-09 09:00:00,0.001459322,0.0011438448,0.0011994791,0.0012263446,0.0015072718,0.0010820539
2019-01-09 10:00:00,0.0012372388,0.0011045175,0.0013018955,0.0018423839,0.0014231117,0.0012761869
2019-01-09 11:00:00,0.001093197,0.0011086166,0.0014164482,0.0017563534,0.0014026613,0.0012779343
2019-01-09 12:00:00,0.001273889,0.0013660872,0.001159895,0.0013881514,0.0015808593,0.0015603177
2019-01-09 13:00:00,0.0010537031,0.0014387694,0.0012240177,0.0016953539,0.0014132145,0.0013804011
2019-01-09 14:00:00,0.0011197303,0.0010723784,0.001290377,0.0015235457,0.0012193456,0.0012584697
2019-01-09 15:00:00,0.0012303251,0.0011046138,0.0010734269,0.0015211762,0.0013742836,0.001229506
2019-01-09 16:00:00,0.0010897395,0.0013452516,0.0011498601,0.0013793637,0.0013861096,0.001369305
2019-01-09 17:00:00,0.0011067376,0.0017292905,0.0012280872,0.0013370063,0.001117927,0.001221202
2019-01-09 18:00:00,0.0012401413,0.0010770063,0.0011316716,0.0016644823,0.0014384462,0.0013379822
2019-01-09 19:00:00,0.0013669267,0.0010509082,0.0011987364,0.0013272489,0.0014919947,0.0011511131
2019-01-09 20:00:00,0.0010799932,0.0011798244,0.0008792303,0.0014949086,0.0013448073,0.001349302
2019-01-09 21:00:00,0.0012603845,0.0012327107,0.0012715652,0.0013408333,0.0011551897,0.001483799
2019-01-09 22:00:00,0.0012286041,0.0011702754,0.0013838417,0.0011760766,0.0012874403,0.0009189492
2019-01-09 23:00:00,0.0007884857,0.0010684669,0.0013457582,0.0014753161,0.0014441053,0.001240977
2019-01-10 00:00:00,0.0011635497,0.0009864495,0.001240775,0.0014798784,0.0012845438,0.0016414545
2019-01-10 01:00:00,0.001145851,0.0013824074,0.0014004987,0.0013335285,0.0010167839,0.0013339545
2019-01-10 02:00:00,0.0011429252,0.0009231755,0.0012874469,0.0016241982,0.0014460149,0.0013796571
2019-01-10 03:00:00,0.0010552775,0.0011845567,0.0013157689,0.0017404269,0.0011633608,0.0014781292
