Metric,Average,Std Dev,Min,Max
Train MAE H24,0.005926,0.000015,0.005914,0.005948
Train MAE H48,0.006224,0.000334,0.005951,0.006694
Train MAE H72,0.004752,0.000690,0.003989,0.005660
Train MAE H96,0.005104,0.000573,0.004410,0.005814
Train MAE H120,0.004726,0.000665,0.004072,0.005639
Train MAE H144,0.006493,0.000715,0.005655,0.007402
Train R2 H24,0.850458,0.000889,0.849724,0.851709
Train R2 H48,0.797734,0.022322,0.766379,0.816581
Train R2 H72,0.871275,0.039260,0.818900,0.913422
Train R2 H96,0.838799,0.034630,0.795751,0.880548
Train R2 H120,0.829535,0.048667,0.762147,0.875344
Train R2 H144,0.585033,0.083089,0.479039,0.681957
Train Uncertainty H24,0.002446,0.000751,0.001661,0.003458
Train Uncertainty H48,0.003951,0.000058,0.003872,0.004011
Train Uncertainty H72,0.004692,0.000512,0.004036,0.005285
Train Uncertainty H96,0.005390,0.000198,0.005198,0.005662
Train Uncertainty H120,0.005119,0.000732,0.004407,0.006126
Train Uncertainty H144,0.005454,0.000414,0.004876,0.005826
Train SNR H24,544.839783,155.663345,352.260559,733.495789
Train SNR H48,308.040375,4.580625,303.384827,314.269135
Train SNR H72,262.265839,29.459387,229.956253,301.198944
Train SNR H96,225.628067,8.120093,214.502289,233.654007
Train SNR H120,241.651047,32.324177,198.064301,275.378632
Train SNR H144,223.628525,17.832602,208.139557,248.608765
Validation MAE H24,0.006240,0.000707,0.005246,0.006824
Validation MAE H48,0.008324,0.000674,0.007485,0.009135
Validation MAE H72,0.008671,0.000588,0.008179,0.009498
Validation MAE H96,0.009894,0.001562,0.008187,0.011962
Validation MAE H120,0.013134,0.005691,0.008747,0.021170
Validation MAE H144,0.025143,0.006174,0.020536,0.033869
Validation R2 H24,0.992370,0.001601,0.990951,0.994607
Validation R2 H48,0.985109,0.002984,0.981779,0.989018
Validation R2 H72,0.983658,0.001765,0.981268,0.985475
Validation R2 H96,0.977113,0.009622,0.963998,0.986814
Validation R2 H120,0.963048,0.029748,0.920983,0.984708
Validation R2 H144,0.885106,0.047886,0.819005,0.930908
Validation Uncertainty H24,0.017582,0.005337,0.010037,0.021543
Validation Uncertainty H48,0.018935,0.001364,0.017009,0.019985
Validation Uncertainty H72,0.017864,0.002148,0.016021,0.020877
Validation Uncertainty H96,0.024296,0.006261,0.015933,0.030996
Validation Uncertainty H120,0.013153,0.000336,0.012682,0.013436
Validation Uncertainty H144,0.023730,0.003555,0.019192,0.027872
Validation SNR H24,80.546547,31.101387,58.016594,124.526131
Validation SNR H48,66.219154,5.044182,62.486343,73.350082
Validation SNR H72,70.654236,7.871064,59.690598,77.803230
Validation SNR H96,55.359364,16.366852,40.182091,78.082352
Validation SNR H120,95.045143,1.910732,93.651848,97.746887
Validation SNR H144,53.559738,8.269549,44.247787,64.343018
Test MAE H24,0.005025,0.000300,0.004748,0.005442
Test MAE H48,0.007296,0.000569,0.006660,0.008042
Test MAE H72,0.007391,0.001339,0.005756,0.009035
Test MAE H96,0.010814,0.001646,0.008518,0.012293
Test MAE H120,0.010956,0.003872,0.007379,0.016335
Test MAE H144,0.009193,0.000724,0.008608,0.010214
Test R2 H24,0.970704,0.004255,0.964755,0.974463
Test R2 H48,0.938881,0.010164,0.925591,0.950268
Test R2 H72,0.934352,0.025364,0.901241,0.962854
Test R2 H96,0.852301,0.050610,0.799043,0.920340
Test R2 H120,0.839304,0.119586,0.671525,0.941596
Test R2 H144,0.898424,0.026128,0.861529,0.918607
Test Uncertainty H24,0.008132,0.002124,0.005250,0.010306
Test Uncertainty H48,0.009544,0.000648,0.008637,0.010110
Test Uncertainty H72,0.008314,0.001267,0.006525,0.009286
Test Uncertainty H96,0.010476,0.003267,0.005940,0.013499
Test Uncertainty H120,0.007415,0.000302,0.007045,0.007786
Test Uncertainty H144,0.010378,0.000564,0.009920,0.011172
Test SNR H24,158.051361,48.280243,114.785126,225.428299
Test SNR H48,124.376648,8.756700,116.856590,136.657608
Test SNR H72,145.885345,25.088560,127.177826,181.348022
Test SNR H96,127.965996,50.171272,87.173401,198.638611
Test SNR H120,159.123520,6.653532,151.511230,167.719650
Test SNR H144,114.628563,5.772155,106.508621,119.414200
