Metric,Average,Std Dev,Min,Max
Train MAE H24,0.002891,0.000062,0.002805,0.002946
Train MAE H48,0.002396,0.000058,0.002319,0.002459
Train MAE H72,0.002391,0.000160,0.002180,0.002568
Train MAE H96,0.002448,0.000327,0.002087,0.002879
Train MAE H120,0.002398,0.000090,0.002309,0.002521
Train MAE H144,0.004550,0.000469,0.003900,0.004990
Train R2 H24,0.965738,0.001287,0.964675,0.967549
Train R2 H48,0.974941,0.001178,0.973454,0.976333
Train R2 H72,0.974877,0.003015,0.971449,0.978787
Train R2 H96,0.973247,0.006585,0.964536,0.980454
Train R2 H120,0.973985,0.001884,0.971377,0.975760
Train R2 H144,0.904638,0.019190,0.885945,0.931023
Train Uncertainty H24,0.002622,0.000261,0.002303,0.002942
Train Uncertainty H48,0.003158,0.000562,0.002721,0.003951
Train Uncertainty H72,0.003204,0.000884,0.002362,0.004426
Train Uncertainty H96,0.003506,0.000568,0.002808,0.004198
Train Uncertainty H120,0.003515,0.000248,0.003292,0.003860
Train Uncertainty H144,0.003294,0.000331,0.002830,0.003581
Train SNR H24,465.151337,46.309547,410.966614,524.100769
Train SNR H48,393.373627,62.256721,305.616425,443.404602
Train SNR H72,403.793060,98.745918,272.774048,511.155273
Train SNR H96,353.858185,58.413799,287.616302,429.725677
Train SNR H120,344.755707,23.315218,312.368317,366.305939
Train SNR H144,370.272095,39.699154,336.600403,426.014191
Validation MAE H24,0.005142,0.000898,0.004020,0.006218
Validation MAE H48,0.006836,0.001729,0.004852,0.009065
Validation MAE H72,0.006705,0.002232,0.004515,0.009768
Validation MAE H96,0.005564,0.000369,0.005099,0.006002
Validation MAE H120,0.007272,0.001135,0.005717,0.008396
Validation MAE H144,0.020129,0.002885,0.018072,0.024209
Validation R2 H24,0.994886,0.001527,0.993326,0.996959
Validation R2 H48,0.989918,0.004458,0.983939,0.994641
Validation R2 H72,0.989635,0.005701,0.981846,0.995333
Validation R2 H96,0.993838,0.000641,0.993031,0.994599
Validation R2 H120,0.988728,0.002617,0.986671,0.992421
Validation R2 H144,0.927370,0.021648,0.898423,0.950473
Validation Uncertainty H24,0.007302,0.001003,0.006149,0.008594
Validation Uncertainty H48,0.007375,0.000327,0.006947,0.007741
Validation Uncertainty H72,0.008061,0.001687,0.006514,0.010408
Validation Uncertainty H96,0.007494,0.000173,0.007255,0.007658
Validation Uncertainty H120,0.009002,0.001575,0.006994,0.010841
Validation Uncertainty H144,0.010627,0.002459,0.007823,0.013810
Validation SNR H24,174.183594,23.333202,145.408447,202.558685
Validation SNR H48,169.678589,7.824900,160.641724,179.728287
Validation SNR H72,160.746109,30.570103,119.055504,191.501862
Validation SNR H96,166.321640,3.698980,162.664764,171.389542
Validation SNR H120,142.528152,26.083439,115.007423,177.559998
Validation SNR H144,123.334862,27.978354,89.940483,158.411224
Test MAE H24,0.002969,0.000403,0.002419,0.003371
Test MAE H48,0.002492,0.000273,0.002287,0.002877
Test MAE H72,0.002858,0.000458,0.002454,0.003499
Test MAE H96,0.002656,0.000328,0.002194,0.002925
Test MAE H120,0.002699,0.000063,0.002611,0.002755
Test MAE H144,0.015311,0.002154,0.012274,0.017027
Test R2 H24,0.989298,0.003000,0.986200,0.993358
Test R2 H48,0.992333,0.002021,0.989476,0.993814
Test R2 H72,0.989047,0.003673,0.983936,0.992406
Test R2 H96,0.990961,0.002251,0.988221,0.993735
Test R2 H120,0.990410,0.000413,0.990080,0.990992
Test R2 H144,0.539265,0.151147,0.418947,0.752430
Test Uncertainty H24,0.003140,0.000141,0.002947,0.003280
Test Uncertainty H48,0.003411,0.000308,0.003072,0.003817
Test Uncertainty H72,0.003949,0.001158,0.002820,0.005541
Test Uncertainty H96,0.004110,0.000965,0.002949,0.005312
Test Uncertainty H120,0.004298,0.000687,0.003626,0.005242
Test Uncertainty H144,0.005395,0.000657,0.004835,0.006317
Test SNR H24,378.073578,17.078810,361.790466,401.664185
Test SNR H48,350.363159,30.850340,310.783295,386.049347
Test SNR H72,324.844391,84.941269,214.104202,420.525604
Test SNR H96,306.009613,73.724152,223.356308,402.374420
Test SNR H120,282.832428,41.941727,226.582291,327.254852
Test SNR H144,225.601700,25.281179,190.223999,247.765015
