ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1771414134.474,0,ga_gen0_cand1,1791540,1791540,23990536,1051077388,,,
1771414141.419,1,ga_gen0_cand1,1794664,1794664,23990548,1051077388,,,
1771414148.437,2,ga_gen0_cand1,1796644,1796644,23990556,1051077388,,,
1771414155.593,3,ga_gen0_cand1,1797664,1797664,23990552,1051077388,,,
1771414162.651,4,ga_gen0_cand1,1799136,1799136,23990564,1051077388,,,
1771414169.672,5,ga_gen0_cand1,1800488,1800488,23990572,1051077388,,,
1771414176.629,6,ga_gen0_cand1,1801868,1801868,23990580,1051077388,,,
1771414183.689,7,ga_gen0_cand1,1802940,1802940,23990588,1051077388,,,
1771414190.675,8,ga_gen0_cand1,1803896,1803896,23990596,1051077388,,,
1771414197.747,9,ga_gen0_cand1,1805104,1805104,23990604,1051077388,,,
1771414210.468,0,ga_gen0_cand2,1781404,1781404,24120844,62803116,,,
1771414215.546,1,ga_gen0_cand2,1783636,1783636,24120856,62803116,,,
1771414220.751,2,ga_gen0_cand2,1785528,1785528,24120864,62803116,,,
1771414225.774,3,ga_gen0_cand2,1786748,1786748,24120872,62803116,,,
1771414230.988,4,ga_gen0_cand2,1787960,1787960,24120880,62803116,,,
1771414236.339,5,ga_gen0_cand2,1788924,1788924,24120888,62803116,,,
1771414240.227,6,ga_gen0_cand2,1789972,1789972,24120896,62803116,,,
1771414245.230,7,ga_gen0_cand2,1790616,1790616,24120904,62803116,,,
1771414250.020,8,ga_gen0_cand2,1792276,1792276,24120912,62803116,,,
1771414253.076,9,ga_gen0_cand2,1795084,1795084,24120920,62803116,,,
1771414256.483,10,ga_gen0_cand2,1795736,1795736,24120928,62803116,,,
1771414261.148,0,ga_gen0_cand1,1771964,1771964,23958680,64865876,,,
1771414261.380,11,ga_gen0_cand2,1796804,1796804,24120936,62803116,,,
1771414266.385,1,ga_gen0_cand1,1776516,1776516,23958692,64865876,,,
1771414266.895,12,ga_gen0_cand2,1797516,1797516,24120944,62803116,,,
1771414271.626,2,ga_gen0_cand1,1778624,1778624,23958704,64865876,,,
1771414272.058,13,ga_gen0_cand2,1798292,1798292,24120952,62803116,,,
1771414276.798,3,ga_gen0_cand1,1779868,1779868,23958712,64865876,,,
1771414277.479,14,ga_gen0_cand2,1798960,1798960,24120960,62803116,,,
1771414282.029,4,ga_gen0_cand1,1781616,1781616,23958724,64865876,,,
1771414282.744,15,ga_gen0_cand2,1799492,1799492,24120968,62803116,,,
1771414287.152,5,ga_gen0_cand1,1782756,1782756,23958732,64865876,,,
1771414288.173,16,ga_gen0_cand2,1799920,1799920,24120976,62803116,,,
1771414292.654,6,ga_gen0_cand1,1784888,1784888,23958740,64865876,,,
1771414293.885,17,ga_gen0_cand2,1800616,1800616,24120984,62803116,,,
1771414297.962,7,ga_gen0_cand1,1786288,1786288,23958748,64865876,,,
1771414299.389,18,ga_gen0_cand2,1801184,1801184,24120992,62803116,,,
1771414303.365,8,ga_gen0_cand1,1787260,1787260,23958760,64865876,,,
1771414304.826,19,ga_gen0_cand2,1801772,1801772,24120996,62803116,,,
1771414308.686,9,ga_gen0_cand1,1788260,1788260,23955572,64865876,,,
1771414310.290,20,ga_gen0_cand2,1802172,1802172,24121004,62803116,,,
1771414314.122,10,ga_gen0_cand1,1789488,1789488,23955584,64865876,,,
1771414315.932,21,ga_gen0_cand2,1802588,1802588,24121008,62803116,,,
1771414319.304,11,ga_gen0_cand1,1790204,1790204,23955596,64865876,,,
1771414321.247,22,ga_gen0_cand2,1803200,1803200,24121012,62803116,,,
1771414324.768,12,ga_gen0_cand1,1791012,1791012,23955604,64865876,,,
1771414326.715,23,ga_gen0_cand2,1803736,1803736,24121016,62803116,,,
1771414330.283,13,ga_gen0_cand1,1791836,1791836,23955616,64865876,,,
1771414332.181,24,ga_gen0_cand2,1804728,1804728,24121020,62803116,,,
1771414335.446,14,ga_gen0_cand1,1792632,1792632,23955624,64865876,,,
1771414337.697,25,ga_gen0_cand2,1805092,1805092,24121024,62803116,,,
1771414340.788,15,ga_gen0_cand1,1793384,1793384,23955636,64865876,,,
1771414343.176,26,ga_gen0_cand2,1805640,1805640,24121028,62803116,,,
1771414345.732,16,ga_gen0_cand1,1793980,1793980,23955644,64865876,,,
1771414348.509,27,ga_gen0_cand2,1806140,1806140,24121032,62803116,,,
1771414350.747,17,ga_gen0_cand1,1794736,1794736,23955656,64865876,,,
1771414354.092,28,ga_gen0_cand2,1806664,1806664,24121036,62803116,,,
1771414356.025,18,ga_gen0_cand1,1795420,1795420,23955664,64865876,,,
1771414359.497,29,ga_gen0_cand2,1807308,1807308,24121040,62803116,,,
1771414361.459,19,ga_gen0_cand1,1796240,1796240,23955668,64865876,,,
1771414365.120,30,ga_gen0_cand2,1807744,1807744,24121044,62803116,,,
1771414366.709,20,ga_gen0_cand1,1796904,1796904,23955676,64865876,,,
1771414370.644,31,ga_gen0_cand2,1808364,1808364,24121048,62803116,,,
1771414372.142,21,ga_gen0_cand1,1797460,1797460,23955680,64865876,,,
1771414376.174,32,ga_gen0_cand2,1808824,1808824,24121052,62803116,,,
1771414377.372,22,ga_gen0_cand1,1798212,1798212,23955684,64865876,,,
1771414381.684,33,ga_gen0_cand2,1809232,1809232,24121056,62803116,,,
