ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1773535353.488,0,neat_gen0_cand1,1728332,1787680,8899644,158603284,,,
1773535362.926,1,neat_gen0_cand1,1733308,1787680,8899652,158603284,,,
1773535372.492,2,neat_gen0_cand1,1733876,1787680,8899660,158603284,,,
1773535382.329,3,neat_gen0_cand1,1734236,1787680,8899664,158603284,,,
1773535392.288,4,neat_gen0_cand1,1734432,1787680,8899672,158603284,,,
1773535402.246,5,neat_gen0_cand1,1734600,1787680,8899680,158603284,,,
1773535411.776,6,neat_gen0_cand1,1734824,1787680,8899688,158603284,,,
1773535421.644,7,neat_gen0_cand1,1734940,1787680,8899692,158603284,,,
1773535431.249,8,neat_gen0_cand1,1735040,1787680,8899696,158603284,,,
1773535441.329,9,neat_gen0_cand1,1735160,1787680,8899704,158603284,,,
1773535451.169,10,neat_gen0_cand1,1735168,1787680,8899712,158603284,,,
1773535460.425,11,neat_gen0_cand1,1735280,1787680,8899720,158603284,,,
1773535469.775,12,neat_gen0_cand1,1735356,1787680,8899724,158603284,,,
1773535479.168,13,neat_gen0_cand1,1735444,1787680,8899728,158603284,,,
1773535488.593,14,neat_gen0_cand1,1735528,1787680,8899732,158603284,,,
1773535497.866,15,neat_gen0_cand1,1735604,1787680,8899736,158603284,,,
1773535507.562,16,neat_gen0_cand1,1735604,1787680,8899740,158603284,,,
1773535516.986,17,neat_gen0_cand1,1735708,1787680,8899744,158603284,,,
1773535526.505,18,neat_gen0_cand1,1735776,1787680,8899748,158603284,,,
1773535536.009,19,neat_gen0_cand1,1735800,1787680,8899752,158603284,,,
1773535545.662,20,neat_gen0_cand1,1735808,1787680,8899756,158603284,,,
1773535555.110,21,neat_gen0_cand1,1735872,1787680,8899760,158603284,,,
1773535564.422,22,neat_gen0_cand1,1735896,1787680,8899764,158603284,,,
1773535573.568,23,neat_gen0_cand1,1736040,1787680,8899768,158603284,,,
1773535582.877,24,neat_gen0_cand1,1736112,1787680,8899772,158603284,,,
1773535592.254,25,neat_gen0_cand1,1736140,1787680,8899780,158603284,,,
1773535601.500,26,neat_gen0_cand1,1736208,1787680,8899784,158603284,,,
1773535610.790,27,neat_gen0_cand1,1736284,1787680,8899788,158603284,,,
1773535620.164,28,neat_gen0_cand1,1736352,1787680,8899792,158603284,,,
1773535629.759,29,neat_gen0_cand1,1736360,1787680,8899796,158603284,,,
1773535639.120,30,neat_gen0_cand1,1736368,1787680,8899800,158603284,,,
1773535648.364,31,neat_gen0_cand1,1736368,1787680,8899804,158603284,,,
1773535657.664,32,neat_gen0_cand1,1736416,1787680,8899808,158603284,,,
