Metric,Average,Std Dev,Min,Max
Train MAE H24,0.005377,0.000171,0.005135,0.005508
Train MAE H48,0.006080,0.002475,0.002586,0.008013
Train MAE H72,0.006238,0.003044,0.002352,0.009786
Train MAE H96,0.007754,0.002722,0.004178,0.010778
Train MAE H120,0.008444,0.003323,0.003777,0.011254
Train MAE H144,0.008815,0.003868,0.003458,0.012450
Train R2 H24,0.840926,0.010541,0.832480,0.855786
Train R2 H48,0.759737,0.141998,0.645139,0.959850
Train R2 H72,0.724362,0.207521,0.459319,0.966024
Train R2 H96,0.620419,0.230214,0.343771,0.907395
Train R2 H120,0.517091,0.281171,0.265244,0.909501
Train R2 H144,0.446274,0.358614,0.060768,0.924412
Train Uncertainty H24,0.001328,0.000458,0.000744,0.001863
Train Uncertainty H48,0.002252,0.000800,0.001560,0.003373
Train Uncertainty H72,0.002814,0.001150,0.001213,0.003866
Train Uncertainty H96,0.003370,0.001134,0.002258,0.004927
Train Uncertainty H120,0.003120,0.000387,0.002576,0.003447
Train Uncertainty H144,0.003283,0.000803,0.002164,0.004010
Train SNR H24,1059.414062,420.557831,654.531555,1639.156250
Train SNR H48,603.908752,177.675308,361.118439,781.361206
Train SNR H72,560.638428,314.145996,315.376160,1004.075378
Train SNR H96,401.285034,119.900368,246.978287,539.317139
Train SNR H120,396.712646,53.459953,353.337738,472.027649
Train SNR H144,399.090576,115.844887,303.524963,562.114319
Validation MAE H24,0.005255,0.000340,0.004782,0.005567
Validation MAE H48,0.007294,0.000731,0.006430,0.008219
Validation MAE H72,0.011728,0.002402,0.008472,0.014195
Validation MAE H96,0.010039,0.001464,0.008593,0.012045
Validation MAE H120,0.010651,0.000692,0.009718,0.011374
Validation MAE H144,0.013871,0.001695,0.011882,0.016023
Validation R2 H24,0.994302,0.000838,0.993171,0.995173
Validation R2 H48,0.987104,0.005602,0.979225,0.991759
Validation R2 H72,0.973688,0.009145,0.965885,0.986521
Validation R2 H96,0.972060,0.016038,0.949398,0.984190
Validation R2 H120,0.977176,0.001767,0.974824,0.979082
Validation R2 H144,0.963394,0.007628,0.956926,0.974104
Validation Uncertainty H24,0.007640,0.002288,0.004459,0.009743
Validation Uncertainty H48,0.009094,0.002131,0.006463,0.011681
Validation Uncertainty H72,0.011679,0.002811,0.009038,0.015572
Validation Uncertainty H96,0.010144,0.003912,0.005383,0.014964
Validation Uncertainty H120,0.009526,0.003589,0.006128,0.014490
Validation Uncertainty H144,0.012232,0.003209,0.009129,0.016651
Validation SNR H24,184.119446,68.538315,128.114395,280.633484
Validation SNR H48,145.320770,35.300941,106.969887,192.175476
Validation SNR H72,112.439728,24.070217,80.349709,138.320190
Validation SNR H96,145.917953,62.172642,83.233047,230.656174
Validation SNR H120,148.606079,47.878944,86.276031,202.679916
Validation SNR H144,108.771141,25.840685,74.445930,136.794067
Test MAE H24,0.004242,0.000102,0.004102,0.004342
Test MAE H48,0.005674,0.000611,0.004816,0.006198
Test MAE H72,0.007343,0.003111,0.003506,0.011126
Test MAE H96,0.007890,0.001492,0.005980,0.009621
Test MAE H120,0.008982,0.001032,0.007907,0.010374
Test MAE H144,0.011224,0.002045,0.009309,0.014060
Test R2 H24,0.979788,0.001024,0.978772,0.981189
Test R2 H48,0.961570,0.004972,0.957073,0.968499
Test R2 H72,0.919137,0.058102,0.841378,0.981014
Test R2 H96,0.916252,0.016498,0.893701,0.932709
Test R2 H120,0.894371,0.013636,0.876780,0.910010
Test R2 H144,0.834376,0.079092,0.723466,0.902383
Test Uncertainty H24,0.003283,0.000337,0.002834,0.003646
Test Uncertainty H48,0.003791,0.000666,0.003033,0.004654
Test Uncertainty H72,0.005450,0.003228,0.002214,0.009856
Test Uncertainty H96,0.006019,0.002450,0.003687,0.009405
Test Uncertainty H120,0.003956,0.000863,0.003194,0.005163
Test Uncertainty H144,0.006137,0.002104,0.003691,0.008827
Test SNR H24,364.914948,39.149075,324.979828,418.091919
Test SNR H48,321.888580,55.632286,254.361938,390.616760
Test SNR H72,310.270386,171.065323,119.476746,534.482422
Test SNR H96,228.470840,80.354439,125.453911,321.523102
Test SNR H120,311.820557,60.392998,228.528641,369.831573
Test SNR H144,218.856339,77.083496,133.533722,320.278503
