Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.647764,0.000000,0.647764,0.647764
Train Precision H1,0.275254,0.000000,0.275254,0.275254
Train Recall H1,0.413519,0.000000,0.413519,0.413519
Train F1 H1,0.330508,0.000000,0.330508,0.330508
Train AUC_ROC H1,0.579261,0.000000,0.579261,0.579261
Train AUC_PR H1,0.274083,0.000000,0.274083,0.274083
Train MCC H1,0.108386,0.000000,0.108386,0.108386
Train Brier H1,0.240218,0.000000,0.240218,0.240218
Train LogLoss H1,0.673559,0.000000,0.673559,0.673559
Train Pos_Rate_True H1,0.210255,0.000000,0.210255,0.210255
Train Pos_Rate_Pred H1,0.315870,0.000000,0.315870,0.315870
Train Uncertainty H1,,,,
Validation Accuracy H1,0.607438,0.000000,0.607438,0.607438
Validation Precision H1,0.246094,0.000000,0.246094,0.246094
Validation Recall H1,0.406452,0.000000,0.406452,0.406452
Validation F1 H1,0.306569,0.000000,0.306569,0.306569
Validation AUC_ROC H1,0.553056,0.000000,0.553056,0.553056
Validation AUC_PR H1,0.243679,0.000000,0.243679,0.243679
Validation MCC H1,0.058705,0.000000,0.058705,0.058705
Validation Brier H1,0.242058,0.000000,0.242058,0.242058
Validation LogLoss H1,0.677238,0.000000,0.677238,0.677238
Validation Pos_Rate_True H1,0.213499,0.000000,0.213499,0.213499
Validation Pos_Rate_Pred H1,0.352617,0.000000,0.352617,0.352617
Validation Uncertainty H1,,,,
Test Accuracy H1,0.546832,0.000000,0.546832,0.546832
Test Precision H1,0.211382,0.000000,0.211382,0.211382
Test Recall H1,0.429043,0.000000,0.429043,0.429043
Test F1 H1,0.283224,0.000000,0.283224,0.283224
Test AUC_ROC H1,0.510037,0.000000,0.510037,0.510037
Test AUC_PR H1,0.237224,0.000000,0.237224,0.237224
Test MCC H1,0.005705,0.000000,0.005705,0.005705
Test Brier H1,0.250787,0.000000,0.250787,0.250787
Test LogLoss H1,0.694830,0.000000,0.694830,0.694830
Test Pos_Rate_True H1,0.208678,0.000000,0.208678,0.208678
Test Pos_Rate_Pred H1,0.423554,0.000000,0.423554,0.423554
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
