Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.755153,0.000000,0.755153,0.755153
Train Precision H1,1.000000,0.000000,1.000000,1.000000
Train Recall H1,0.001129,0.000000,0.001129,0.001129
Train F1 H1,0.002255,0.000000,0.002255,0.002255
Train AUC_ROC H1,0.508629,0.000000,0.508629,0.508629
Train AUC_PR H1,0.249104,0.000000,0.249104,0.249104
Train MCC H1,0.029193,0.000000,0.029193,0.029193
Train Brier H1,0.184751,0.000000,0.184751,0.184751
Train LogLoss H1,0.555816,0.000000,0.555816,0.555816
Train Pos_Rate_True H1,0.245124,0.000000,0.245124,0.245124
Train Pos_Rate_Pred H1,0.000277,0.000000,0.000277,0.000277
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.745346,0.000000,0.745346,0.745346
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.509261,0.000000,0.509261,0.509261
Validation AUC_PR H1,0.258589,0.000000,0.258589,0.258589
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.189635,0.000000,0.189635,0.189635
Validation LogLoss H1,0.566899,0.000000,0.566899,0.566899
Validation Pos_Rate_True H1,0.254654,0.000000,0.254654,0.254654
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.743351,0.000000,0.743351,0.743351
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.498335,0.000000,0.498335,0.498335
Test AUC_PR H1,0.255886,0.000000,0.255886,0.255886
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.190875,0.000000,0.190875,0.190875
Test LogLoss H1,0.569776,0.000000,0.569776,0.569776
Test Pos_Rate_True H1,0.256649,0.000000,0.256649,0.256649
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
