ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775541940.364,0,,1311204,1311204,60638396,60867152,,,
1775541941.327,1,,1320440,1320440,60638408,62630020,,,
1775541942.301,2,,1324376,1324376,60638416,62825612,,,
1775541943.255,3,,1328896,1328896,60638424,62825612,,,
1775541944.189,4,,1334508,1334508,60638432,62825612,,,
1775541945.127,5,,1338856,1338856,60638440,62825612,,,
1775541946.079,6,,1343800,1343800,60638448,62825612,,,
1775541947.036,7,,1347944,1347944,60638456,62825612,,,
1775541947.987,8,,1353760,1353760,60638464,62825612,,,
1775541948.928,9,,1357628,1357628,60638472,62825612,,,
1775541949.886,10,,1361980,1361980,60638480,62825612,,,
1775541950.842,11,,1365328,1365328,60638488,62825612,,,
1775541951.797,12,,1370016,1370016,60638496,62825612,,,
1775541952.751,13,,1372268,1372268,60638504,62825700,,,
1775541953.707,14,,1375064,1375064,60638512,62825700,,,
1775541954.650,15,,1379104,1379104,60638520,62825700,,,
1775541955.574,16,,1383288,1383288,60638528,62825700,,,
1775541956.513,17,,1385724,1385724,60638536,62825700,,,
1775541957.460,18,,1388828,1388828,60638544,62825700,,,
1775541958.379,19,,1390288,1390288,60638552,62825700,,,
1775541959.328,20,,1393200,1393200,60638560,62825700,,,
1775541960.285,21,,1396928,1396928,60638572,62825700,,,
1775541961.246,22,,1399984,1399984,60638580,62825700,,,
1775541962.205,23,,1402268,1402268,60638588,62825700,,,
1775541963.152,24,,1402892,1402892,60638596,62825700,,,
1775541964.103,25,,1403308,1403308,60638608,62825700,,,
1775541965.061,26,,1406420,1406420,60638616,62825804,,,
1775541966.001,27,,1408700,1408700,60638624,62825804,,,
1775541966.945,28,,1409744,1409744,60638636,62825804,,,
1775541967.894,29,,1411740,1411740,60638648,62825804,,,
1775541968.830,30,,1411948,1411948,60638656,62825804,,,
1775541969.786,31,,1414436,1414436,60638664,62825804,,,
1775541970.768,32,,1417540,1417540,60638672,62825804,,,
1775541971.732,33,,1420328,1420328,60638680,62825804,,,
1775541972.691,34,,1422396,1422396,60638688,62825804,,,
1775541973.660,35,,1426000,1426000,60638700,62825804,,,
1775541974.608,36,,1426628,1426628,60638708,62825804,,,
1775541975.557,37,,1428912,1428912,60638720,62825804,,,
1775541976.517,38,,1429120,1429120,60638732,62825804,,,
1775541977.440,39,,1431312,1431312,60638744,62825804,,,
1775541978.386,40,,1431316,1431316,60638752,62825804,,,
1775541979.343,41,,1434216,1434216,60638760,62825804,,,
1775541980.299,42,,1435464,1435464,60638768,62825804,,,
1775541981.240,43,,1437536,1437536,60638776,62825804,,,
1775541982.212,44,,1438424,1438424,60638784,62825804,,,
1775541983.175,45,,1438456,1438456,60638792,62825804,,,
