Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.347712,0.000000,0.347712,0.347712
Train Precision H1,0.255791,0.000000,0.255791,0.255791
Train Recall H1,0.866253,0.000000,0.866253,0.866253
Train F1 H1,0.394957,0.000000,0.394957,0.394957
Train AUC_ROC H1,0.561466,0.000000,0.561466,0.561466
Train AUC_PR H1,0.295921,0.000000,0.295921,0.295921
Train MCC H1,0.051855,0.000000,0.051855,0.051855
Train Brier H1,0.256450,0.000000,0.256450,0.256450
Train LogLoss H1,0.706060,0.000000,0.706060,0.706060
Train Pos_Rate_True H1,0.245770,0.000000,0.245770,0.245770
Train Pos_Rate_Pred H1,0.832316,0.000000,0.832316,0.832316
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.303704,0.000000,0.303704,0.303704
Validation Precision H1,0.263879,0.000000,0.263879,0.263879
Validation Recall H1,0.965699,0.000000,0.965699,0.965699
Validation F1 H1,0.414496,0.000000,0.414496,0.414496
Validation AUC_ROC H1,0.544761,0.000000,0.544761,0.544761
Validation AUC_PR H1,0.269689,0.000000,0.269689,0.269689
Validation MCC H1,0.074726,0.000000,0.074726,0.074726
Validation Brier H1,0.258797,0.000000,0.258797,0.258797
Validation LogLoss H1,0.710761,0.000000,0.710761,0.710761
Validation Pos_Rate_True H1,0.255219,0.000000,0.255219,0.255219
Validation Pos_Rate_Pred H1,0.934007,0.000000,0.934007,0.934007
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.261279,0.000000,0.261279,0.261279
Test Precision H1,0.260283,0.000000,0.260283,0.260283
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.413055,0.000000,0.413055,0.413055
Test AUC_ROC H1,0.551278,0.000000,0.551278,0.551278
Test AUC_PR H1,0.288777,0.000000,0.288777,0.288777
Test MCC H1,0.021764,0.000000,0.021764,0.021764
Test Brier H1,0.262320,0.000000,0.262320,0.262320
Test LogLoss H1,0.717814,0.000000,0.717814,0.717814
Test Pos_Rate_True H1,0.259933,0.000000,0.259933,0.259933
Test Pos_Rate_Pred H1,0.998653,0.000000,0.998653,0.998653
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
