ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775542393.839,0,,1598156,1604896,58024360,92547596,,,
1775542396.096,1,,1607676,1607676,58024372,92547596,,,
1775542398.330,2,,1611772,1611772,58024384,92547596,,,
1775542400.547,3,,1617472,1617472,58024396,92547596,,,
1775542402.751,4,,1621664,1621664,58024408,92547596,,,
1775542404.964,5,,1627480,1627480,58024420,92547596,,,
1775542407.227,6,,1631656,1631656,58024432,92547596,,,
1775542409.467,7,,1635064,1635064,58024440,92547596,,,
1775542411.718,8,,1637968,1637968,58024448,92547596,,,
1775542413.913,9,,1642020,1642020,58024460,92547596,,,
1775542416.115,10,,1646104,1646104,58024472,92547596,,,
1775542418.199,11,,1650320,1650320,58024484,92547596,,,
1775542420.268,12,,1654600,1654600,58024496,92547596,,,
1775542422.338,13,,1658540,1658540,58024508,92547596,,,
1775542424.430,14,,1659804,1659804,58024516,92547596,,,
1775542426.535,15,,1662820,1662820,58024528,92547596,,,
1775542428.680,16,,1665712,1665712,58024536,92547596,,,
1775542430.789,17,,1669048,1669048,58024544,92547596,,,
1775542432.850,18,,1672776,1672776,58024552,92547596,,,
1775542434.861,19,,1675492,1675492,58024564,92547596,,,
1775542436.873,20,,1677120,1677120,58024572,92547596,,,
1775542438.902,21,,1678424,1678424,58024584,92547596,,,
1775542440.926,22,,1678428,1678428,58024596,92547596,,,
1775542442.894,23,,1679536,1679536,58024608,92547596,,,
1775542444.844,24,,1681532,1681532,58024616,92547596,,,
1775542446.830,25,,1682172,1682172,58024624,92547596,,,
1775542448.821,26,,1684240,1684240,58024632,92547596,,,
1775542450.798,27,,1685288,1685288,58024640,92547596,,,
1775542452.765,28,,1689232,1689232,58024648,92547596,,,
1775542454.711,29,,1691528,1691528,58024656,92547596,,,
1775542456.722,30,,1692816,1692816,58024664,92547596,,,
1775542458.740,31,,1693252,1693252,58024672,92547596,,,
1775542460.729,32,,1694780,1694780,58024676,92547596,,,
1775542462.674,33,,1696708,1696708,58024684,92547596,,,
1775542464.638,34,,1698988,1698988,58024696,92547596,,,
1775542466.634,35,,1700628,1700628,58024704,92547596,,,
1775542468.613,36,,1701048,1701048,58024712,92547596,,,
1775542470.640,37,,1703112,1703112,58024720,92547596,,,
1775542472.665,38,,1703556,1703556,58024728,92547596,,,
1775542474.789,39,,1705668,1705668,58024736,92547596,,,
1775542476.878,40,,1705884,1705884,58024744,92547596,,,
1775542478.962,41,,1706300,1706300,58024752,92547596,,,
1775542481.078,42,,1707132,1707132,58024760,92547596,,,
1775542483.318,43,,1709764,1709764,58024772,92547596,,,
1775542485.521,44,,1709772,1709772,58024784,92547596,,,
1775542487.661,45,,1709780,1709780,58024792,92547596,,,
1775542489.754,46,,1709780,1709780,58024800,92547596,,,
1775542491.838,47,,1711856,1711856,58024808,92547596,,,
1775542493.935,48,,1713204,1713204,58024816,92547596,,,
1775542496.020,49,,1713208,1713208,58024824,92547596,,,
1775542498.115,50,,1713248,1713248,58024832,92547596,,,
1775542500.221,51,,1713672,1713672,58024844,92547596,,,
1775542502.286,52,,1714840,1714840,58024852,92547596,,,
1775542504.356,53,,1714840,1714840,58024860,92547596,,,
1775542506.327,54,,1716504,1716504,58024868,92547596,,,
1775542508.344,55,,1718324,1718324,58024876,92547596,,,
1775542510.340,56,,1718384,1718384,58024884,92547596,,,
1775542512.307,57,,1719004,1719004,58024892,92547596,,,
1775542514.259,58,,1720304,1720304,58024900,92547596,,,
1775542516.230,59,,1720336,1720336,58024904,92547596,,,
1775542518.312,60,,1720540,1720540,58024912,92547596,,,
1775542520.367,61,,1720544,1720544,58024920,92547596,,,
1775542522.463,62,,1723856,1723856,58024928,92547596,,,
1775542524.516,63,,1723864,1723864,58024936,92547596,,,
1775542526.579,64,,1726764,1726764,58024944,92547596,,,
1775542528.622,65,,1726764,1726764,58024952,92547596,,,
1775542530.666,66,,1726972,1726972,58024960,92547596,,,
1775542532.700,67,,1727996,1727996,58024968,92547596,,,
1775542534.765,68,,1728204,1728204,58024976,92547596,,,
1775542536.772,69,,1729860,1729860,58024984,92547596,,,
1775542538.913,70,,1730300,1730300,58024996,92547596,,,
1775542540.933,71,,1730300,1730300,58025004,92547596,,,
1775542542.988,72,,1730920,1730920,58025012,92547596,,,
1775542544.989,73,,1730924,1730924,58025020,92547596,,,
1775542547.024,74,,1732580,1732580,58025028,92547596,,,
1775542548.999,75,,1733428,1733428,58025036,92547596,,,
1775542550.989,76,,1734324,1734324,58025044,92547596,,,
1775542552.973,77,,1734992,1734992,58025052,92547596,,,
1775542554.897,78,,1734996,1734996,58025056,92547596,,,
1775542556.850,79,,1735212,1735212,58025064,92547596,,,
1775542558.826,80,,1735260,1735260,58025072,92547596,,,
1775542560.785,81,,1736708,1736708,58025080,92547596,,,
1775542562.827,82,,1736708,1736708,58025088,92547596,,,
1775542564.913,83,,1737172,1737172,58025096,92547596,,,
1775542567.004,84,,1738252,1738252,58025104,92547596,,,
1775542569.167,85,,1738468,1738468,58025112,92547596,,,
1775542571.365,86,,1738468,1738468,58025120,92547596,,,
1775542573.562,87,,1738468,1738468,58025128,92547596,,,
1775542576.063,88,,1739920,1739920,58025136,92547596,,,
1775542578.534,89,,1740124,1740124,58025144,92547596,,,
1775542580.914,90,,1740180,1740180,58025156,92547596,,,
1775542583.414,91,,1740180,1740180,58025164,92547596,,,
1775542585.899,92,,1740632,1740632,58025172,92547596,,,
1775542588.407,93,,1741460,1741460,58025180,92547596,,,
1775542590.838,94,,1742500,1742500,58025188,92547596,,,
1775542593.224,95,,1742500,1742500,58025196,92547596,,,
1775542595.607,96,,1742504,1742504,58025204,92547596,,,
1775542598.075,97,,1743280,1743280,58025212,92547596,,,
1775542600.514,98,,1743960,1743960,58025220,92547596,,,
1775542602.880,99,,1743960,1743960,58025224,92547596,,,
1775542605.465,100,,1743960,1743960,58025228,92547596,,,
1775542608.052,101,,1744568,1744568,58025232,92547596,,,
1775542610.476,102,,1744568,1744568,58025236,92547596,,,
1775542612.853,103,,1745408,1745408,58025240,92547596,,,
1775542615.278,104,,1746648,1746648,58025244,92547596,,,
1775542617.674,105,,1746648,1746648,58025248,92547596,,,
1775542619.996,106,,1746852,1746852,58025252,92547596,,,
1775542622.297,107,,1746860,1746860,58025256,92547596,,,
1775542624.578,108,,1747052,1747052,58025260,92547596,,,
1775542627.021,109,,1747052,1747052,58025264,92547596,,,
1775542629.444,110,,1747676,1747676,58025268,92547596,,,
1775542631.942,111,,1747680,1747680,58025272,92547596,,,
1775542634.423,112,,1747684,1747684,58025272,92547596,,,
1775542636.765,113,,1747684,1747684,58025276,92547596,,,
1775542639.063,114,,1747684,1747684,58025276,92547596,,,
1775542641.378,115,,1748512,1748512,58025276,92547596,,,
1775542643.645,116,,1748512,1748512,58025280,92547596,,,
1775542645.966,117,,1748556,1748556,58025284,92547596,,,
1775542648.300,118,,1748556,1748556,58025288,92547596,,,
1775542650.637,119,,1748580,1748580,58025288,92547596,,,
1775542653.219,120,,1748580,1748580,58025288,92547596,,,
1775542655.848,121,,1748580,1748580,58025288,92547596,,,
1775542658.376,122,,1748580,1748580,58025288,92547596,,,
1775542660.832,123,,1749200,1749200,58025288,92547596,,,
1775542663.321,124,,1749556,1749556,58025292,92547596,,,
1775542666.220,125,,1749560,1749560,58025292,92547596,,,
1775542669.493,126,,1749768,1749768,58025296,92547596,,,
1775542672.540,127,,1749768,1749768,58025296,92547596,,,
1775542676.085,128,,1750184,1750184,58025300,92547596,,,
1775542679.188,129,,1750188,1750188,58025300,92547596,,,
1775542682.178,130,,1750812,1750812,58025304,92547596,,,
1775546246.345,0,,1607160,1613416,58024360,92539348,,,
1775546267.732,1,,1616204,1616204,58024372,92539348,,,
1775546289.012,2,,1621544,1621544,58024384,92539348,,,
1775554887.206,0,,1609692,1617136,58053276,92568264,,,
1775554902.712,1,,1619216,1619216,58053288,92568264,,,
1775554917.845,2,,1622192,1622192,58053300,92568264,,,
1775554932.565,3,,1627800,1627800,58053308,92568264,,,
1775554947.316,4,,1633064,1633064,58053316,92568264,,,
1775554961.899,5,,1637864,1637864,58053328,92568264,,,
1775554976.633,6,,1642452,1642452,58053336,92568264,,,
1775554991.273,7,,1647108,1647108,58053344,92568264,,,
1775555005.844,8,,1652180,1652180,58053352,92568264,,,
1775555020.268,9,,1656184,1656184,58053360,92568264,,,
