ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775542579.161,0,,1639120,1648120,57996324,91651660,,,
1775542583.520,1,,1649132,1649132,57996336,91651660,,,
1775542587.978,2,,1654716,1654716,57996348,91651660,,,
1775542592.263,3,,1659676,1659676,57996360,91651660,,,
1775542596.532,4,,1663892,1663892,57996372,91651660,,,
1775542600.968,5,,1668940,1668940,57996384,91651660,,,
1775542605.387,6,,1671680,1671680,57996396,91651660,,,
1775542609.913,7,,1676196,1676196,57996408,91651660,,,
1775542614.278,8,,1681792,1681792,57996420,91651660,,,
1775542618.566,9,,1685664,1685664,57996432,91651660,,,
1775542622.677,10,,1691212,1691212,57996444,91651660,,,
1775542626.965,11,,1696608,1696608,57996456,91651660,,,
1775542631.429,12,,1697864,1697864,57996468,91651660,,,
1775542635.801,13,,1699336,1699336,57996480,91651660,,,
1775542640.047,14,,1702364,1702364,57996492,91651660,,,
1775542644.176,15,,1705120,1705120,57996504,91651660,,,
1775542648.306,16,,1708640,1708640,57996516,91651660,,,
1775542652.769,17,,1709340,1709340,57996528,91651660,,,
1775542657.444,18,,1713352,1713352,57996540,91651660,,,
1775542661.932,19,,1715380,1715380,57996552,91651660,,,
1775542666.868,20,,1718100,1718100,57996564,91651660,,,
1775542672.200,21,,1718516,1718516,57996572,91651660,,,
1775542677.840,22,,1718788,1718788,57996584,91651660,,,
1775542682.817,23,,1719616,1719616,57996596,91651660,,,
1775542687.661,24,,1722352,1722352,57996608,91651660,,,
1775542692.358,25,,1723600,1723600,57996616,91651660,,,
1775542696.965,26,,1726284,1726284,57996628,91651660,,,
1775542701.394,27,,1728364,1728364,57996636,91651660,,,
1775542705.512,28,,1730076,1730076,57996644,91651660,,,
1775542709.678,29,,1731736,1731736,57996652,91651660,,,
1775542713.798,30,,1732408,1732408,57996660,91651660,,,
1775542717.901,31,,1733660,1733660,57996668,91651660,,,
1775542722.046,32,,1734808,1734808,57996676,91651660,,,
1775542726.184,33,,1734856,1734856,57996688,91651660,,,
1775542730.379,34,,1738388,1738388,57996700,91651660,,,
1775542734.535,35,,1740108,1740108,57996708,91651660,,,
1775542738.656,36,,1742388,1742388,57996720,91651660,,,
1775542742.840,37,,1746172,1746172,57996728,91651660,,,
1775542747.075,38,,1747628,1747628,57996736,91651660,,,
1775542751.320,39,,1747664,1747664,57996744,91651660,,,
1775542756.222,40,,1748088,1748088,57996752,91651660,,,
1775542761.578,41,,1750540,1750540,57996764,91651660,,,
1775542767.007,42,,1751368,1751368,57996776,91651660,,,
1775542772.530,43,,1752200,1752200,57996784,91651660,,,
1775542778.046,44,,1753236,1753236,57996792,91651660,,,
1775542783.585,45,,1755312,1755312,57996800,91651660,,,
1775542789.097,46,,1756000,1756000,57996808,91651660,,,
1775542794.608,47,,1756472,1756472,57996816,91651660,,,
1775542800.121,48,,1756684,1756684,57996824,91651660,,,
1775542805.585,49,,1757836,1757836,57996832,91651660,,,
1775542810.962,50,,1759244,1759244,57996840,91651660,,,
1775542816.382,51,,1759456,1759456,57996848,91651660,,,
1775542821.910,52,,1760904,1760904,57996856,91651660,,,
1775542827.346,53,,1762880,1762880,57996864,91651660,,,
1775542832.919,54,,1763616,1763616,57996872,91651660,,,
1775542838.454,55,,1764636,1764636,57996880,91651660,,,
1775542844.004,56,,1765264,1765264,57996888,91651660,,,
1775542850.923,57,,1765444,1765444,57996896,91651660,,,
1775542857.821,58,,1766068,1766068,57996904,91651660,,,
1775542864.940,59,,1768136,1768136,57996912,91651660,,,
1775542871.975,60,,1768972,1768972,57996920,91651660,,,
1775542879.047,61,,1769800,1769800,57996932,91651660,,,
1775542886.102,62,,1770832,1770832,57996940,91651660,,,
1775542893.142,63,,1770836,1770836,57996948,91651660,,,
1775542900.208,64,,1771048,1771048,57996956,91651660,,,
1775542907.289,65,,1771668,1771668,57996964,91651660,,,
1775542914.374,66,,1772092,1772092,57996972,91651660,,,
1775542921.448,67,,1773136,1773136,57996980,91651660,,,
1775542928.641,68,,1774380,1774380,57996988,91651660,,,
1775542936.571,69,,1776048,1776048,57996996,91651660,,,
1775542945.003,70,,1777280,1777280,57997008,91651660,,,
1775542953.576,71,,1777956,1777956,57997016,91651660,,,
1775542962.193,72,,1777960,1777960,57997024,91651660,,,
1775542970.762,73,,1778168,1778168,57997036,91651660,,,
1775542979.340,74,,1778212,1778212,57997044,91651660,,,
1775542987.910,75,,1778224,1778224,57997052,91651660,,,
1775542996.441,76,,1778844,1778844,57997060,91651660,,,
1775543004.945,77,,1779064,1779064,57997068,91651660,,,
1775543013.571,78,,1779532,1779532,57997076,91651660,,,
1775543022.073,79,,1779764,1779764,57997088,91651660,,,
1775543031.961,80,,1779768,1779768,57997096,91651660,,,
1775543042.162,81,,1779976,1779976,57997104,91651660,,,
1775543052.180,82,,1780392,1780392,57997112,91651660,,,
1775543062.394,83,,1780404,1780404,57997120,91651660,,,
1775543072.442,84,,1780820,1780820,57997128,91651660,,,
1775543082.613,85,,1781028,1781028,57997136,91651660,,,
1775543092.838,86,,1781068,1781068,57997144,91651660,,,
1775543102.818,87,,1781084,1781084,57997152,91651660,,,
1775543113.107,88,,1782124,1782124,57997160,91651660,,,
1775543124.785,89,,1783164,1783164,57997168,91651660,,,
1775543136.456,90,,1783376,1783376,57997176,91651660,,,
1775543148.065,91,,1784000,1784000,57997184,91651660,,,
1775543159.604,92,,1784000,1784000,57997192,91651660,,,
1775543171.202,93,,1784000,1784000,57997200,91651660,,,
1775543182.797,94,,1784000,1784000,57997208,91651660,,,
1775543194.515,95,,1784412,1784412,57997216,91651660,,,
1775543206.593,96,,1785036,1785036,57997224,91651660,,,
1775543219.579,97,,1785036,1785036,57997232,91651660,,,
1775543232.665,98,,1785036,1785036,57997244,91651660,,,
1775543245.914,99,,1785644,1785644,57997252,91651660,,,
1775543259.140,100,,1786472,1786472,57997256,91651660,,,
1775543272.179,101,,1786476,1786476,57997260,91651660,,,
1775543285.304,102,,1786528,1786528,57997264,91651660,,,
1775543298.638,103,,1787564,1787564,57997268,91651660,,,
1775543312.895,104,,1787568,1787568,57997272,91651660,,,
1775543327.034,105,,1787604,1787604,57997276,91651660,,,
1775543341.301,106,,1787812,1787812,57997280,91651660,,,
1775543355.687,107,,1788432,1788432,57997284,91651660,,,
1775543369.807,108,,1789476,1789476,57997288,91651660,,,
1775543384.089,109,,1790304,1790304,57997292,91651660,,,
1775543399.447,110,,1790304,1790304,57997296,91651660,,,
1775543414.719,111,,1790304,1790304,57997300,91651660,,,
1775543430.171,112,,1790308,1790308,57997304,91651660,,,
1775543445.511,113,,1790308,1790308,57997312,91651660,,,
1775543460.762,114,,1790360,1790360,57997320,91651660,,,
1775543476.367,115,,1790360,1790360,57997324,91651660,,,
1775543492.863,116,,1790360,1790360,57997328,91651660,,,
1775543509.246,117,,1791808,1791808,57997332,91651660,,,
1775543525.956,118,,1791808,1791808,57997336,91651660,,,
1775543542.428,119,,1791808,1791808,57997340,91651660,,,
1775543558.930,120,,1791808,1791808,57997344,91651660,,,
1775543576.474,121,,1792220,1792220,57997352,91651660,,,
1775543594.159,122,,1792220,1792220,57997356,91651660,,,
1775543611.779,123,,1792220,1792220,57997360,91651660,,,
1775543629.603,124,,1792844,1792844,57997368,91651660,,,
1775543647.350,125,,1793452,1793452,57997372,91651660,,,
1775543665.262,126,,1794080,1794080,57997376,91651660,,,
1775543685.095,127,,1794080,1794080,57997380,91651660,,,
1775543705.552,128,,1794080,1794080,57997384,91651660,,,
1775543726.443,129,,1795324,1795324,57997392,91651660,,,
1775543747.238,130,,1795324,1795324,57997396,91651660,,,
1775543768.728,131,,1795324,1795324,57997400,91651660,,,
1775543792.714,132,,1795532,1795532,57997404,91651660,,,
1775543816.652,133,,1795740,1795740,57997408,91651660,,,
1775543840.930,134,,1796152,1796152,57997412,91651660,,,
1775543866.692,135,,1796564,1796564,57997420,91651660,,,
1775543893.008,136,,1796812,1796812,57997424,91651660,,,
1775543919.683,137,,1796624,1796624,57997428,91651660,,,
1775543945.501,138,,1796656,1796656,57997432,91651660,,,
1775543974.341,139,,1797068,1797068,57997436,91651660,,,
1775544003.168,140,,1797068,1797068,57997440,91651660,,,
1775544033.390,141,,1797068,1797068,57997444,91651660,,,
1775544065.842,142,,1797688,1797688,57997448,91651660,,,
1775544098.671,143,,1798052,1798052,57997452,91651660,,,
1775544133.072,144,,1795260,1796632,57997456,91651660,,,
1775544169.271,145,,1795512,1796632,57997464,91651660,,,
1775544205.295,146,,1792808,1796632,57997468,91651660,,,
1775544241.102,147,,1793264,1796632,57997472,91651660,,,
1775544275.939,148,,1793264,1796632,57997476,91651660,,,
1775544310.693,149,,1793264,1796632,57997480,91651660,,,
1775544345.075,150,,1793264,1796632,57997484,91651660,,,
1775544380.072,151,,1793264,1796632,57997488,91651660,,,
1775544414.784,152,,1793680,1796632,57997492,91651660,,,
1775544449.503,153,,1793920,1796632,57997496,91651660,,,
1775544483.599,154,,1793924,1796632,57997500,91651660,,,
1775544516.960,155,,1794132,1796632,57997504,91651660,,,
1775544549.731,156,,1794752,1796632,57997508,91651660,,,
1775544582.313,157,,1794752,1796632,57997516,91651660,,,
1775544614.820,158,,1794752,1796632,57997520,91651660,,,
1775544646.588,159,,1794796,1796632,57997524,91651660,,,
1775544677.474,160,,1794796,1796632,57997528,91651660,,,
1775544708.737,161,,1794808,1796632,57997532,91651660,,,
1775544740.069,162,,1795016,1796632,57997536,91651660,,,
1775544771.155,163,,1795020,1796632,57997540,91651660,,,
1775544802.191,164,,1795020,1796632,57997544,91651660,,,
1775544833.284,165,,1795020,1796632,57997548,91651660,,,
1775544864.254,166,,1795228,1796632,57997552,91651660,,,
1775544894.107,167,,1795228,1796632,57997556,91651660,,,
1775544923.747,168,,1795232,1796632,57997560,91651660,,,
1775544953.804,169,,1795232,1796632,57997564,91651660,,,
1775544984.152,170,,1795232,1796632,57997568,91651660,,,
1775545013.874,171,,1795232,1796632,57997572,91651660,,,
1775545042.760,172,,1795232,1796632,57997576,91651660,,,
1775545071.323,173,,1795232,1796632,57997580,91651660,,,
1775545099.992,174,,1795232,1796632,57997584,91651660,,,
1775545128.615,175,,1795236,1796632,57997588,91651660,,,
1775545157.084,176,,1795236,1796632,57997592,91651660,,,
1775545184.977,177,,1795296,1796632,57997600,91651660,,,
