ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775542670.671,0,,1646152,1653256,57996324,91651660,,,
1775542676.250,1,,1655356,1655356,57996336,91651660,,,
1775542681.414,2,,1661208,1661208,57996344,91651660,,,
1775542686.228,3,,1666888,1666888,57996352,91651660,,,
1775542691.014,4,,1669812,1669812,57996360,91651660,,,
1775542695.568,5,,1673408,1673408,57996368,91651660,,,
1775542700.030,6,,1677748,1677748,57996376,91651660,,,
1775542704.224,7,,1681168,1681168,57996388,91651660,,,
1775542708.398,8,,1686652,1686652,57996400,91651660,,,
1775542712.514,9,,1689160,1689160,57996412,91651660,,,
1775542716.616,10,,1694344,1694344,57996424,91651660,,,
1775542720.736,11,,1698116,1698116,57996436,91651660,,,
1775542724.898,12,,1700824,1700824,57996448,91651660,,,
1775542729.044,13,,1704416,1704416,57996460,91651660,,,
1775542733.228,14,,1707616,1707616,57996468,91651660,,,
1775542737.351,15,,1709704,1709704,57996480,91651660,,,
1775542741.493,16,,1712776,1712776,57996492,91651660,,,
1775542745.709,17,,1714136,1714136,57996504,91651660,,,
1775542750.014,18,,1715180,1715180,57996516,91651660,,,
1775542754.473,19,,1717536,1717536,57996528,91651660,,,
1775542759.779,20,,1721756,1721756,57996540,91651660,,,
1775542765.168,21,,1724288,1724288,57996552,91651660,,,
1775542770.611,22,,1724736,1724736,57996560,91651660,,,
1775542776.084,23,,1727464,1727464,57996572,91651660,,,
1775542781.562,24,,1730296,1730296,57996580,91651660,,,
1775542786.944,25,,1733296,1733296,57996588,91651660,,,
1775542792.546,26,,1735136,1735136,57996596,91651660,,,
1775542797.871,27,,1735776,1735776,57996604,91651660,,,
1775542803.351,28,,1735824,1735824,57996612,91651660,,,
1775542808.748,29,,1737056,1737056,57996624,91651660,,,
1775542814.159,30,,1740752,1740752,57996632,91651660,,,
1775542819.545,31,,1741328,1741328,57996640,91651660,,,
1775542824.966,32,,1743672,1743672,57996648,91651660,,,
1775542830.359,33,,1745340,1745340,57996656,91651660,,,
1775542835.870,34,,1747824,1747824,57996664,91651660,,,
1775542841.351,35,,1748312,1748312,57996672,91651660,,,
1775542847.393,36,,1750236,1750236,57996680,91651660,,,
1775542854.245,37,,1752532,1752532,57996688,91651660,,,
1775542861.144,38,,1754816,1754816,57996696,91651660,,,
1775542868.163,39,,1757088,1757088,57996704,91651660,,,
1775542875.253,40,,1757724,1757724,57996712,91651660,,,
1775542882.257,41,,1759796,1759796,57996724,91651660,,,
1775542889.209,42,,1760216,1760216,57996736,91651660,,,
1775542896.214,43,,1762804,1762804,57996748,91651660,,,
1775542903.259,44,,1763840,1763840,57996756,91651660,,,
1775542910.175,45,,1766284,1766284,57996768,91651660,,,
1775542917.158,46,,1766880,1766880,57996776,91651660,,,
1775542924.236,47,,1768652,1768652,57996788,91651660,,,
1775542931.281,48,,1769308,1769308,57996796,91651660,,,
1775542939.463,49,,1769340,1769340,57996804,91651660,,,
1775542948.007,50,,1769396,1769396,57996816,91651660,,,
1775542956.573,51,,1769404,1769404,57996828,91651660,,,
1775542965.118,52,,1770456,1770456,57996840,91651660,,,
1775542973.515,53,,1771092,1771092,57996852,91651660,,,
1775542981.907,54,,1771512,1771512,57996864,91651660,,,
1775542990.422,55,,1771992,1771992,57996876,91651660,,,
1775542998.869,56,,1771992,1771992,57996884,91651660,,,
1775543007.450,57,,1772512,1772512,57996892,91651660,,,
1775543016.001,58,,1772664,1772664,57996900,91651660,,,
1775543024.825,59,,1772880,1772880,57996908,91651660,,,
1775543034.755,60,,1773092,1773092,57996916,91651660,,,
1775543044.665,61,,1774296,1774296,57996924,91651660,,,
1775543054.748,62,,1774296,1774296,57996932,91651660,,,
1775543064.743,63,,1774300,1774300,57996940,91651660,,,
1775543074.697,64,,1774300,1774300,57996948,91651660,,,
1775543084.711,65,,1774556,1774556,57996956,91651660,,,
1775543094.696,66,,1774976,1774976,57996964,91651660,,,
1775543104.741,67,,1775624,1775624,57996972,91651660,,,
1775543115.222,68,,1776172,1776172,57996980,91651660,,,
1775543126.634,69,,1777048,1777048,57996988,91651660,,,
1775543138.180,70,,1778084,1778084,57996996,91651660,,,
1775543149.726,71,,1778088,1778088,57997004,91651660,,,
1775543161.328,72,,1778508,1778508,57997012,91651660,,,
1775543172.817,73,,1778516,1778516,57997020,91651660,,,
1775543184.231,74,,1779972,1779972,57997032,91651660,,,
1775543195.846,75,,1780800,1780800,57997040,91651660,,,
1775543208.091,76,,1780840,1780840,57997048,91651660,,,
1775543221.047,77,,1781464,1781464,57997060,91651660,,,
1775543233.990,78,,1782500,1782500,57997068,91651660,,,
1775543247.023,79,,1782500,1782500,57997080,91651660,,,
1775543260.055,80,,1782500,1782500,57997088,91651660,,,
