ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775542759.443,0,,1649804,1649804,57996324,91651660,,,
1775542764.990,1,,1659836,1659836,57996336,91651660,,,
1775542770.575,2,,1662796,1662796,57996348,91651660,,,
1775542776.055,3,,1667960,1667960,57996360,91651660,,,
1775542781.653,4,,1674840,1674840,57996372,91651660,,,
1775542787.120,5,,1678328,1678328,57996384,91651660,,,
1775542792.792,6,,1682004,1682004,57996396,91651660,,,
1775542798.211,7,,1688044,1688044,57996408,91651660,,,
1775542803.759,8,,1692416,1692416,57996420,91651660,,,
1775542809.190,9,,1694812,1694812,57996432,91651660,,,
1775542814.653,10,,1698104,1698104,57996444,91651660,,,
1775542820.109,11,,1702848,1702848,57996456,91651660,,,
1775542825.582,12,,1706084,1706084,57996468,91651660,,,
1775542831.037,13,,1710472,1710472,57996480,91651660,,,
1775542836.563,14,,1714212,1714212,57996492,91651660,,,
1775542842.114,15,,1717948,1717948,57996504,91651660,,,
1775542848.498,16,,1721492,1721492,57996516,91651660,,,
1775542855.458,17,,1724488,1724488,57996528,91651660,,,
1775542862.617,18,,1724700,1724700,57996540,91651660,,,
1775542869.694,19,,1728448,1728448,57996548,91651660,,,
1775542876.783,20,,1731244,1731244,57996560,91651660,,,
1775542883.929,21,,1734348,1734348,57996572,91651660,,,
1775542890.932,22,,1735388,1735388,57996584,91651660,,,
1775542897.999,23,,1737672,1737672,57996596,91651660,,,
1775542905.160,24,,1739204,1739204,57996608,91651660,,,
1775542912.324,25,,1739832,1739832,57996620,91651660,,,
1775542919.293,26,,1741284,1741284,57996632,91651660,,,
1775542926.449,27,,1745428,1745428,57996644,91651660,,,
1775542933.822,28,,1745632,1745632,57996656,91651660,,,
1775542942.361,29,,1745636,1745636,57996664,91651660,,,
1775542950.795,30,,1746056,1746056,57996672,91651660,,,
1775542959.426,31,,1747092,1747092,57996680,91651660,,,
1775542968.030,32,,1747540,1747540,57996692,91651660,,,
1775542976.667,33,,1747904,1747904,57996704,91651660,,,
1775542985.316,34,,1748100,1748100,57996716,91651660,,,
1775542993.853,35,,1749144,1749144,57996728,91651660,,,
1775543002.452,36,,1749412,1749412,57996740,91651660,,,
1775543010.966,37,,1750664,1750664,57996752,91651660,,,
1775543019.732,38,,1752056,1752056,57996764,91651660,,,
1775543029.315,39,,1752892,1752892,57996776,91651660,,,
