Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.241069,0.000000,0.241069,0.241069
Train Precision H1,0.211286,0.000000,0.211286,0.211286
Train Recall H1,0.952663,0.000000,0.952663,0.952663
Train F1 H1,0.345865,0.000000,0.345865,0.345865
Train AUC_ROC H1,0.511236,0.000000,0.511236,0.511236
Train AUC_PR H1,0.219754,0.000000,0.219754,0.219754
Train MCC H1,0.007235,0.000000,0.007235,0.007235
Train Brier H1,0.251566,0.000000,0.251566,0.251566
Train LogLoss H1,0.696234,0.000000,0.696234,0.696234
Train Pos_Rate_True H1,0.210606,0.000000,0.210606,0.210606
Train Pos_Rate_Pred H1,0.949598,0.000000,0.949598,0.949598
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.215765,0.000000,0.215765,0.215765
Validation Precision H1,0.215765,0.000000,0.215765,0.215765
Validation Recall H1,1.000000,0.000000,1.000000,1.000000
Validation F1 H1,0.354945,0.000000,0.354945,0.354945
Validation AUC_ROC H1,0.496863,0.000000,0.496863,0.496863
Validation AUC_PR H1,0.215355,0.000000,0.215355,0.215355
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.252507,0.000000,0.252507,0.252507
Validation LogLoss H1,0.698161,0.000000,0.698161,0.698161
Validation Pos_Rate_True H1,0.215765,0.000000,0.215765,0.215765
Validation Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.201069,0.000000,0.201069,0.201069
Test Precision H1,0.201069,0.000000,0.201069,0.201069
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.334816,0.000000,0.334816,0.334816
Test AUC_ROC H1,0.500000,0.000000,0.500000,0.500000
Test AUC_PR H1,0.201069,0.000000,0.201069,0.201069
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.252636,0.000000,0.252636,0.252636
Test LogLoss H1,0.698419,0.000000,0.698419,0.698419
Test Pos_Rate_True H1,0.201069,0.000000,0.201069,0.201069
Test Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
