Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.272778,0.000000,0.272778,0.272778
Train Precision H1,0.247061,0.000000,0.247061,0.247061
Train Recall H1,0.963214,0.000000,0.963214,0.963214
Train F1 H1,0.393253,0.000000,0.393253,0.393253
Train AUC_ROC H1,0.530400,0.000000,0.530400,0.530400
Train AUC_PR H1,0.260683,0.000000,0.260683,0.260683
Train MCC H1,0.025302,0.000000,0.025302,0.025302
Train Brier H1,0.249170,0.000000,0.249170,0.249170
Train LogLoss H1,0.691471,0.000000,0.691471,0.691471
Train Pos_Rate_True H1,0.244669,0.000000,0.244669,0.244669
Train Pos_Rate_Pred H1,0.953891,0.000000,0.953891,0.953891
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.241817,0.000000,0.241817,0.241817
Validation Precision H1,0.241817,0.000000,0.241817,0.241817
Validation Recall H1,1.000000,0.000000,1.000000,1.000000
Validation F1 H1,0.389457,0.000000,0.389457,0.389457
Validation AUC_ROC H1,0.525739,0.000000,0.525739,0.525739
Validation AUC_PR H1,0.258782,0.000000,0.258782,0.258782
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.250665,0.000000,0.250665,0.250665
Validation LogLoss H1,0.694478,0.000000,0.694478,0.694478
Validation Pos_Rate_True H1,0.241817,0.000000,0.241817,0.241817
Validation Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.299933,0.000000,0.299933,0.299933
Test Precision H1,0.299933,0.000000,0.299933,0.299933
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.461459,0.000000,0.461459,0.461459
Test AUC_ROC H1,0.501891,0.000000,0.501891,0.501891
Test AUC_PR H1,0.306837,0.000000,0.306837,0.306837
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.250515,0.000000,0.250515,0.250515
Test LogLoss H1,0.694178,0.000000,0.694178,0.694178
Test Pos_Rate_True H1,0.299933,0.000000,0.299933,0.299933
Test Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
