ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775543212.795,0,,1546864,1559860,63549016,98533672,,,
1775543222.218,1,,1549044,1559860,63549028,98533672,,,
1775543231.673,2,,1551176,1559860,63549040,98533672,,,
1775543241.091,3,,1551488,1559860,63549052,98533672,,,
1775543250.418,4,,1552008,1559860,63549064,98533672,,,
1775543259.768,5,,1554344,1559860,63549072,98533672,,,
1775543269.111,6,,1555292,1559860,63549080,98533672,,,
1775543278.568,7,,1556292,1559860,63549088,98533672,,,
1775543288.045,8,,1557440,1559860,63549096,98533672,,,
1775543297.735,9,,1557908,1559860,63549104,98533672,,,
1775543308.127,10,,1558156,1559860,63549112,98533672,,,
1775543318.446,11,,1558612,1559860,63549120,98533672,,,
1775543328.851,12,,1558628,1559860,63549128,98533672,,,
1775543339.272,13,,1558644,1559860,63549136,98533672,,,
1775543349.465,14,,1559100,1559860,63549144,98533672,,,
1775543359.739,15,,1559340,1559860,63549152,98533672,,,
1775543369.994,16,,1559576,1559860,63549160,98533672,,,
1775543380.322,17,,1560036,1560036,63549168,98533672,,,
1775543391.119,18,,1560488,1560488,63549176,98533672,,,
1775543402.397,19,,1560724,1560724,63549184,98533672,,,
1775543413.725,20,,1560728,1560728,63549192,98533672,,,
1775543425.071,21,,1560968,1560968,63549200,98533672,,,
1775543436.368,22,,1560968,1560968,63549208,98533672,,,
1775543447.623,23,,1560976,1560976,63549220,98533672,,,
1775543458.906,24,,1560976,1560976,63549228,98533672,,,
1775543470.323,25,,1561208,1561208,63549236,98533672,,,
1775543482.143,26,,1561212,1561212,63549244,98533672,,,
1775543494.257,27,,1561676,1561676,63549252,98533672,,,
1775543506.389,28,,1561676,1561676,63549260,98533672,,,
1775543518.554,29,,1561684,1561684,63549268,98533672,,,
1775543530.691,30,,1561932,1561932,63549276,98533672,,,
1775543542.732,31,,1562164,1562164,63549284,98533672,,,
1775543554.870,32,,1562168,1562168,63549292,98533672,,,
1775543567.086,33,,1562168,1562168,63549300,98533672,,,
1775543580.243,34,,1562396,1562396,63549308,98533672,,,
1775543593.370,35,,1562848,1562848,63549316,98533672,,,
1775543606.431,36,,1563080,1563080,63549324,98533672,,,
1775543619.413,37,,1563312,1563312,63549332,98533672,,,
1775543632.488,38,,1563312,1563312,63549340,98533672,,,
1775543645.503,39,,1563320,1563320,63549348,98533672,,,
1775543658.647,40,,1563320,1563320,63549356,98533672,,,
1775543671.613,41,,1563328,1563328,63549364,98533672,,,
1775543686.966,42,,1563564,1563564,63549372,98533672,,,
1775543701.999,43,,1563568,1563568,63549384,98533672,,,
1775543717.578,44,,1563568,1563568,63549392,98533672,,,
1775543732.939,45,,1563580,1563580,63549400,98533672,,,
1775543748.474,46,,1563584,1563584,63549404,98533672,,,
1775543763.929,47,,1563860,1563860,63549412,98533672,,,
1775543781.737,48,,1563868,1563868,63549420,98533672,,,
1775543799.285,49,,1563868,1563868,63549428,98533672,,,
1775543817.071,50,,1563868,1563868,63549436,98533672,,,
1775543834.855,51,,1563872,1563872,63549444,98533672,,,
1775543852.725,52,,1563876,1563876,63549452,98533672,,,
1775543872.481,53,,1563876,1563876,63549460,98533672,,,
1775543891.877,54,,1563876,1563876,63549468,98533672,,,
1775543911.643,55,,1563884,1563884,63549476,98533672,,,
1775543930.664,56,,1563604,1563604,63549484,98533672,,,
1775543950.098,57,,1563608,1563608,63549492,98533672,,,
1775543971.160,58,,1563616,1563616,63549500,98533672,,,
1775543992.066,59,,1563616,1563616,63549508,98533672,,,
1775544013.008,60,,1563120,1563120,63549516,98533672,,,
1775544034.892,61,,1563124,1563124,63549524,98533672,,,
1775544058.334,62,,1563128,1563128,63549532,98533672,,,
1775544081.813,63,,1563132,1563132,63549544,98533672,,,
1775544105.075,64,,1563140,1563140,63549552,98533672,,,
1775544129.312,65,,1562088,1562856,63549560,98533672,,,
1775544154.706,66,,1562092,1562856,63549564,98533672,,,
1775544180.330,67,,1562096,1562856,63549568,98533672,,,
1775544205.184,68,,1558936,1562856,63549576,98533672,,,
1775544230.433,69,,1558936,1562856,63549584,98533672,,,
1775544255.335,70,,1558948,1562856,63549592,98533672,,,
1775544279.809,71,,1558948,1562856,63549600,98533672,,,
1775544304.176,72,,1558956,1562856,63549608,98533672,,,
1775544328.575,73,,1558956,1562856,63549616,98533672,,,
1775544353.096,74,,1558956,1562856,63549624,98533672,,,
1775544377.561,75,,1558964,1562856,63549632,98533672,,,
1775544402.095,76,,1558968,1562856,63549640,98533672,,,
1775544426.619,77,,1558968,1562856,63549648,98533672,,,
1775544451.065,78,,1559224,1562856,63549656,98533672,,,
1775544475.137,79,,1559228,1562856,63549664,98533672,,,
1775544499.301,80,,1559228,1562856,63549672,98533672,,,
1775544522.888,81,,1559228,1562856,63549680,98533672,,,
1775544546.455,82,,1559232,1562856,63549688,98533672,,,
1775544569.912,83,,1559232,1562856,63549700,98533672,,,
1775556881.098,0,,1536852,1548740,63577904,98561772,,,
1775556895.204,1,,1539552,1548740,63577916,98561772,,,
1775556909.401,2,,1540804,1548740,63577928,98561772,,,
1775556923.442,3,,1541556,1548740,63577936,98561772,,,
1775556937.875,4,,1543000,1548740,63577944,98561772,,,
1775556951.850,5,,1544208,1548740,63577952,98561772,,,
1775556965.995,6,,1545396,1548740,63577960,98561772,,,
1775556980.229,7,,1545652,1548740,63577968,98561772,,,
1775556994.415,8,,1546296,1548740,63577976,98561772,,,
1775557008.537,9,,1546544,1548740,63577984,98561772,,,
