Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.232951,0.000000,0.232951,0.232951
Train Precision H1,0.210451,0.000000,0.210451,0.210451
Train Recall H1,0.960578,0.000000,0.960578,0.960578
Train F1 H1,0.345259,0.000000,0.345259,0.345259
Train AUC_ROC H1,0.512194,0.000000,0.512194,0.512194
Train AUC_PR H1,0.217340,0.000000,0.217340,0.217340
Train MCC H1,-0.001100,0.000000,-0.001100,-0.001100
Train Brier H1,0.274827,0.000000,0.274827,0.274827
Train LogLoss H1,0.929025,0.000000,0.929025,0.929025
Train Pos_Rate_True H1,0.210541,0.000000,0.210541,0.210541
Train Pos_Rate_Pred H1,0.960990,0.000000,0.960990,0.960990
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.214761,0.000000,0.214761,0.214761
Validation Precision H1,0.214761,0.000000,0.214761,0.214761
Validation Recall H1,1.000000,0.000000,1.000000,1.000000
Validation F1 H1,0.353585,0.000000,0.353585,0.353585
Validation AUC_ROC H1,0.500000,0.000000,0.500000,0.500000
Validation AUC_PR H1,0.214761,0.000000,0.214761,0.214761
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.264046,0.000000,0.264046,0.264046
Validation LogLoss H1,0.721260,0.000000,0.721260,0.721260
Validation Pos_Rate_True H1,0.214761,0.000000,0.214761,0.214761
Validation Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.201463,0.000000,0.201463,0.201463
Test Precision H1,0.201463,0.000000,0.201463,0.201463
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.335362,0.000000,0.335362,0.335362
Test AUC_ROC H1,0.500000,0.000000,0.500000,0.500000
Test AUC_PR H1,0.201463,0.000000,0.201463,0.201463
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.264675,0.000000,0.264675,0.264675
Test LogLoss H1,0.722519,0.000000,0.722519,0.722519
Test Pos_Rate_True H1,0.201463,0.000000,0.201463,0.201463
Test Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
