Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.250657,0.000000,0.250657,0.250657
Train Precision H1,0.245993,0.000000,0.245993,0.245993
Train Recall H1,0.996050,0.000000,0.996050,0.996050
Train F1 H1,0.394546,0.000000,0.394546,0.394546
Train AUC_ROC H1,0.517955,0.000000,0.517955,0.517955
Train AUC_PR H1,0.259619,0.000000,0.259619,0.259619
Train MCC H1,0.023292,0.000000,0.023292,0.023292
Train Brier H1,0.283861,0.000000,0.283861,0.283861
Train LogLoss H1,0.779057,0.000000,0.779057,0.779057
Train Pos_Rate_True H1,0.245124,0.000000,0.245124,0.245124
Train Pos_Rate_Pred H1,0.992530,0.000000,0.992530,0.992530
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.254654,0.000000,0.254654,0.254654
Validation Precision H1,0.254654,0.000000,0.254654,0.254654
Validation Recall H1,1.000000,0.000000,1.000000,1.000000
Validation F1 H1,0.405935,0.000000,0.405935,0.405935
Validation AUC_ROC H1,0.499512,0.000000,0.499512,0.499512
Validation AUC_PR H1,0.254701,0.000000,0.254701,0.254701
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.279707,0.000000,0.279707,0.279707
Validation LogLoss H1,0.752811,0.000000,0.752811,0.752811
Validation Pos_Rate_True H1,0.254654,0.000000,0.254654,0.254654
Validation Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.256649,0.000000,0.256649,0.256649
Test Precision H1,0.256649,0.000000,0.256649,0.256649
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.408466,0.000000,0.408466,0.408466
Test AUC_ROC H1,0.500000,0.000000,0.500000,0.500000
Test AUC_PR H1,0.256649,0.000000,0.256649,0.256649
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.279490,0.000000,0.279490,0.279490
Test LogLoss H1,0.752374,0.000000,0.752374,0.752374
Test Pos_Rate_True H1,0.256649,0.000000,0.256649,0.256649
Test Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
