Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.738968,0.000000,0.738968,0.738968
Train Precision H1,0.229358,0.000000,0.229358,0.229358
Train Recall H1,0.028265,0.000000,0.028265,0.028265
Train F1 H1,0.050327,0.000000,0.050327,0.050327
Train AUC_ROC H1,0.502382,0.000000,0.502382,0.502382
Train AUC_PR H1,0.247517,0.000000,0.247517,0.247517
Train MCC H1,-0.006296,0.000000,-0.006296,-0.006296
Train Brier H1,0.194725,0.000000,0.194725,0.194725
Train LogLoss H1,0.639668,0.000000,0.639668,0.639668
Train Pos_Rate_True H1,0.244709,0.000000,0.244709,0.244709
Train Pos_Rate_Pred H1,0.030156,0.000000,0.030156,0.030156
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.756649,0.000000,0.756649,0.756649
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.508683,0.000000,0.508683,0.508683
Validation AUC_PR H1,0.265384,0.000000,0.265384,0.265384
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.186193,0.000000,0.186193,0.186193
Validation LogLoss H1,0.560101,0.000000,0.560101,0.560101
Validation Pos_Rate_True H1,0.243351,0.000000,0.243351,0.243351
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.701463,0.000000,0.701463,0.701463
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.458436,0.000000,0.458436,0.458436
Test AUC_PR H1,0.282687,0.000000,0.282687,0.282687
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.209652,0.000000,0.209652,0.209652
Test LogLoss H1,0.610201,0.000000,0.610201,0.610201
Test Pos_Rate_True H1,0.298537,0.000000,0.298537,0.298537
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
