ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775543795.493,0,,1828824,1870776,61595296,145146296,,,
1775543825.315,1,,1842920,1870776,61595304,145146296,,,
1775543855.173,2,,1846476,1870776,61595308,145146296,,,
1775543888.799,3,,1851124,1870776,61595312,145146296,,,
1775543921.762,4,,1856856,1870776,61595316,145146296,,,
1775543955.236,5,,1859520,1870776,61595320,145146296,,,
1775543991.751,6,,1863920,1870776,61595324,145146296,,,
1775544028.410,7,,1867800,1870776,61595328,145146296,,,
1775544067.735,8,,1871796,1871796,61595332,145146296,,,
1775544107.163,9,,1875568,1875568,61595336,145146296,,,
1775544148.969,10,,1878368,1878368,61595340,145146296,,,
1775544191.522,11,,1881224,1881224,61595344,145146296,,,
1775544233.528,12,,1885172,1885172,61595348,145146296,,,
1775544275.181,13,,1887128,1887128,61595352,145146296,,,
1775544316.465,14,,1889616,1889616,61595356,145146296,,,
1775544357.825,15,,1893068,1893068,61595360,145146296,,,
1775544399.116,16,,1894948,1894948,61595364,145146296,,,
1775544440.228,17,,1898280,1898280,61595368,145146296,,,
1775544480.502,18,,1902860,1902860,61595372,145146296,,,
1775544520.326,19,,1904748,1904748,61595376,145146296,,,
1775544560.036,20,,1908036,1908036,61595384,145146296,,,
1775544599.079,21,,1909108,1909108,61595388,145146296,,,
1775544638.059,22,,1913208,1913208,61595392,145146296,,,
1775544676.421,23,,1914884,1914884,61595396,145146296,,,
1775544714.883,24,,1917064,1917064,61595400,145146296,,,
1775544753.193,25,,1919548,1919548,61595404,145146296,,,
1775544791.543,26,,1921956,1921956,61595408,145146296,,,
1775544829.791,27,,1922908,1922908,61595412,145146296,,,
1775544867.602,28,,1926356,1926356,61595416,145146296,,,
1775544904.314,29,,1927816,1927816,61595420,145146296,,,
1775544940.915,30,,1928240,1928240,61595424,145146296,,,
1775544977.837,31,,1929420,1929420,61595428,145146296,,,
1775545014.807,32,,1929640,1929640,61595432,145146296,,,
1775545050.821,33,,1930116,1930116,61595436,145146296,,,
1775545086.797,34,,1930760,1930760,61595440,145146296,,,
1775545122.481,35,,1931588,1931588,61595448,145146296,,,
1775545158.052,36,,1932912,1932912,61595452,145146296,,,
1775545193.229,37,,1933972,1933972,61595460,145146296,,,
1775545228.470,38,,1935232,1935232,61595468,145146296,,,
1775545263.702,39,,1935244,1935244,61595476,145146296,,,
1775545299.207,40,,1938416,1938416,61595480,145146296,,,
1775545334.493,41,,1941168,1941168,61595484,145146296,,,
1775545369.718,42,,1942280,1942280,61595488,145146296,,,
1775545405.000,43,,1943328,1943328,61595492,145146296,,,
1775545440.425,44,,1943544,1943544,61595496,145146296,,,
1775545475.634,45,,1944460,1944460,61595500,145146296,,,
1775545510.955,46,,1944876,1944876,61595504,145146296,,,
1775545546.244,47,,1945296,1945296,61595512,145146296,,,
1775545581.271,48,,1946548,1946548,61595516,145146296,,,
1775545616.376,49,,1947188,1947188,61595520,145146296,,,
