ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775543893.170,0,,1813792,1848876,61595296,145146296,,,
1775543928.580,1,,1827364,1848876,61595304,145146296,,,
1775543965.168,2,,1833724,1848876,61595312,145146296,,,
1775544003.603,3,,1836844,1848876,61595320,145146296,,,
1775544043.273,4,,1840436,1848876,61595328,145146296,,,
1775544085.801,5,,1845596,1848876,61595336,145146296,,,
1775544129.205,6,,1848176,1848876,61595340,145146296,,,
1775544175.435,7,,1854036,1854036,61595344,145146296,,,
1775544221.145,8,,1857636,1857636,61595352,145146296,,,
1775544266.220,9,,1862668,1862668,61595360,145146296,,,
1775544310.787,10,,1865432,1865432,61595364,145146296,,,
1775544355.246,11,,1869836,1869836,61595372,145146296,,,
1775544399.782,12,,1870428,1870428,61595380,145146296,,,
1775544444.119,13,,1872932,1872932,61595388,145146296,,,
1775544487.775,14,,1875952,1875952,61595392,145146296,,,
1775544530.724,15,,1879172,1879172,61595400,145146296,,,
1775544573.286,16,,1882036,1882036,61595408,145146296,,,
1775544615.054,17,,1885480,1885480,61595416,145146296,,,
1775544656.257,18,,1888676,1888676,61595420,145146296,,,
1775544697.036,19,,1889316,1889316,61595428,145146296,,,
1775544737.760,20,,1893080,1893080,61595436,145146296,,,
1775544778.661,21,,1895656,1895656,61595444,145146296,,,
1775544819.438,22,,1898084,1898084,61595448,145146296,,,
1775544859.945,23,,1900020,1900020,61595452,145146296,,,
1775544899.384,24,,1900860,1900860,61595460,145146296,,,
1775544938.648,25,,1902920,1902920,61595464,145146296,,,
1775544978.220,26,,1905004,1905004,61595472,145146296,,,
1775545017.821,27,,1906472,1906472,61595480,145146296,,,
1775545055.742,28,,1907312,1907312,61595484,145146296,,,
1775545093.583,29,,1907740,1907740,61595492,145146296,,,
1775545131.594,30,,1908688,1908688,61595496,145146296,,,
1775545169.234,31,,1912632,1912632,61595504,145146296,,,
1775545206.473,32,,1914312,1914312,61595508,145146296,,,
1775545243.769,33,,1917276,1917276,61595512,145146296,,,
1775545280.839,34,,1918076,1918076,61595516,145146296,,,
1775545318.017,35,,1918972,1918972,61595520,145146296,,,
1775545355.288,36,,1920012,1920012,61595524,145146296,,,
1775545392.525,37,,1921528,1921528,61595528,145146296,,,
1775545429.714,38,,1922208,1922208,61595532,145146296,,,
1775545466.903,39,,1922620,1922620,61595536,145146296,,,
1775545504.142,40,,1922632,1922632,61595540,145146296,,,
1775545541.380,41,,1922636,1922636,61595544,145146296,,,
1775545578.643,42,,1923688,1923688,61595548,145146296,,,
1775545615.926,43,,1924336,1924336,61595556,145146296,,,
1775545653.190,44,,1924912,1924912,61595564,145146296,,,
1775545690.685,45,,1925568,1925568,61595568,145146296,,,
1775545728.331,46,,1926396,1926396,61595572,145146296,,,
1775545765.994,47,,1927248,1927248,61595576,145146296,,,
1775545804.010,48,,1927456,1927456,61595580,145146296,,,
1775545842.472,49,,1928072,1928072,61595584,145146296,,,
1775545881.143,50,,1929404,1929404,61595588,145146296,,,
1775545919.966,51,,1930448,1930448,61595592,145146296,,,
1775545958.924,52,,1931084,1931084,61595600,145146296,,,
1775545998.305,53,,1931296,1931296,61595604,145146296,,,
1775546037.592,54,,1931524,1931524,61595612,145146296,,,
1775546077.803,55,,1931716,1931716,61595620,145146296,,,
1775546117.990,56,,1931924,1931924,61595624,145146296,,,
1775546158.977,57,,1931936,1931936,61595632,145146296,,,
1775546200.418,58,,1932344,1932344,61595636,145146296,,,
1775546241.563,59,,1933368,1933368,61595644,145146296,,,
1775546282.839,60,,1933580,1933580,61595648,145146296,,,
1775546323.904,61,,1934588,1934588,61595652,145146296,,,
1775546365.102,62,,1935664,1935664,61595656,145146296,,,
1775546406.137,63,,1937528,1937528,61595660,145146296,,,
1775546448.601,64,,1938372,1938372,61595664,145146296,,,
1775546491.196,65,,1938568,1938568,61595668,145146296,,,
1775546533.762,66,,1938984,1938984,61595672,145146296,,,
1775546576.348,67,,1939852,1939852,61595676,145146296,,,
1775546619.038,68,,1939868,1939868,61595680,145146296,,,
1775546661.592,69,,1940500,1940500,61595684,145146296,,,
1775546703.827,70,,1940508,1940508,61595688,145146296,,,
1775546745.983,71,,1940720,1940720,61595696,145146296,,,
1775546788.203,72,,1941148,1941148,61595700,145146296,,,
1775546830.391,73,,1941564,1941564,61595708,145146296,,,
1775546872.630,74,,1942396,1942396,61595712,145146296,,,
1775546914.824,75,,1942396,1942396,61595716,145146296,,,
1775546957.206,76,,1942600,1942600,61595720,145146296,,,
1775546999.405,77,,1943428,1943428,61595724,145146296,,,
1775547041.564,78,,1943432,1943432,61595728,145146296,,,
1775547083.847,79,,1944052,1944052,61595732,145146296,,,
1775547126.164,80,,1944468,1944468,61595736,145146296,,,
1775547168.389,81,,1944868,1944868,61595740,145146296,,,
1775547210.772,82,,1945072,1945072,61595748,145146296,,,
1775547253.078,83,,1945288,1945288,61595752,145146296,,,
1775547296.219,84,,1946324,1946324,61595760,145146296,,,
1775547338.380,85,,1946952,1946952,61595764,145146296,,,
