Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.757228,0.000000,0.757228,0.757228
Train Precision H1,0.888889,0.000000,0.888889,0.888889
Train Recall H1,0.009045,0.000000,0.009045,0.009045
Train F1 H1,0.017907,0.000000,0.017907,0.017907
Train AUC_ROC H1,0.627785,0.000000,0.627785,0.627785
Train AUC_PR H1,0.469080,0.000000,0.469080,0.469080
Train MCC H1,0.074862,0.000000,0.074862,0.074862
Train Brier H1,0.181431,0.000000,0.181431,0.181431
Train LogLoss H1,0.548655,0.000000,0.548655,0.548655
Train Pos_Rate_True H1,0.244709,0.000000,0.244709,0.244709
Train Pos_Rate_Pred H1,0.002490,0.000000,0.002490,0.002490
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.756649,0.000000,0.756649,0.756649
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.692410,0.000000,0.692410,0.692410
Validation AUC_PR H1,0.519535,0.000000,0.519535,0.519535
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.183798,0.000000,0.183798,0.183798
Validation LogLoss H1,0.555041,0.000000,0.555041,0.555041
Validation Pos_Rate_True H1,0.243351,0.000000,0.243351,0.243351
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.701463,0.000000,0.701463,0.701463
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.732317,0.000000,0.732317,0.732317
Test AUC_PR H1,0.602405,0.000000,0.602405,0.602405
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.198369,0.000000,0.198369,0.198369
Test LogLoss H1,0.584597,0.000000,0.584597,0.584597
Test Pos_Rate_True H1,0.298537,0.000000,0.298537,0.298537
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
