total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,l2_reg,learning_rate,min_delta,positional_encoding,tft_dropout,tft_hidden_units,tft_lstm_layers,tft_num_heads,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
1,0,1,features,,11,1,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],70,-0.47147070,0.052643,0.192047,0.028035,0.028035,-0.033355,0.194320,-0.47147070
2,0,2,features,,11,1,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],69,-0.48123354,0.054924,0.219062,0.011961,0.011961,-0.027749,0.209040,-0.48123354
3,0,3,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],70,-0.47147070,0.052643,0.192047,0.028035,0.028035,-0.033355,0.194320,-0.48123354
4,0,4,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],84,-0.37787386,0.081034,0.267394,-0.045660,-0.045660,-0.002861,0.262258,-0.48123354
5,0,5,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],70,-0.47147070,0.052643,0.192047,0.028035,0.028035,-0.033355,0.194320,-0.48123354
6,0,6,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],117,-0.37071350,0.071682,0.207161,-0.003834,-0.003834,-0.027758,0.221311,-0.48123354
7,0,7,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,,52,-0.38186298,0.067703,0.251480,-0.051045,-0.051045,-0.039354,0.234214,-0.48123354
8,0,8,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,,75,-0.33756103,0.059734,0.216344,-0.015848,-0.015848,-0.011394,0.232000,-0.48123354
9,0,9,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],119,-0.22818431,0.170871,0.350449,-0.057331,-0.057331,0.030374,0.256115,-0.48123354
10,0,10,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],76,-0.36403523,0.067805,0.269058,-0.018000,-0.018000,-0.068089,0.198726,-0.48123354
11,0,11,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,,151,-0.44006070,0.087431,0.309101,0.040359,0.040359,-0.016837,0.293073,-0.48123354
12,0,12,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],137,-0.18250015,0.206241,0.386824,-0.047641,-0.047641,0.020829,0.288889,-0.48123354
13,0,13,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,,83,-0.39573300,0.076703,0.230040,0.010328,0.010328,-0.048688,0.210117,-0.48123354
14,0,14,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,,145,-0.30289387,0.048736,0.148039,-0.025779,-0.025779,0.028825,0.254062,-0.48123354
15,0,15,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,,59,-0.40972961,0.070146,0.282810,-0.018216,-0.018216,-0.014242,0.264428,-0.48123354
16,0,16,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],93,-0.43124454,0.051650,0.275043,-0.008797,-0.008797,0.020167,0.290722,-0.48123354
17,0,17,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],151,-0.32263777,0.149444,0.313444,-0.009220,-0.009220,-0.021364,0.254673,-0.48123354
18,0,18,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],116,-0.48047963,0.050392,0.169259,-0.014646,-0.014646,-0.025156,0.205128,-0.48123354
19,0,19,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],58,-0.38462477,0.056203,0.263191,-0.046010,-0.046010,0.007121,0.283716,-0.48123354
20,0,20,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,,121,-0.33353030,0.066399,0.176826,-0.077782,-0.077782,0.015139,0.207381,-0.48123354
21,1,1,features,,11,0,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],58,-0.38984614,0.061143,0.230366,-0.047133,-0.047133,0.016259,0.266187,-0.48123354
22,1,2,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],93,-0.43124454,0.051650,0.275043,-0.008797,-0.008797,0.020167,0.290722,-0.48123354
23,1,3,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,,83,-0.43371160,0.071875,0.281269,-0.003971,-0.003971,-0.003280,0.264278,-0.48123354
24,1,4,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],58,-0.38462477,0.056203,0.263191,-0.046010,-0.046010,0.007121,0.283716,-0.48123354
25,1,5,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],70,-0.47147070,0.052643,0.192047,0.028035,0.028035,-0.033355,0.194320,-0.48123354
26,1,6,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,,59,-0.40972961,0.070146,0.282810,-0.018216,-0.018216,-0.014242,0.264428,-0.48123354
27,1,7,features,1,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],70,-0.47147070,0.052643,0.192047,0.028035,0.028035,-0.033355,0.194320,-0.48123354
28,1,8,features,,11,1,32,1e-06,0.001,1e-08,False,0.15,32,1,2,['typical_price'],127,-0.49192154,0.058247,0.199916,0.007296,0.007296,-0.037281,0.214580,-0.49192154
29,1,9,features,,11,0,32,1e-06,0.001,1e-08,True,0.15,32,1,2,['typical_price'],58,-0.38462477,0.056203,0.263191,-0.046010,-0.046010,0.007121,0.283716,-0.49192154
