ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775544054.632,0,,1519884,1558660,60576104,95885332,,,
1775544080.942,1,,1529996,1558660,60576112,105863240,,,
1775544107.233,2,,1534136,1558660,60576116,105863248,,,
1775544134.715,3,,1538836,1558660,60576124,105863252,,,
1775544163.301,4,,1544688,1558660,60576132,105863260,,,
1775544191.835,5,,1550132,1558660,60576140,105863268,,,
1775544220.050,6,,1554592,1558660,60576148,105863276,,,
1775544248.055,7,,1559616,1559616,60576152,105863284,,,
1775544275.507,8,,1563436,1563436,60576156,105863288,,,
1775544303.086,9,,1565932,1565932,60576160,105863292,,,
1775544330.523,10,,1568112,1568112,60576164,105863296,,,
1775544357.954,11,,1571128,1571128,60576168,105863300,,,
1775544385.565,12,,1574044,1574044,60576172,105863304,,,
1775544412.922,13,,1575936,1575936,60576176,105863308,,,
1775544440.328,14,,1577376,1577376,60576180,105863312,,,
1775544467.289,15,,1579460,1579460,60576184,105863316,,,
1775544494.299,16,,1580844,1580844,60576188,105863320,,,
1775544520.739,17,,1584456,1584456,60576192,105863324,,,
1775544547.144,18,,1584460,1584460,60576196,105863328,,,
1775544573.355,19,,1587232,1587232,60576204,105863332,,,
1775544599.087,20,,1587440,1587440,60576212,105863340,,,
1775544625.087,21,,1591076,1591076,60576220,105863348,,,
1775544650.387,22,,1591520,1591520,60576228,105863356,,,
1775544675.580,23,,1595400,1595400,60576232,105863364,,,
1775544700.757,24,,1599376,1599376,60576236,105863368,,,
1775544725.979,25,,1601668,1601668,60576244,105863372,,,
1775544751.235,26,,1605668,1605668,60576248,105863380,,,
1775544776.538,27,,1609140,1609140,60576252,105863384,,,
1775544801.605,28,,1610680,1610680,60576256,105863388,,,
1775544826.810,29,,1614000,1614000,60576260,105863392,,,
1775544851.975,30,,1614628,1614628,60576264,105863396,,,
1775544876.266,31,,1615268,1615268,60576268,105863400,,,
1775544900.745,32,,1615272,1615272,60576276,105863404,,,
1775544924.909,33,,1616728,1616728,60576284,105863412,,,
1775544949.455,34,,1617720,1617720,60576292,105863420,,,
1775544973.948,35,,1620692,1620692,60576300,105863428,,,
1775544998.362,36,,1621364,1621364,60576308,105863436,,,
1775545022.725,37,,1621576,1621576,60576316,105863444,,,
1775545046.432,38,,1622236,1622236,60576324,105863452,,,
1775545070.017,39,,1622664,1622664,60576332,105863460,,,
1775545093.579,40,,1622888,1622888,60576340,105863468,,,
1775545117.255,41,,1624656,1624656,60576348,105863476,,,
1775545140.929,42,,1625308,1625308,60576356,105863484,,,
1775545164.219,43,,1626976,1626976,60576364,105863492,,,
1775545187.225,44,,1630384,1630384,60576372,105863500,,,
1775545210.202,45,,1631004,1631004,60576380,105863508,,,
1775545233.265,46,,1631008,1631008,60576384,105863516,,,
1775545256.322,47,,1631608,1631608,60576392,105863520,,,
1775545279.332,48,,1631632,1631632,60576400,105863528,,,
1775545302.226,49,,1632344,1632344,60576408,105863536,,,
1775545325.307,50,,1632344,1632344,60576416,105863544,,,
1775545348.331,51,,1632768,1632768,60576424,105863552,,,
1775545371.337,52,,1633228,1633228,60576432,105863560,,,
1775545394.408,53,,1633232,1633232,60576440,105863568,,,
1775545417.429,54,,1635516,1635516,60576448,105863576,,,
1775545440.456,55,,1635520,1635520,60576456,105863584,,,
1775545463.590,56,,1635520,1635520,60576464,105863592,,,
1775545486.543,57,,1635748,1635748,60576472,105863600,,,
1775545509.673,58,,1636164,1636164,60576480,105863608,,,
1775545532.685,59,,1636360,1636360,60576488,105863616,,,
1775545555.661,60,,1636576,1636576,60576492,105863624,,,
1775545578.789,61,,1638024,1638024,60576500,105863628,,,
1775545601.933,62,,1640300,1640300,60576508,105863636,,,
1775545624.875,63,,1640716,1640716,60576516,105863644,,,
1775545647.975,64,,1641160,1641160,60576524,105863652,,,
1775545670.988,65,,1641160,1641160,60576532,105863660,,,
1775545694.272,66,,1641992,1641992,60576540,105863668,,,
1775545717.712,67,,1642736,1642736,60576544,105863676,,,
1775545740.884,68,,1643156,1643156,60576552,105863680,,,
1775545764.286,69,,1643168,1643168,60576560,105863688,,,
1775545787.759,70,,1643788,1643788,60576564,105863696,,,
1775545811.386,71,,1644680,1644680,60576572,105863700,,,
1775545835.226,72,,1644924,1644924,60576580,105863708,,,
1775545858.908,73,,1645552,1645552,60576588,105863716,,,
1775545882.992,74,,1645964,1645964,60576592,105863724,,,
1775545907.068,75,,1647208,1647208,60576600,105863728,,,
1775545931.082,76,,1647832,1647832,60576608,105863736,,,
1775545955.318,77,,1647832,1647832,60576612,105863744,,,
1775545979.583,78,,1648252,1648252,60576616,105863748,,,
1775546003.960,79,,1648872,1648872,60576624,105863752,,,
1775546028.464,80,,1648872,1648872,60576632,105863760,,,
1775546052.993,81,,1650112,1650112,60576636,105863768,,,
1775546077.933,82,,1650120,1650120,60576640,105863772,,,
1775546102.851,83,,1650744,1650744,60576648,105863776,,,
1775546127.726,84,,1650948,1650948,60576652,105863784,,,
1775546153.383,85,,1651600,1651600,60576656,105863788,,,
1775546178.847,86,,1651804,1651804,60576660,105863792,,,
1775546204.668,87,,1651960,1651960,60576664,105863796,,,
1775546230.103,88,,1652164,1652164,60576668,105863800,,,
1775546255.611,89,,1653256,1653256,60576672,105863804,,,
1775546281.245,90,,1653480,1653480,60576676,105863808,,,
1775546306.628,91,,1653860,1653860,60576680,105863812,,,
1775546332.098,92,,1653860,1653860,60576684,105863816,,,
1775546357.684,93,,1654528,1654528,60576688,105863820,,,
1775546383.138,94,,1655976,1655976,60576692,105863824,,,
1775546408.679,95,,1656388,1656388,60576700,105863828,,,
1775546435.155,96,,1656576,1656576,60576704,105863836,,,
1775546461.375,97,,1657316,1657316,60576708,105863840,,,
1775546487.733,98,,1657528,1657528,60576716,105863844,,,
1775546514.086,99,,1657944,1657944,60576724,105863852,,,
1775546540.491,100,,1658368,1658368,60576732,105863860,,,
1775546566.908,101,,1658368,1658368,60576740,105863868,,,
1775546593.248,102,,1659196,1659196,60576748,105863876,,,
1775546619.555,103,,1660020,1660020,60576752,105863884,,,
1775546645.865,104,,1660864,1660864,60576760,105863888,,,
1775546672.204,105,,1660916,1660916,60576768,105863896,,,
1775546698.235,106,,1661124,1661124,60576776,105863904,,,
1775546724.183,107,,1661184,1661184,60576780,105863912,,,
1775546750.356,108,,1661396,1661396,60576784,105863916,,,
1775546776.438,109,,1662016,1662016,60576788,105863920,,,
1775546802.490,110,,1662220,1662220,60576796,105863924,,,
1775546828.704,111,,1662220,1662220,60576800,105863932,,,
1775546854.723,112,,1662220,1662220,60576804,105863936,,,
1775546880.802,113,,1662224,1662224,60576808,105863940,,,
1775546906.891,114,,1663528,1663528,60576816,105863944,,,
1775546932.983,115,,1663596,1663596,60576824,105863952,,,
1775546959.240,116,,1664008,1664008,60576832,105863960,,,
1775546985.342,117,,1664216,1664216,60576836,105863968,,,
1775547011.326,118,,1664220,1664220,60576844,105863972,,,
1775547037.508,119,,1664428,1664428,60576848,105863980,,,
1775547063.598,120,,1664832,1664832,60576852,105863984,,,
1775547089.646,121,,1665248,1665248,60576860,105863988,,,
1775547115.934,122,,1665252,1665252,60576868,105863996,,,
1775547142.069,123,,1665664,1665664,60576876,105864004,,,
1775547168.120,124,,1665860,1665860,60576880,105864012,,,
1775547194.287,125,,1666228,1666228,60576884,105864016,,,
1775547220.356,126,,1666232,1666232,60576888,105864020,,,
1775547246.684,127,,1666236,1666236,60576896,105864024,,,
1775547272.775,128,,1666444,1666444,60576904,105864032,,,
1775547298.851,129,,1666880,1666880,60576912,105864040,,,
1775547324.908,130,,1666880,1666880,60576916,105864048,,,
1775547351.089,131,,1666880,1666880,60576924,105864052,,,
1775547377.300,132,,1666900,1666900,60576932,105864060,,,
1775547403.358,133,,1666920,1666920,60576940,105864068,,,
1775547429.540,134,,1667128,1667128,60576948,105864076,,,
1775547455.525,135,,1667128,1667128,60576956,105864084,,,
1775547481.527,136,,1667128,1667128,60576960,105864092,,,
1775547507.648,137,,1667128,1667128,60576968,105864096,,,
1775547533.830,138,,1667748,1667748,60576972,105864104,,,
1775547559.916,139,,1667764,1667764,60576980,105864108,,,
1775547586.108,140,,1667972,1667972,60576988,105864116,,,
1775547611.973,141,,1668184,1668184,60576992,105864124,,,
1775547638.222,142,,1668368,1668368,60576996,105864128,,,
1775547664.702,143,,1668372,1668372,60577000,105864132,,,
1775547690.891,144,,1668576,1668576,60577004,105864136,,,
1775547717.290,145,,1668848,1668848,60577012,105864140,,,
1775547743.764,146,,1668848,1668848,60577020,105864148,,,
1775547770.161,147,,1668848,1668848,60577028,105864156,,,
1775547796.503,148,,1668860,1668860,60577036,105864164,,,
1775547822.778,149,,1669264,1669264,60577040,105864172,,,
1775547849.146,150,,1669676,1669676,60577048,105864176,,,
1775547875.518,151,,1669676,1669676,60577056,105864184,,,
1775547901.960,152,,1670084,1670084,60577064,105864192,,,
1775547928.492,153,,1670084,1670084,60577068,105864200,,,
1775547954.883,154,,1670084,1670084,60577076,105864204,,,
1775547981.287,155,,1670312,1670312,60577080,105864212,,,
1775548007.785,156,,1670312,1670312,60577088,105864216,,,
1775548034.099,157,,1670312,1670312,60577092,105864224,,,
1775548060.481,158,,1670728,1670728,60577096,105864228,,,
1775548086.882,159,,1670732,1670732,60577100,105864232,,,
1775548113.351,160,,1670732,1670732,60577108,105864236,,,
1775548139.685,161,,1670744,1670744,60577116,105864244,,,
1775548165.978,162,,1671132,1671132,60577120,105864252,,,
1775548192.442,163,,1671544,1671544,60577124,105864256,,,
1775548218.882,164,,1671544,1671544,60577132,105864260,,,
1775548245.206,165,,1671544,1671544,60577136,105864268,,,
1775548271.499,166,,1671584,1671584,60577144,105864272,,,
1775548297.413,167,,1671760,1671760,60577148,105864280,,,
1775548321.914,168,,1671972,1671972,60577156,105864284,,,
1775548345.404,169,,1672180,1672180,60577164,105864292,,,
1775548368.478,170,,1672800,1672800,60577172,105864300,,,
1775548391.886,171,,1673000,1673000,60577180,105864308,,,
1775548415.726,172,,1673212,1673212,60577184,105864316,,,
1775548439.509,173,,1673212,1673212,60577184,105864320,,,
1775548463.415,174,,1673408,1673408,60577188,105864320,,,
1775548487.942,175,,1673408,1673408,60577196,105864324,,,
1775548512.305,176,,1673416,1673416,60577196,105864332,,,
1775548537.157,177,,1674448,1674448,60577200,105864332,,,
1775548562.104,178,,1674448,1674448,60577208,105864336,,,
1775548586.855,179,,1674452,1674452,60577212,105864344,,,
1775548611.812,180,,1674456,1674456,60577216,105864348,,,
1775548636.635,181,,1674868,1674868,60577220,105864352,,,
1775548661.348,182,,1675080,1675080,60577228,105864356,,,
1775548686.305,183,,1675484,1675484,60577232,105864364,,,
1775548710.971,184,,1675484,1675484,60577240,105864368,,,
1775548736.086,185,,1675884,1675884,60577244,105864376,,,
1775548760.818,186,,1675884,1675884,60577248,105864380,,,
1775548785.460,187,,1675884,1675884,60577252,105864384,,,
1775548810.288,188,,1675916,1675916,60577252,105864388,,,
1775548835.097,189,,1675916,1675916,60577252,105864388,,,
1775548859.905,190,,1675916,1675916,60577256,105864388,,,
1775548884.566,191,,1675920,1675920,60577256,105864392,,,
1775548909.574,192,,1675928,1675928,60577256,105864392,,,
1775548934.510,193,,1675940,1675940,60577260,105864392,,,
1775548959.118,194,,1676980,1676980,60577264,105864396,,,
1775548984.058,195,,1677164,1677164,60577268,105864400,,,
1775549008.712,196,,1677168,1677168,60577272,105864404,,,
1775549033.470,197,,1677168,1677168,60577276,105864408,,,
1775549058.306,198,,1677172,1677172,60577276,105864412,,,
1775549082.923,199,,1677172,1677172,60577276,105864412,,,
1775549107.880,200,,1677224,1677224,60577276,105864412,,,
1775549132.718,201,,1677844,1677844,60577280,105864412,,,
1775549157.374,202,,1678040,1678040,60577284,105864416,,,
1775549182.232,203,,1678040,1678040,60577288,105864420,,,
1775549206.935,204,,1678092,1678092,60577292,105864424,,,
1775549231.672,205,,1678092,1678092,60577296,105864428,,,
1775549256.690,206,,1678096,1678096,60577300,105864432,,,
1775549281.465,207,,1678096,1678096,60577300,105864436,,,
1775549306.423,208,,1678100,1678100,60577304,105864436,,,
1775549332.180,209,,1678100,1678100,60577308,105864440,,,
1775549356.848,210,,1678308,1678308,60577312,105864444,,,
1775549381.585,211,,1678516,1678516,60577316,105864448,,,
1775549406.267,212,,1678516,1678516,60577320,105864452,,,
1775549430.678,213,,1678656,1678656,60577324,105864456,,,
1775549455.535,214,,1678712,1678712,60577328,105864460,,,
1775549480.173,215,,1679124,1679124,60577332,105864464,,,
1775549504.935,216,,1679132,1679132,60577336,105864468,,,
1775549529.537,217,,1679804,1679804,60577340,105864472,,,
1775549554.176,218,,1680232,1680232,60577344,105864476,,,
1775549578.917,219,,1680440,1680440,60577344,105864480,,,
1775549603.654,220,,1680440,1680440,60577348,105864480,,,
1775549628.384,221,,1681060,1681060,60577352,105864484,,,
1775549653.025,222,,1681060,1681060,60577356,105864488,,,
1775549677.707,223,,1681060,1681060,60577364,105864492,,,
1775549702.535,224,,1681064,1681064,60577368,105864500,,,
1775549727.352,225,,1681064,1681064,60577372,105864504,,,
1775549751.958,226,,1681068,1681068,60577376,105864508,,,
1775549776.616,227,,1681636,1681636,60577380,105864512,,,
1775549801.258,228,,1681820,1681820,60577384,105864516,,,
1775549826.107,229,,1682016,1682016,60577388,105864520,,,
1775549850.789,230,,1682020,1682020,60577392,105864524,,,
1775549875.476,231,,1682084,1682084,60577396,105864528,,,
1775549900.197,232,,1682284,1682284,60577400,105864532,,,
1775549924.873,233,,1682456,1682456,60577404,105864536,,,
1775549949.608,234,,1682876,1682876,60577408,105864540,,,
1775549974.340,235,,1682932,1682932,60577412,105864544,,,
1775549999.204,236,,1682932,1682932,60577416,105864548,,,
1775550023.833,237,,1682932,1682932,60577420,105864552,,,
1775550048.125,238,,1683344,1683344,60577424,105864556,,,
1775550072.612,239,,1683964,1683964,60577428,105864560,,,
1775550097.184,240,,1683964,1683964,60577428,105864564,,,
1775550121.388,241,,1683972,1683972,60577432,105864564,,,
1775550146.257,242,,1684396,1684396,60577432,105864568,,,
1775550171.180,243,,1684456,1684456,60577440,105864568,,,
1775550196.162,244,,1684456,1684456,60577444,105864576,,,
1775550221.307,245,,1684676,1684676,60577448,105864580,,,
1775550246.288,246,,1684880,1684880,60577452,105864584,,,
