Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.789044,0.000000,0.789044,0.789044
Train Precision H1,0.000000,0.000000,0.000000,0.000000
Train Recall H1,0.000000,0.000000,0.000000,0.000000
Train F1 H1,0.000000,0.000000,0.000000,0.000000
Train AUC_ROC H1,0.478143,0.000000,0.478143,0.478143
Train AUC_PR H1,0.202820,0.000000,0.202820,0.202820
Train MCC H1,0.000000,0.000000,0.000000,0.000000
Train Brier H1,0.211512,0.000000,0.211512,0.211512
Train LogLoss H1,0.615604,0.000000,0.615604,0.615604
Train Pos_Rate_True H1,0.210956,0.000000,0.210956,0.210956
Train Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.785904,0.000000,0.785904,0.785904
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.463239,0.000000,0.463239,0.463239
Validation AUC_PR H1,0.194509,0.000000,0.194509,0.194509
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.212092,0.000000,0.212092,0.212092
Validation LogLoss H1,0.616777,0.000000,0.616777,0.616777
Validation Pos_Rate_True H1,0.214096,0.000000,0.214096,0.214096
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.751995,0.000000,0.751995,0.751995
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.416337,0.000000,0.416337,0.416337
Test AUC_PR H1,0.202968,0.000000,0.202968,0.202968
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.217302,0.000000,0.217302,0.217302
Test LogLoss H1,0.627280,0.000000,0.627280,0.627280
Test Pos_Rate_True H1,0.248005,0.000000,0.248005,0.248005
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
