Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.754876,0.000000,0.754876,0.754876
Train Precision H1,0.200000,0.000000,0.200000,0.200000
Train Recall H1,0.000565,0.000000,0.000565,0.000565
Train F1 H1,0.001127,0.000000,0.001127,0.001127
Train AUC_ROC H1,0.496365,0.000000,0.496365,0.496365
Train AUC_PR H1,0.248818,0.000000,0.248818,0.248818
Train MCC H1,-0.002736,0.000000,-0.002736,-0.002736
Train Brier H1,0.227468,0.000000,0.227468,0.227468
Train LogLoss H1,0.647946,0.000000,0.647946,0.647946
Train Pos_Rate_True H1,0.244709,0.000000,0.244709,0.244709
Train Pos_Rate_Pred H1,0.000692,0.000000,0.000692,0.000692
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.756649,0.000000,0.756649,0.756649
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.505977,0.000000,0.505977,0.505977
Validation AUC_PR H1,0.249388,0.000000,0.249388,0.249388
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.227449,0.000000,0.227449,0.227449
Validation LogLoss H1,0.647910,0.000000,0.647910,0.647910
Validation Pos_Rate_True H1,0.243351,0.000000,0.243351,0.243351
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.701463,0.000000,0.701463,0.701463
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.470089,0.000000,0.470089,0.470089
Test AUC_PR H1,0.277501,0.000000,0.277501,0.277501
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.232816,0.000000,0.232816,0.232816
Test LogLoss H1,0.658678,0.000000,0.658678,0.658678
Test Pos_Rate_True H1,0.298537,0.000000,0.298537,0.298537
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
