ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775558947.119,0,,1600228,1611920,58134544,92582000,,,
1775558960.209,1,,1609084,1611920,58134556,92582000,,,
1775558973.367,2,,1614496,1614496,58134564,92582000,,,
1775558986.570,3,,1618952,1618952,58134572,92582000,,,
1775558999.703,4,,1625836,1625836,58134580,92582000,,,
1775559012.683,5,,1630164,1630164,58134588,92582000,,,
1775559025.761,6,,1635080,1635080,58134596,92582000,,,
1775559038.805,7,,1639376,1639376,58134604,92582000,,,
1775559052.045,8,,1644300,1644300,58134612,92582000,,,
1775559065.137,9,,1646788,1646788,58134620,92582000,,,
