Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.253700,0.000000,0.253700,0.253700
Train Precision H1,0.246324,0.000000,0.246324,0.246324
Train Recall H1,0.992664,0.000000,0.992664,0.992664
Train F1 H1,0.394704,0.000000,0.394704,0.394704
Train AUC_ROC H1,0.486956,0.000000,0.486956,0.486956
Train AUC_PR H1,0.246370,0.000000,0.246370,0.246370
Train MCC H1,0.025135,0.000000,0.025135,0.025135
Train Brier H1,0.260273,0.000000,0.260273,0.260273
Train LogLoss H1,0.713706,0.000000,0.713706,0.713706
Train Pos_Rate_True H1,0.245124,0.000000,0.245124,0.245124
Train Pos_Rate_Pred H1,0.987827,0.000000,0.987827,0.987827
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.254654,0.000000,0.254654,0.254654
Validation Precision H1,0.254654,0.000000,0.254654,0.254654
Validation Recall H1,1.000000,0.000000,1.000000,1.000000
Validation F1 H1,0.405935,0.000000,0.405935,0.405935
Validation AUC_ROC H1,0.551100,0.000000,0.551100,0.551100
Validation AUC_PR H1,0.304973,0.000000,0.304973,0.304973
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.259992,0.000000,0.259992,0.259992
Validation LogLoss H1,0.713141,0.000000,0.713141,0.713141
Validation Pos_Rate_True H1,0.254654,0.000000,0.254654,0.254654
Validation Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.256649,0.000000,0.256649,0.256649
Test Precision H1,0.256649,0.000000,0.256649,0.256649
Test Recall H1,1.000000,0.000000,1.000000,1.000000
Test F1 H1,0.408466,0.000000,0.408466,0.408466
Test AUC_ROC H1,0.507355,0.000000,0.507355,0.507355
Test AUC_PR H1,0.271388,0.000000,0.271388,0.271388
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.259981,0.000000,0.259981,0.259981
Test LogLoss H1,0.713120,0.000000,0.713120,0.713120
Test Pos_Rate_True H1,0.256649,0.000000,0.256649,0.256649
Test Pos_Rate_Pred H1,1.000000,0.000000,1.000000,1.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
