Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.755291,0.000000,0.755291,0.755291
Train Precision H1,0.500000,0.000000,0.500000,0.500000
Train Recall H1,0.000565,0.000000,0.000565,0.000565
Train F1 H1,0.001129,0.000000,0.001129,0.001129
Train AUC_ROC H1,0.486092,0.000000,0.486092,0.486092
Train AUC_PR H1,0.239165,0.000000,0.239165,0.239165
Train MCC H1,0.009878,0.000000,0.009878,0.009878
Train Brier H1,0.248935,0.000000,0.248935,0.248935
Train LogLoss H1,0.691017,0.000000,0.691017,0.691017
Train Pos_Rate_True H1,0.244709,0.000000,0.244709,0.244709
Train Pos_Rate_Pred H1,0.000277,0.000000,0.000277,0.000277
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.756649,0.000000,0.756649,0.756649
Validation Precision H1,0.000000,0.000000,0.000000,0.000000
Validation Recall H1,0.000000,0.000000,0.000000,0.000000
Validation F1 H1,0.000000,0.000000,0.000000,0.000000
Validation AUC_ROC H1,0.489783,0.000000,0.489783,0.489783
Validation AUC_PR H1,0.245728,0.000000,0.245728,0.245728
Validation MCC H1,0.000000,0.000000,0.000000,0.000000
Validation Brier H1,0.249330,0.000000,0.249330,0.249330
Validation LogLoss H1,0.691807,0.000000,0.691807,0.691807
Validation Pos_Rate_True H1,0.243351,0.000000,0.243351,0.243351
Validation Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.701463,0.000000,0.701463,0.701463
Test Precision H1,0.000000,0.000000,0.000000,0.000000
Test Recall H1,0.000000,0.000000,0.000000,0.000000
Test F1 H1,0.000000,0.000000,0.000000,0.000000
Test AUC_ROC H1,0.470286,0.000000,0.470286,0.470286
Test AUC_PR H1,0.286499,0.000000,0.286499,0.286499
Test MCC H1,0.000000,0.000000,0.000000,0.000000
Test Brier H1,0.249533,0.000000,0.249533,0.249533
Test LogLoss H1,0.692213,0.000000,0.692213,0.692213
Test Pos_Rate_True H1,0.298537,0.000000,0.298537,0.298537
Test Pos_Rate_Pred H1,0.000000,0.000000,0.000000,0.000000
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
