ts,epoch,tag,VmRSS_kB,VmHWM_kB,gpu_current_B,gpu_peak_B,gc0,gc1,gc2
1775548496.656,0,,1620944,1622840,58218964,92889092,,,
1775548517.050,1,,1630308,1630308,58218976,92889092,,,
1775548537.903,2,,1634404,1634404,58218984,92889092,,,
1775548558.497,3,,1637256,1637256,58218996,92889092,,,
1775548579.056,4,,1640668,1640668,58219004,92889092,,,
1775548599.709,5,,1644652,1644652,58219012,92889092,,,
1775548620.437,6,,1646556,1646556,58219020,92889092,,,
1775548640.823,7,,1649156,1649156,58219032,92889092,,,
1775548661.368,8,,1654336,1654336,58219044,92889092,,,
1775548682.010,9,,1657388,1657388,58219056,92889092,,,
1775548702.665,10,,1659300,1659300,58219068,92889092,,,
1775548723.243,11,,1662012,1662012,58219076,92889092,,,
1775548743.625,12,,1665740,1665740,58219088,92889092,,,
1775548764.277,13,,1670100,1670100,58219100,92889092,,,
1775548784.798,14,,1673128,1673128,58219112,92889092,,,
1775548805.387,15,,1674916,1674916,58219124,92889092,,,
1775548825.860,16,,1679364,1679364,58219136,92889092,,,
1775548846.448,17,,1680004,1680004,58219148,92889092,,,
1775548867.108,18,,1683452,1683452,58219160,92889092,,,
1775548887.571,19,,1685240,1685240,58219172,92889092,,,
1775548908.239,20,,1686488,1686488,58219184,92889092,,,
1775548928.852,21,,1688472,1688472,58219196,92889092,,,
1775548949.471,22,,1692000,1692000,58219208,92889092,,,
1775548970.023,23,,1692008,1692008,58219220,92889092,,,
1775548990.555,24,,1693160,1693160,58219232,92889092,,,
1775549011.090,25,,1693228,1693228,58219244,92889092,,,
1775549031.700,26,,1695496,1695496,58219256,92889092,,,
1775549052.257,27,,1697448,1697448,58219268,92889092,,,
1775549072.859,28,,1700296,1700296,58219280,92889092,,,
1775549093.473,29,,1701988,1701988,58219292,92889092,,,
1775549114.076,30,,1702612,1702612,58219304,92889092,,,
1775549134.808,31,,1704272,1704272,58219316,92889092,,,
1775549155.473,32,,1704580,1704580,58219328,92889092,,,
1775549176.289,33,,1705484,1705484,58219340,92889092,,,
1775549196.685,34,,1705860,1705860,58219352,92889092,,,
1775549217.454,35,,1706900,1706900,58219364,92889092,,,
1775549237.848,36,,1708388,1708388,58219376,92889092,,,
1775549258.593,37,,1710480,1710480,58219388,92889092,,,
1775549279.265,38,,1711052,1711052,58219400,92889092,,,
1775549299.985,39,,1711264,1711264,58219412,92889092,,,
1775549320.497,40,,1712524,1712524,58219420,92889092,,,
1775549340.857,41,,1713684,1713684,58219432,92889092,,,
1775549361.253,42,,1715244,1715244,58219444,92889092,,,
1775549382.015,43,,1715856,1715856,58219456,92889092,,,
1775549402.709,44,,1715864,1715864,58219464,92889092,,,
1775549423.195,45,,1716972,1716972,58219476,92889092,,,
1775549443.933,46,,1718072,1718072,58219488,92889092,,,
1775549464.693,47,,1720308,1720308,58219500,92889092,,,
1775549485.381,48,,1720956,1720956,58219508,92889092,,,
1775549506.084,49,,1722612,1722612,58219516,92889092,,,
1775549526.858,50,,1723236,1723236,58219524,92889092,,,
1775549547.547,51,,1724256,1724256,58219532,92889092,,,
1775549568.298,52,,1724892,1724892,58219544,92889092,,,
1775549588.945,53,,1725348,1725348,58219556,92889092,,,
1775549609.706,54,,1725976,1725976,58219564,92889092,,,
1775549630.350,55,,1726596,1726596,58219572,92889092,,,
1775549651.211,56,,1726816,1726816,58219580,92889092,,,
1775549671.869,57,,1727088,1727088,58219588,92889092,,,
1775549692.644,58,,1728132,1728132,58219596,92889092,,,
1775549713.345,59,,1728260,1728260,58219604,92889092,,,
1775549734.126,60,,1728260,1728260,58219612,92889092,,,
1775549754.725,61,,1729508,1729508,58219620,92889092,,,
1775549775.462,62,,1729920,1729920,58219628,92889092,,,
1775549796.216,63,,1730132,1730132,58219636,92889092,,,
1775549816.932,64,,1730544,1730544,58219644,92889092,,,
1775549837.715,65,,1731444,1731444,58219652,92889092,,,
1775549858.520,66,,1731608,1731608,58219660,92889092,,,
1775549879.183,67,,1733108,1733108,58219668,92889092,,,
1775549899.924,68,,1733116,1733116,58219676,92889092,,,
1775549920.749,69,,1733116,1733116,58219684,92889092,,,
1775549941.496,70,,1733536,1733536,58219692,92889092,,,
1775549962.212,71,,1734160,1734160,58219700,92889092,,,
1775549982.883,72,,1734992,1734992,58219712,92889092,,,
1775550003.554,73,,1734996,1734996,58219720,92889092,,,
1775550024.295,74,,1735616,1735616,58219728,92889092,,,
1775550044.699,75,,1736864,1736864,58219736,92889092,,,
1775550065.243,76,,1737492,1737492,58219744,92889092,,,
1775550085.635,77,,1738528,1738528,58219752,92889092,,,
1775550105.843,78,,1738528,1738528,58219760,92889092,,,
1775550125.803,79,,1738944,1738944,58219768,92889092,,,
1775550146.780,80,,1739564,1739564,58219772,92889092,,,
1775550167.852,81,,1739992,1739992,58219780,92889092,,,
1775550188.883,82,,1740488,1740488,58219788,92889092,,,
1775550209.728,83,,1740488,1740488,58219796,92889092,,,
1775550230.632,84,,1740696,1740696,58219804,92889092,,,
1775550251.745,85,,1740908,1740908,58219812,92889092,,,
1775550272.286,86,,1741328,1741328,58219820,92889092,,,
1775550294.422,87,,1741940,1741940,58219828,92889092,,,
1775550316.639,88,,1743232,1743232,58219836,92889092,,,
1775550339.050,89,,1743648,1743648,58219844,92889092,,,
1775550361.257,90,,1743856,1743856,58219852,92889092,,,
1775550383.821,91,,1743856,1743856,58219860,92889092,,,
1775550406.105,92,,1744896,1744896,58219872,92889092,,,
1775550428.422,93,,1745784,1745784,58219880,92889092,,,
1775550450.653,94,,1746404,1746404,58219888,92889092,,,
1775550472.773,95,,1746612,1746612,58219896,92889092,,,
1775550495.100,96,,1746820,1746820,58219904,92889092,,,
1775550517.358,97,,1747032,1747032,58219912,92889092,,,
1775550539.764,98,,1747292,1747292,58219916,92889092,,,
1775550562.047,99,,1747496,1747496,58219924,92889092,,,
1775550584.369,100,,1748116,1748116,58219928,92889092,,,
1775550606.715,101,,1748116,1748116,58219932,92889092,,,
1775550628.808,102,,1748728,1748728,58219936,92889092,,,
1775550651.149,103,,1749140,1749140,58219940,92889092,,,
1775550673.528,104,,1749140,1749140,58219944,92889092,,,
1775550695.878,105,,1749552,1749552,58219948,92889092,,,
1775550716.291,106,,1750172,1750172,58219952,92889092,,,
1775550735.332,107,,1750792,1750792,58219956,92889092,,,
1775550754.156,108,,1751000,1751000,58219960,92889092,,,
1775550773.175,109,,1751472,1751472,58219964,92889092,,,
1775550792.012,110,,1751664,1751664,58219968,92889092,,,
1775550810.811,111,,1751872,1751872,58219972,92889092,,,
1775550829.632,112,,1751876,1751876,58219980,92889092,,,
1775550848.281,113,,1752496,1752496,58219984,92889092,,,
1775550866.878,114,,1752496,1752496,58219988,92889092,,,
1775550885.520,115,,1752496,1752496,58219992,92889092,,,
1775550904.298,116,,1752500,1752500,58219996,92889092,,,
1775550922.976,117,,1752500,1752500,58220000,92889092,,,
1775550941.820,118,,1752608,1752608,58220004,92889092,,,
1775550960.552,119,,1752608,1752608,58220008,92889092,,,
1775550979.353,120,,1752816,1752816,58220012,92889092,,,
1775550998.034,121,,1752816,1752816,58220016,92889092,,,
1775551016.832,122,,1753232,1753232,58220020,92889092,,,
1775551035.343,123,,1753644,1753644,58220024,92889092,,,
1775551054.165,124,,1753848,1753848,58220028,92889092,,,
1775551072.885,125,,1753856,1753856,58220032,92889092,,,
1775551091.719,126,,1754064,1754064,58220036,92889092,,,
1775551110.439,127,,1754276,1754276,58220040,92889092,,,
1775551129.392,128,,1754492,1754492,58220044,92889092,,,
1775551147.594,129,,1754700,1754700,58220048,92889092,,,
1775551165.997,130,,1754700,1754700,58220052,92889092,,,
1775551184.465,131,,1755116,1755116,58220056,92889092,,,
1775551202.952,132,,1756552,1756552,58220064,92889092,,,
1775559475.563,0,,1604840,1614452,58134544,92582000,,,
1775559489.228,1,,1614804,1614804,58134556,92582000,,,
1775559502.698,2,,1620124,1620124,58134564,92582000,,,
1775559516.025,3,,1625676,1625676,58134572,92582000,,,
1775559529.419,4,,1629460,1629460,58134580,92582000,,,
1775559542.881,5,,1634440,1634440,58134588,92582000,,,
1775559556.814,6,,1637520,1637520,58134596,92582000,,,
1775559570.836,7,,1640580,1640580,58134604,92582000,,,
1775559584.971,8,,1644404,1644404,58134612,92582000,,,
1775559599.168,9,,1647652,1647652,58134620,92582000,,,
