Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.542789,0.000000,0.542789,0.542789
Train Precision H1,0.259412,0.000000,0.259412,0.259412
Train Recall H1,0.968498,0.000000,0.968498,0.968498
Train F1 H1,0.409215,0.000000,0.409215,0.409215
Train AUC_ROC H1,0.847846,0.000000,0.847846,0.847846
Train AUC_PR H1,0.523087,0.000000,0.523087,0.523087
Train MCC H1,0.324638,0.000000,0.324638,0.324638
Train Brier H1,0.266842,0.000000,0.266842,0.266842
Train LogLoss H1,0.729836,0.000000,0.729836,0.729836
Train Pos_Rate_True H1,0.163497,0.000000,0.163497,0.163497
Train Pos_Rate_Pred H1,0.610407,0.000000,0.610407,0.610407
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.457064,0.000000,0.457064,0.457064
Validation Precision H1,0.237261,0.000000,0.237261,0.237261
Validation Recall H1,0.931250,0.000000,0.931250,0.931250
Validation F1 H1,0.378173,0.000000,0.378173,0.378173
Validation AUC_ROC H1,0.640791,0.000000,0.640791,0.640791
Validation AUC_PR H1,0.229603,0.000000,0.229603,0.229603
Validation MCC H1,0.237533,0.000000,0.237533,0.237533
Validation Brier H1,0.333625,0.000000,0.333625,0.333625
Validation LogLoss H1,0.909210,0.000000,0.909210,0.909210
Validation Pos_Rate_True H1,0.177285,0.000000,0.177285,0.177285
Validation Pos_Rate_Pred H1,0.695845,0.000000,0.695845,0.695845
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.493558,0.000000,0.493558,0.493558
Test Precision H1,0.175267,0.000000,0.175267,0.175267
Test Recall H1,0.674658,0.000000,0.674658,0.674658
Test F1 H1,0.278249,0.000000,0.278249,0.278249
Test AUC_ROC H1,0.618827,0.000000,0.618827,0.618827
Test AUC_PR H1,0.224586,0.000000,0.224586,0.224586
Test MCC H1,0.097433,0.000000,0.097433,0.097433
Test Brier H1,0.307169,0.000000,0.307169,0.307169
Test LogLoss H1,0.861687,0.000000,0.861687,0.861687
Test Pos_Rate_True H1,0.144698,0.000000,0.144698,0.144698
Test Pos_Rate_Pred H1,0.556987,0.000000,0.556987,0.556987
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
