Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.637480,0.000000,0.637480,0.637480
Train Precision H1,0.268794,0.000000,0.268794,0.268794
Train Recall H1,0.707593,0.000000,0.707593,0.707593
Train F1 H1,0.389593,0.000000,0.389593,0.389593
Train AUC_ROC H1,0.733290,0.000000,0.733290,0.733290
Train AUC_PR H1,0.334032,0.000000,0.334032,0.334032
Train MCC H1,0.247503,0.000000,0.247503,0.247503
Train Brier H1,0.213256,0.000000,0.213256,0.213256
Train LogLoss H1,0.605396,0.000000,0.605396,0.605396
Train Pos_Rate_True H1,0.163497,0.000000,0.163497,0.163497
Train Pos_Rate_Pred H1,0.430401,0.000000,0.430401,0.430401
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.606648,0.000000,0.606648,0.606648
Validation Precision H1,0.241656,0.000000,0.241656,0.241656
Validation Recall H1,0.560372,0.000000,0.560372,0.560372
Validation F1 H1,0.337687,0.000000,0.337687,0.337687
Validation AUC_ROC H1,0.657278,0.000000,0.657278,0.657278
Validation AUC_PR H1,0.256579,0.000000,0.256579,0.256579
Validation MCC H1,0.137780,0.000000,0.137780,0.137780
Validation Brier H1,0.223295,0.000000,0.223295,0.223295
Validation LogLoss H1,0.625110,0.000000,0.625110,0.625110
Validation Pos_Rate_True H1,0.178947,0.000000,0.178947,0.178947
Validation Pos_Rate_Pred H1,0.414958,0.000000,0.414958,0.414958
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.567393,0.000000,0.567393,0.567393
Test Precision H1,0.263559,0.000000,0.263559,0.263559
Test Recall H1,0.736702,0.000000,0.736702,0.736702
Test F1 H1,0.388227,0.000000,0.388227,0.388227
Test AUC_ROC H1,0.657687,0.000000,0.657687,0.657687
Test AUC_PR H1,0.252280,0.000000,0.252280,0.252280
Test MCC H1,0.206798,0.000000,0.206798,0.206798
Test Brier H1,0.256223,0.000000,0.256223,0.256223
Test LogLoss H1,0.710508,0.000000,0.710508,0.710508
Test Pos_Rate_True H1,0.186323,0.000000,0.186323,0.186323
Test Pos_Rate_Pred H1,0.520813,0.000000,0.520813,0.520813
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
