Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.647598,0.000000,0.647598,0.647598
Train Precision H1,0.304011,0.000000,0.304011,0.304011
Train Recall H1,0.887722,0.000000,0.887722,0.887722
Train F1 H1,0.452916,0.000000,0.452916,0.452916
Train AUC_ROC H1,0.812046,0.000000,0.812046,0.812046
Train AUC_PR H1,0.417910,0.000000,0.417910,0.417910
Train MCC H1,0.362045,0.000000,0.362045,0.362045
Train Brier H1,0.190066,0.000000,0.190066,0.190066
Train LogLoss H1,0.535724,0.000000,0.535724,0.535724
Train Pos_Rate_True H1,0.164322,0.000000,0.164322,0.164322
Train Pos_Rate_Pred H1,0.479825,0.000000,0.479825,0.479825
Train Uncertainty H1,,,,
Validation Accuracy H1,0.593662,0.000000,0.593662,0.593662
Validation Precision H1,0.277655,0.000000,0.277655,0.277655
Validation Recall H1,0.794304,0.000000,0.794304,0.794304
Validation F1 H1,0.411475,0.000000,0.411475,0.411475
Validation AUC_ROC H1,0.699003,0.000000,0.699003,0.699003
Validation AUC_PR H1,0.275691,0.000000,0.275691,0.275691
Validation MCC H1,0.263928,0.000000,0.263928,0.263928
Validation Brier H1,0.218627,0.000000,0.218627,0.218627
Validation LogLoss H1,0.602129,0.000000,0.602129,0.602129
Validation Pos_Rate_True H1,0.178834,0.000000,0.178834,0.178834
Validation Pos_Rate_Pred H1,0.511602,0.000000,0.511602,0.511602
Validation Uncertainty H1,,,,
Test Accuracy H1,0.491414,0.000000,0.491414,0.491414
Test Precision H1,0.238487,0.000000,0.238487,0.238487
Test Recall H1,0.781671,0.000000,0.781671,0.781671
Test F1 H1,0.365469,0.000000,0.365469,0.365469
Test AUC_ROC H1,0.669867,0.000000,0.669867,0.669867
Test AUC_PR H1,0.282623,0.000000,0.282623,0.282623
Test MCC H1,0.165254,0.000000,0.165254,0.165254
Test Brier H1,0.262007,0.000000,0.262007,0.262007
Test LogLoss H1,0.702892,0.000000,0.702892,0.702892
Test Pos_Rate_True H1,0.187374,0.000000,0.187374,0.187374
Test Pos_Rate_Pred H1,0.614141,0.000000,0.614141,0.614141
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
