Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.570391,0.000000,0.570391,0.570391
Train Precision H1,0.266512,0.000000,0.266512,0.266512
Train Recall H1,0.928918,0.000000,0.928918,0.928918
Train F1 H1,0.414191,0.000000,0.414191,0.414191
Train AUC_ROC H1,0.805886,0.000000,0.805886,0.805886
Train AUC_PR H1,0.429836,0.000000,0.429836,0.429836
Train MCC H1,0.320622,0.000000,0.320622,0.320622
Train Brier H1,0.268205,0.000000,0.268205,0.268205
Train LogLoss H1,0.750845,0.000000,0.750845,0.750845
Train Pos_Rate_True H1,0.163497,0.000000,0.163497,0.163497
Train Pos_Rate_Pred H1,0.569863,0.000000,0.569863,0.569863
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.494183,0.000000,0.494183,0.494183
Validation Precision H1,0.245930,0.000000,0.245930,0.245930
Validation Recall H1,0.896875,0.000000,0.896875,0.896875
Validation F1 H1,0.386012,0.000000,0.386012,0.386012
Validation AUC_ROC H1,0.697464,0.000000,0.697464,0.697464
Validation AUC_PR H1,0.274267,0.000000,0.274267,0.274267
Validation MCC H1,0.243091,0.000000,0.243091,0.243091
Validation Brier H1,0.325531,0.000000,0.325531,0.325531
Validation LogLoss H1,0.907108,0.000000,0.907108,0.907108
Validation Pos_Rate_True H1,0.177285,0.000000,0.177285,0.177285
Validation Pos_Rate_Pred H1,0.646537,0.000000,0.646537,0.646537
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.328048,0.000000,0.328048,0.328048
Test Precision H1,0.157658,0.000000,0.157658,0.157658
Test Recall H1,0.839041,0.000000,0.839041,0.839041
Test F1 H1,0.265439,0.000000,0.265439,0.265439
Test AUC_ROC H1,0.585904,0.000000,0.585904,0.585904
Test AUC_PR H1,0.203356,0.000000,0.203356,0.203356
Test MCC H1,0.067418,0.000000,0.067418,0.067418
Test Brier H1,0.425036,0.000000,0.425036,0.425036
Test LogLoss H1,1.146784,0.000000,1.146784,1.146784
Test Pos_Rate_True H1,0.144698,0.000000,0.144698,0.144698
Test Pos_Rate_Pred H1,0.770069,0.000000,0.770069,0.770069
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
