Metric,Average,Std Dev,Min,Max
Train Accuracy H1,0.583465,0.000000,0.583465,0.583465
Train Precision H1,0.245484,0.000000,0.245484,0.245484
Train Recall H1,0.746365,0.000000,0.746365,0.746365
Train F1 H1,0.369452,0.000000,0.369452,0.369452
Train AUC_ROC H1,0.698507,0.000000,0.698507,0.698507
Train AUC_PR H1,0.300536,0.000000,0.300536,0.300536
Train MCC H1,0.220409,0.000000,0.220409,0.220409
Train Brier H1,0.244090,0.000000,0.244090,0.244090
Train LogLoss H1,0.679653,0.000000,0.679653,0.679653
Train Pos_Rate_True H1,0.163497,0.000000,0.163497,0.163497
Train Pos_Rate_Pred H1,0.497095,0.000000,0.497095,0.497095
Train Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Validation Accuracy H1,0.575069,0.000000,0.575069,0.575069
Validation Precision H1,0.257112,0.000000,0.257112,0.257112
Validation Recall H1,0.727554,0.000000,0.727554,0.727554
Validation F1 H1,0.379951,0.000000,0.379951,0.379951
Validation AUC_ROC H1,0.666742,0.000000,0.666742,0.666742
Validation AUC_PR H1,0.251027,0.000000,0.251027,0.251027
Validation MCC H1,0.206535,0.000000,0.206535,0.206535
Validation Brier H1,0.242281,0.000000,0.242281,0.242281
Validation LogLoss H1,0.669120,0.000000,0.669120,0.669120
Validation Pos_Rate_True H1,0.178947,0.000000,0.178947,0.178947
Validation Pos_Rate_Pred H1,0.506371,0.000000,0.506371,0.506371
Validation Uncertainty H1,0.000000,0.000000,0.000000,0.000000
Test Accuracy H1,0.521804,0.000000,0.521804,0.521804
Test Precision H1,0.261152,0.000000,0.261152,0.261152
Test Recall H1,0.856383,0.000000,0.856383,0.856383
Test F1 H1,0.400249,0.000000,0.400249,0.400249
Test AUC_ROC H1,0.698192,0.000000,0.698192,0.698192
Test AUC_PR H1,0.300133,0.000000,0.300133,0.300133
Test MCC H1,0.240855,0.000000,0.240855,0.240855
Test Brier H1,0.262107,0.000000,0.262107,0.262107
Test LogLoss H1,0.718754,0.000000,0.718754,0.718754
Test Pos_Rate_True H1,0.186323,0.000000,0.186323,0.186323
Test Pos_Rate_Pred H1,0.611001,0.000000,0.611001,0.611001
Test Uncertainty H1,0.000000,0.000000,0.000000,0.000000
