total_eval,generation,candidate_in_gen,stage_name,species_id,complexity,is_champion,batch_size,dropout_rate,hidden_units,l2_reg,learning_rate,min_delta,num_hidden_layers,positional_encoding,use_log1p_features,window_size,fitness,train_mcc,train_f1,val_mcc,val_f1,test_mcc,test_f1,champion_fitness
9,0,9,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,105,0.37221415,0.548879,0.377904,0.485327,0.368421,0.418136,0.286597,0.40272598
167,11,10,training,,10,1,41,0.1,128,5.125257161427e-05,0.0023647095859479243,6.199322222744712e-07,2,True,,70,0.29216603,0.625825,0.455419,0.525733,0.392629,0.478713,0.288032,0.29216603
9,0,9,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,105,0.37221415,0.548879,0.377904,0.485327,0.368421,0.418136,0.286597,0.40272598
1,0,1,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.38723896,0.526802,0.397849,0.460432,0.380165,0.355941,0.279224,0.38723896
10,0,10,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],145,0.00643764,0.806908,0.625646,0.592956,0.387489,0.540360,0.259934,0.40272598
168,11,11,training,,10,1,40,0.1,128,5.573485060673379e-05,0.0023647095859479243,1.7153076036340657e-07,2,True,,70,0.39762549,0.705176,0.385695,0.693414,0.405579,0.555446,0.313456,0.39762549
10,0,10,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],145,0.00643764,0.806908,0.625646,0.592956,0.387489,0.540360,0.259934,0.40272598
2,0,2,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,69,0.28097906,0.614389,0.442025,0.511062,0.380084,0.592281,0.283478,0.38723896
11,0,11,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,91,0.23823407,0.689527,0.503704,0.581187,0.401600,0.552776,0.222609,0.40272598
169,11,12,training,,10,0,40,0.1,128,5.573485060673379e-05,0.0023647095859479243,1.7153076036340657e-07,2,True,,70,0.39762549,0.705176,0.385695,0.693414,0.405579,0.555446,0.313456,0.39762549
3,0,3,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.38723896,0.526802,0.397849,0.460432,0.380165,0.355941,0.279224,0.38723896
11,0,11,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,91,0.23823407,0.689527,0.503704,0.581187,0.401600,0.552776,0.222609,0.40272598
12,0,12,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,75,0.38551453,0.585150,0.381890,0.527192,0.387931,0.410918,0.272226,0.40272598
170,11,13,training,,10,1,26,0.1,128,2.0040289927410563e-06,1e-05,1.7153076036340657e-07,2,True,,70,0.40729369,0.603776,0.430442,0.553403,0.391861,0.512871,0.273264,0.40729369
4,0,4,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,142,0.18505333,0.702213,0.498203,0.529107,0.377761,0.283368,0.257447,0.38723896
12,0,12,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,75,0.38551453,0.585150,0.381890,0.527192,0.387931,0.410918,0.272226,0.40272598
13,0,13,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,59,0.39551686,0.610547,0.399349,0.544554,0.392962,0.622846,0.266284,0.40272598
171,11,14,training,1,10,0,50,0.1,128,1e-07,0.0047111626651482755,1.0758633466277029e-07,2,True,,70,0.28028644,0.600871,0.447854,0.522966,0.383405,0.388119,0.260766,0.40729369
13,0,13,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,59,0.39551686,0.610547,0.399349,0.544554,0.392962,0.622846,0.266284,0.40272598
14,0,14,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],93,0.26587138,0.626804,0.448316,0.515135,0.378145,0.419629,0.256575,0.40272598
5,0,5,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,123,0.05434762,0.778753,0.590148,0.603193,0.384071,0.573971,0.201905,0.38723896
14,0,14,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,['typical_price'],93,0.26587138,0.626804,0.448316,0.515135,0.378145,0.419629,0.256575,0.40272598
172,12,1,training,,10,0,26,0.1,128,2.0040289927410563e-06,1e-05,3.6767591057015837e-07,2,True,,70,0.40729369,0.603776,0.430442,0.553403,0.391861,0.512871,0.273264,0.40729369
6,0,6,features,,10,1,32,0.1,128,1e-06,0.001,1e-08,2,False,,51,0.40272598,0.634137,0.408181,0.566265,0.399090,0.304071,0.254335,0.40272598
15,0,15,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],151,0.02777778,0.779261,0.589782,0.570684,0.373626,0.407427,0.263933,0.40272598
15,0,15,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],151,0.02777778,0.779261,0.589782,0.570684,0.373626,0.407427,0.263933,0.40272598
173,12,2,training,,10,0,32,0.1,128,2.0040289927410563e-06,1e-05,3.6767591057015837e-07,2,True,,70,0.40486163,0.609057,0.423369,0.568345,0.392523,0.539109,0.278854,0.40729369
7,0,7,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,,77,0.27076279,0.652835,0.444256,0.538333,0.377528,0.327372,0.260917,0.40272598
16,1,1,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,82,0.24460091,0.638059,0.462173,0.504178,0.378492,0.360060,0.266134,0.40272598
174,12,3,training,,10,0,60,0.1,128,1e-07,0.0023647095859479243,2.1391973070047467e-07,2,True,,70,0.38693842,0.562450,0.367799,0.559491,0.399698,0.430198,0.284649,0.40729369
8,0,8,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,139,0.37711356,0.542838,0.367091,0.501151,0.383795,0.358278,0.260047,0.40272598
16,1,1,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,82,0.24460091,0.638059,0.462173,0.504178,0.378492,0.360060,0.266134,0.40272598
17,1,2,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,139,0.37711356,0.542838,0.367091,0.501151,0.383795,0.358278,0.260047,0.40272598
175,12,4,training,,10,0,50,0.1,128,5.573485060673379e-05,0.0015240921279508074,1.7153076036340657e-07,2,True,,70,0.38793593,0.571561,0.396279,0.519092,0.382374,0.476238,0.287062,0.40729369
9,0,9,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,105,0.37221415,0.548879,0.377904,0.485327,0.368421,0.418136,0.286597,0.40272598
17,1,2,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,139,0.37711356,0.542838,0.367091,0.501151,0.383795,0.358278,0.260047,0.40272598
18,1,3,features,1,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,70,0.38723896,0.526802,0.397849,0.460432,0.380165,0.355941,0.279224,0.40272598
176,12,5,training,,10,0,34,0.1,128,7.362439656786753e-05,0.0023647095859479243,5.043051035702923e-07,2,True,,70,0.38598311,0.537233,0.400137,0.470393,0.376547,0.398515,0.280639,0.40729369
10,0,10,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,False,['typical_price'],145,0.00643764,0.806908,0.625646,0.592956,0.387489,0.540360,0.259934,0.40272598
11,0,11,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,91,0.23823407,0.689527,0.503704,0.581187,0.401600,0.552776,0.222609,0.40272598
12,0,12,features,,10,0,32,0.1,128,1e-06,0.001,1e-08,2,True,,75,0.38551453,0.585150,0.381890,0.527192,0.387931,0.410918,0.272226,0.40272598
