Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000080,0.000013,0.000067,0.000098
Train MAE H2,0.000082,0.000008,0.000072,0.000093
Train MAE H3,0.000106,0.000017,0.000083,0.000122
Train MAE H4,0.000097,0.000003,0.000093,0.000100
Train MAE H5,0.000124,0.000019,0.000105,0.000150
Train MAE H6,0.000116,0.000008,0.000108,0.000127
Train R2 H1,0.999999,0.000000,0.999998,0.999999
Train R2 H2,0.999998,0.000000,0.999997,0.999998
Train R2 H3,0.999997,0.000001,0.999996,0.999998
Train R2 H4,0.999997,0.000000,0.999997,0.999998
Train R2 H5,0.999996,0.000001,0.999995,0.999997
Train R2 H6,0.999997,0.000001,0.999996,0.999997
Train Uncertainty H1,0.000216,0.000015,0.000194,0.000229
Train Uncertainty H2,0.000263,0.000020,0.000239,0.000287
Train Uncertainty H3,0.000306,0.000017,0.000281,0.000320
Train Uncertainty H4,0.000341,0.000017,0.000326,0.000365
Train Uncertainty H5,0.000363,0.000020,0.000338,0.000386
Train Uncertainty H6,0.000376,0.000015,0.000364,0.000397
Train SNR H1,6235.160156,464.056519,5826.054688,6884.119629
Train SNR H2,5103.034668,381.891296,4656.809082,5589.630859
Train SNR H3,4388.275879,256.688629,4179.300293,4749.825195
Train SNR H4,3926.348389,191.213226,3659.690918,4098.589355
Train SNR H5,3697.210938,201.257156,3463.495605,3954.743896
Train SNR H6,3561.177734,136.228836,3369.582031,3674.460938
Validation MAE H1,0.000068,0.000020,0.000053,0.000097
Validation MAE H2,0.000059,0.000008,0.000049,0.000069
Validation MAE H3,0.000076,0.000011,0.000065,0.000091
Validation MAE H4,0.000069,0.000002,0.000067,0.000072
Validation MAE H5,0.000092,0.000019,0.000075,0.000119
Validation MAE H6,0.000082,0.000004,0.000076,0.000087
Validation R2 H1,0.999999,0.000001,0.999998,0.999999
Validation R2 H2,0.999999,0.000000,0.999998,0.999999
Validation R2 H3,0.999998,0.000000,0.999998,0.999999
Validation R2 H4,0.999999,0.000000,0.999998,0.999999
Validation R2 H5,0.999998,0.000001,0.999997,0.999998
Validation R2 H6,0.999998,0.000000,0.999998,0.999998
Validation Uncertainty H1,0.000160,0.000013,0.000143,0.000174
Validation Uncertainty H2,0.000183,0.000015,0.000169,0.000203
Validation Uncertainty H3,0.000207,0.000008,0.000196,0.000214
Validation Uncertainty H4,0.000236,0.000011,0.000225,0.000251
Validation Uncertainty H5,0.000252,0.000017,0.000232,0.000274
Validation Uncertainty H6,0.000268,0.000012,0.000260,0.000285
Validation SNR H1,7975.925781,671.843506,7318.604004,8898.730469
Validation SNR H2,6987.224121,536.043579,6252.634766,7516.685547
Validation SNR H3,6136.195312,234.050018,5947.365234,6466.038574
Validation SNR H4,5390.758301,242.321823,5069.503418,5654.711914
Validation SNR H5,5062.492676,343.983124,4627.942871,5469.138672
Validation SNR H6,4741.908203,198.791672,4460.798828,4885.666504
Test MAE H1,0.000075,0.000026,0.000050,0.000111
Test MAE H2,0.000058,0.000007,0.000048,0.000064
Test MAE H3,0.000082,0.000003,0.000079,0.000086
Test MAE H4,0.000067,0.000002,0.000065,0.000068
Test MAE H5,0.000084,0.000012,0.000071,0.000100
Test MAE H6,0.000086,0.000003,0.000082,0.000089
Test R2 H1,0.999995,0.000003,0.999991,0.999998
Test R2 H2,0.999996,0.000001,0.999996,0.999998
Test R2 H3,0.999994,0.000000,0.999994,0.999994
Test R2 H4,0.999996,0.000000,0.999996,0.999996
Test R2 H5,0.999994,0.000001,0.999992,0.999995
Test R2 H6,0.999994,0.000001,0.999993,0.999994
Test Uncertainty H1,0.000148,0.000012,0.000131,0.000158
Test Uncertainty H2,0.000177,0.000010,0.000163,0.000188
Test Uncertainty H3,0.000198,0.000013,0.000181,0.000213
Test Uncertainty H4,0.000218,0.000004,0.000214,0.000224
Test Uncertainty H5,0.000230,0.000009,0.000223,0.000242
Test Uncertainty H6,0.000246,0.000013,0.000235,0.000265
Test SNR H1,7978.214355,672.796021,7407.788574,8922.928711
Test SNR H2,6615.583984,399.267395,6236.185547,7167.449219
Test SNR H3,5925.048340,404.950226,5494.270996,6467.239746
Test SNR H4,5367.852539,108.686172,5215.316406,5460.508789
Test SNR H5,5090.806152,187.802704,4825.446289,5233.124023
Test SNR H6,4760.843262,247.683685,4413.728516,4975.073242
