Metric,Average,Std Dev,Min,Max
Train MAE H1,0.001060,0.000013,0.001043,0.001076
Train MAE H2,0.001405,0.000032,0.001364,0.001443
Train MAE H3,0.001536,0.000060,0.001464,0.001610
Train MAE H4,0.001569,0.000100,0.001442,0.001686
Train MAE H5,0.001504,0.000120,0.001364,0.001658
Train MAE H6,0.001417,0.000137,0.001264,0.001595
Train R2 H1,0.999787,0.000008,0.999777,0.999796
Train R2 H2,0.999651,0.000017,0.999631,0.999672
Train R2 H3,0.999603,0.000030,0.999565,0.999639
Train R2 H4,0.999589,0.000049,0.999530,0.999650
Train R2 H5,0.999629,0.000055,0.999558,0.999692
Train R2 H6,0.999672,0.000059,0.999594,0.999736
Train Uncertainty H1,0.000270,0.000009,0.000257,0.000278
Train Uncertainty H2,0.000372,0.000009,0.000364,0.000385
Train Uncertainty H3,0.000461,0.000005,0.000455,0.000466
Train Uncertainty H4,0.000520,0.000025,0.000499,0.000556
Train Uncertainty H5,0.000590,0.000020,0.000569,0.000617
Train Uncertainty H6,0.000621,0.000023,0.000591,0.000645
Train SNR H1,4962.556641,169.702667,4804.893555,5198.089355
Train SNR H2,3597.190186,86.634483,3476.045166,3673.613770
Train SNR H3,2897.219482,31.632236,2867.855225,2941.128418
Train SNR H4,2576.297852,121.095573,2406.163330,2678.302490
Train SNR H5,2269.238037,76.682281,2166.197998,2350.038086
Train SNR H6,2154.810791,79.976341,2073.621338,2263.600342
Validation MAE H1,0.000709,0.000006,0.000702,0.000716
Validation MAE H2,0.000944,0.000021,0.000921,0.000971
Validation MAE H3,0.001039,0.000038,0.000998,0.001090
Validation MAE H4,0.001071,0.000074,0.000983,0.001163
Validation MAE H5,0.001043,0.000094,0.000939,0.001168
Validation MAE H6,0.001003,0.000104,0.000889,0.001141
Validation R2 H1,0.999861,0.000005,0.999854,0.999867
Validation R2 H2,0.999763,0.000012,0.999747,0.999776
Validation R2 H3,0.999732,0.000022,0.999702,0.999754
Validation R2 H4,0.999724,0.000040,0.999672,0.999769
Validation R2 H5,0.999745,0.000047,0.999682,0.999796
Validation R2 H6,0.999767,0.000050,0.999701,0.999821
Validation Uncertainty H1,0.000223,0.000006,0.000214,0.000228
Validation Uncertainty H2,0.000280,0.000016,0.000261,0.000301
Validation Uncertainty H3,0.000337,0.000014,0.000323,0.000357
Validation Uncertainty H4,0.000376,0.000014,0.000364,0.000395
Validation Uncertainty H5,0.000429,0.000011,0.000414,0.000441
Validation Uncertainty H6,0.000441,0.000007,0.000432,0.000450
Validation SNR H1,5702.786621,159.711197,5583.577148,5928.533691
Validation SNR H2,4547.479980,264.600037,4216.755859,4864.453125
Validation SNR H3,3773.440674,158.193085,3560.229004,3938.725098
Validation SNR H4,3384.149658,122.418716,3212.469482,3489.327148
Validation SNR H5,2962.130859,80.357330,2881.523438,3071.808838
Validation SNR H6,2881.512695,47.429974,2823.777832,2939.950684
Test MAE H1,0.000682,0.000008,0.000670,0.000691
Test MAE H2,0.000894,0.000015,0.000874,0.000911
Test MAE H3,0.000977,0.000021,0.000951,0.001001
Test MAE H4,0.000991,0.000057,0.000923,0.001063
Test MAE H5,0.000964,0.000082,0.000876,0.001074
Test MAE H6,0.000928,0.000089,0.000828,0.001045
Test R2 H1,0.999574,0.000011,0.999558,0.999584
Test R2 H2,0.999309,0.000037,0.999264,0.999354
Test R2 H3,0.999200,0.000045,0.999137,0.999237
Test R2 H4,0.999195,0.000102,0.999064,0.999312
Test R2 H5,0.999257,0.000133,0.999079,0.999396
Test R2 H6,0.999317,0.000137,0.999134,0.999464
Test Uncertainty H1,0.000226,0.000005,0.000220,0.000230
Test Uncertainty H2,0.000290,0.000016,0.000271,0.000309
Test Uncertainty H3,0.000335,0.000010,0.000324,0.000348
Test Uncertainty H4,0.000361,0.000014,0.000342,0.000374
Test Uncertainty H5,0.000423,0.000012,0.000407,0.000433
Test Uncertainty H6,0.000421,0.000019,0.000400,0.000447
Test SNR H1,5171.726562,105.448723,5082.070801,5319.755859
Test SNR H2,4047.494141,219.795593,3782.920410,4321.081055
Test SNR H3,3497.272461,102.670540,3363.054199,3612.349854
Test SNR H4,3242.334229,127.898338,3122.581055,3419.604980
Test SNR H5,2765.210205,77.777634,2698.023438,2874.225830
Test SNR H6,2780.900146,126.224442,2618.767822,2926.648193
