Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000701,0.000250,0.000354,0.000934
Train MAE H2,0.000539,0.000220,0.000230,0.000729
Train MAE H3,0.001213,0.000611,0.000520,0.002007
Train MAE H4,0.001327,0.000718,0.000745,0.002339
Train MAE H5,0.000756,0.000278,0.000386,0.001055
Train MAE H6,0.001279,0.000853,0.000569,0.002478
Train R2 H1,0.999891,0.000057,0.999835,0.999970
Train R2 H2,0.999930,0.000041,0.999894,0.999988
Train R2 H3,0.999649,0.000306,0.999228,0.999946
Train R2 H4,0.999574,0.000424,0.998975,0.999893
Train R2 H5,0.999876,0.000074,0.999789,0.999970
Train R2 H6,0.999560,0.000493,0.998864,0.999938
Train Uncertainty H1,0.000436,0.000058,0.000357,0.000495
Train Uncertainty H2,0.000544,0.000145,0.000338,0.000653
Train Uncertainty H3,0.000529,0.000379,0.000000,0.000872
Train Uncertainty H4,0.000477,0.000337,0.000000,0.000721
Train Uncertainty H5,0.000889,0.000120,0.000725,0.001007
Train Uncertainty H6,0.001051,0.000188,0.000851,0.001304
Train SNR H1,3128.380615,448.434784,2700.861572,3747.801514
Train SNR H2,2697.187500,888.563477,2047.500244,3953.560791
Train SNR H3,1128789.250000,1593939.375000,1532.575195,3382960.000000
Train SNR H4,5464682.000000,7725586.000000,1853.577026,16390310.000000
Train SNR H5,1533.804688,223.544296,1328.034912,1844.541016
Train SNR H6,1311.145386,223.358627,1025.452637,1570.689453
Validation MAE H1,0.000475,0.000165,0.000246,0.000626
Validation MAE H2,0.000378,0.000136,0.000191,0.000511
Validation MAE H3,0.000826,0.000399,0.000368,0.001341
Validation MAE H4,0.000935,0.000458,0.000516,0.001573
Validation MAE H5,0.000565,0.000194,0.000313,0.000786
Validation MAE H6,0.000869,0.000550,0.000414,0.001643
Validation R2 H1,0.999929,0.000038,0.999894,0.999982
Validation R2 H2,0.999952,0.000026,0.999925,0.999987
Validation R2 H3,0.999759,0.000207,0.999473,0.999959
Validation R2 H4,0.999691,0.000285,0.999289,0.999922
Validation R2 H5,0.999900,0.000057,0.999832,0.999972
Validation R2 H6,0.999706,0.000321,0.999253,0.999953
Validation Uncertainty H1,0.000318,0.000052,0.000252,0.000378
Validation Uncertainty H2,0.000399,0.000108,0.000249,0.000498
Validation Uncertainty H3,0.000404,0.000295,0.000000,0.000698
Validation Uncertainty H4,0.000352,0.000249,0.000000,0.000553
Validation Uncertainty H5,0.000676,0.000097,0.000559,0.000796
Validation Uncertainty H6,0.000761,0.000110,0.000607,0.000855
Validation SNR H1,4102.944336,698.399414,3357.301514,5036.707031
Validation SNR H2,3491.353760,1140.718018,2550.565918,5096.668457
Validation SNR H3,1291505.000000,1823432.000000,1818.828125,3870227.250000
Validation SNR H4,6180478.500000,8737103.000000,2297.073242,18536608.000000
Validation SNR H5,1918.834839,276.763336,1595.530640,2271.543701
Validation SNR H6,1708.925659,272.562866,1485.514038,2092.663086
Test MAE H1,0.000465,0.000158,0.000248,0.000621
Test MAE H2,0.000378,0.000121,0.000217,0.000509
Test MAE H3,0.000810,0.000355,0.000400,0.001266
Test MAE H4,0.000938,0.000402,0.000521,0.001482
Test MAE H5,0.000606,0.000195,0.000380,0.000857
Test MAE H6,0.000829,0.000517,0.000427,0.001559
Test R2 H1,0.999781,0.000117,0.999661,0.999940
Test R2 H2,0.999865,0.000069,0.999787,0.999955
Test R2 H3,0.999281,0.000588,0.998478,0.999871
Test R2 H4,0.999076,0.000789,0.997970,0.999762
Test R2 H5,0.999663,0.000194,0.999419,0.999892
Test R2 H6,0.999142,0.000937,0.997818,0.999844
Test Uncertainty H1,0.000306,0.000071,0.000229,0.000400
Test Uncertainty H2,0.000391,0.000119,0.000225,0.000493
Test Uncertainty H3,0.000389,0.000287,0.000000,0.000685
Test Uncertainty H4,0.000326,0.000232,0.000000,0.000513
Test Uncertainty H5,0.000619,0.000072,0.000538,0.000713
Test Uncertainty H6,0.000754,0.000145,0.000550,0.000862
Test SNR H1,4022.106201,889.419312,2926.365967,5104.873535
Test SNR H2,3382.014648,1289.732178,2369.698486,5202.145996
Test SNR H3,1043561.562500,1472891.375000,1707.722290,3126544.500000
Test SNR H4,6368761.500000,9003404.000000,2277.980713,19101498.000000
Test SNR H5,1913.583618,217.833344,1640.716553,2173.850586
Test SNR H6,1619.452759,358.857758,1356.762817,2126.848145
