Metric,Average,Std Dev,Min,Max
Train MAE H24,0.000615,0.000007,0.000605,0.000621
Train MAE H48,0.000700,0.000070,0.000650,0.000799
Train MAE H72,0.000734,0.000168,0.000602,0.000971
Train MAE H96,0.000765,0.000245,0.000591,0.001111
Train MAE H120,0.001284,0.000179,0.001143,0.001537
Train MAE H144,0.004818,0.000083,0.004759,0.004935
Train R2 H24,0.999944,0.000002,0.999942,0.999946
Train R2 H48,0.999929,0.000015,0.999907,0.999940
Train R2 H72,0.999920,0.000037,0.999868,0.999949
Train R2 H96,0.999908,0.000057,0.999828,0.999949
Train R2 H120,0.999738,0.000059,0.999655,0.999783
Train R2 H144,0.996628,0.000083,0.996511,0.996692
Train Uncertainty H24,0.000542,0.000059,0.000463,0.000603
Train Uncertainty H48,0.000680,0.000025,0.000656,0.000715
Train Uncertainty H72,0.000762,0.000044,0.000701,0.000804
Train Uncertainty H96,0.000882,0.000040,0.000828,0.000923
Train Uncertainty H120,0.000967,0.000061,0.000880,0.001014
Train Uncertainty H144,0.001100,0.000060,0.001040,0.001182
Train SNR H24,2304.218750,262.878632,2044.241455,2664.352295
Train SNR H48,1816.189453,65.454269,1725.719360,1878.388184
Train SNR H72,1624.245605,97.399574,1533.738892,1759.423462
Train SNR H96,1400.685913,65.076836,1335.077637,1489.384155
Train SNR H120,1280.516602,84.621384,1214.976807,1400.001953
Train SNR H144,1123.371338,59.407688,1043.080566,1184.939941
Validation MAE H24,0.000298,0.000010,0.000284,0.000306
Validation MAE H48,0.000345,0.000005,0.000340,0.000352
Validation MAE H72,0.000385,0.000019,0.000359,0.000403
Validation MAE H96,0.000431,0.000037,0.000380,0.000462
Validation MAE H120,0.000941,0.000019,0.000917,0.000963
Validation MAE H144,0.004421,0.000031,0.004384,0.004459
Validation R2 H24,0.999793,0.000010,0.999781,0.999805
Validation R2 H48,0.999736,0.000010,0.999727,0.999750
Validation R2 H72,0.999675,0.000046,0.999617,0.999729
Validation R2 H96,0.999586,0.000077,0.999512,0.999692
Validation R2 H120,0.997883,0.000044,0.997833,0.997939
Validation R2 H144,0.960133,0.000494,0.959563,0.960767
Validation Uncertainty H24,0.000480,0.000041,0.000425,0.000524
Validation Uncertainty H48,0.000643,0.000041,0.000596,0.000696
Validation Uncertainty H72,0.000725,0.000066,0.000632,0.000781
Validation Uncertainty H96,0.000773,0.000068,0.000679,0.000841
Validation Uncertainty H120,0.000804,0.000051,0.000733,0.000851
Validation Uncertainty H144,0.000955,0.000071,0.000902,0.001055
Validation SNR H24,2509.407959,223.310806,2282.075195,2812.920166
Validation SNR H48,1865.565918,117.572502,1718.736328,2006.551025
Validation SNR H72,1663.588013,162.480301,1529.514893,1892.235474
Validation SNR H96,1559.490356,144.500916,1421.439453,1759.004272
Validation SNR H120,1492.791382,98.725182,1404.855591,1630.676514
Validation SNR H144,1258.289429,89.409332,1131.890015,1324.397095
Test MAE H24,0.000356,0.000039,0.000305,0.000401
Test MAE H48,0.000444,0.000085,0.000362,0.000561
Test MAE H72,0.000465,0.000161,0.000323,0.000690
Test MAE H96,0.000508,0.000222,0.000347,0.000822
Test MAE H120,0.000838,0.000182,0.000709,0.001096
Test MAE H144,0.003000,0.000077,0.002930,0.003107
Test R2 H24,0.998855,0.000214,0.998615,0.999135
Test R2 H48,0.998252,0.000660,0.997337,0.998867
Test R2 H72,0.997942,0.001351,0.996045,0.999086
Test R2 H96,0.997449,0.002074,0.994516,0.998949
Test R2 H120,0.992985,0.002436,0.989539,0.994707
Test R2 H144,0.919071,0.003686,0.913939,0.922429
Test Uncertainty H24,0.000364,0.000036,0.000317,0.000403
Test Uncertainty H48,0.000458,0.000009,0.000446,0.000466
Test Uncertainty H72,0.000495,0.000043,0.000437,0.000540
Test Uncertainty H96,0.000544,0.000033,0.000498,0.000573
Test Uncertainty H120,0.000568,0.000050,0.000504,0.000625
Test Uncertainty H144,0.000691,0.000044,0.000629,0.000732
Test SNR H24,3113.244141,319.202759,2789.954346,3547.741455
Test SNR H48,2453.570068,46.185680,2410.335449,2517.587158
Test SNR H72,2285.127930,207.623352,2079.382324,2569.419434
Test SNR H96,2072.588135,130.405411,1959.763184,2255.338379
Test SNR H120,1991.503906,179.092422,1796.073853,2228.741211
Test SNR H144,1631.307251,109.406906,1534.199585,1784.179810
