Metric,Average,Std Dev,Min,Max
Train MAE H24,0.001016,0.000373,0.000492,0.001333
Train MAE H48,0.001236,0.000369,0.000715,0.001528
Train MAE H72,0.003785,0.002658,0.001611,0.007528
Train MAE H96,0.004653,0.003645,0.001978,0.009806
Train MAE H120,0.001772,0.000519,0.001105,0.002371
Train MAE H144,0.007187,0.002968,0.004925,0.011380
Train R2 H24,0.999817,0.000105,0.999727,0.999964
Train R2 H48,0.999752,0.000124,0.999651,0.999927
Train R2 H72,0.997021,0.003420,0.992188,0.999609
Train R2 H96,0.995279,0.005821,0.987048,0.999408
Train R2 H120,0.999494,0.000251,0.999184,0.999798
Train R2 H144,0.991879,0.006173,0.983152,0.996447
Train Uncertainty H24,0.001043,0.000314,0.000599,0.001276
Train Uncertainty H48,0.001365,0.000483,0.000706,0.001850
Train Uncertainty H72,0.002288,0.000302,0.001892,0.002624
Train Uncertainty H96,0.001667,0.001189,0.000000,0.002699
Train Uncertainty H120,0.001970,0.000545,0.001202,0.002409
Train Uncertainty H144,0.002711,0.000331,0.002285,0.003091
Train SNR H24,1336.213379,511.435760,966.112488,2059.426270
Train SNR H48,1071.362549,479.842651,666.601868,1745.442017
Train SNR H72,548.858459,76.177559,469.812958,651.771973
Train SNR H96,833776.250000,1178435.500000,456.963440,2500335.750000
Train SNR H120,691.244324,236.287918,511.747925,1025.090332
Train SNR H144,462.061523,58.178600,399.119812,539.422241
Validation MAE H24,0.000913,0.000355,0.000410,0.001166
Validation MAE H48,0.001204,0.000442,0.000579,0.001531
Validation MAE H72,0.003493,0.002213,0.001540,0.006588
Validation MAE H96,0.003968,0.003011,0.001783,0.008226
Validation MAE H120,0.001881,0.000686,0.001162,0.002804
Validation MAE H144,0.006240,0.002049,0.004557,0.009124
Validation R2 H24,0.997781,0.001300,0.996861,0.999619
Validation R2 H48,0.996322,0.002085,0.994821,0.999271
Validation R2 H72,0.964834,0.036644,0.913223,0.994685
Validation R2 H96,0.948454,0.061780,0.861083,0.992237
Validation R2 H120,0.991268,0.006099,0.982861,0.997142
Validation R2 H144,0.914665,0.053081,0.839794,0.956805
Validation Uncertainty H24,0.000880,0.000263,0.000509,0.001092
Validation Uncertainty H48,0.001159,0.000369,0.000655,0.001530
Validation Uncertainty H72,0.001951,0.000287,0.001567,0.002255
Validation Uncertainty H96,0.001374,0.000978,0.000000,0.002197
Validation Uncertainty H120,0.001555,0.000453,0.000915,0.001901
Validation Uncertainty H144,0.002197,0.000219,0.001904,0.002432
Validation SNR H24,1531.908813,578.151794,1093.991211,2348.831299
Validation SNR H48,1176.750000,461.422241,781.364197,1824.018555
Validation SNR H72,627.091675,98.948303,530.233765,762.985229
Validation SNR H96,917787.437500,1297123.375000,544.401367,2752197.000000
Validation SNR H120,859.553223,315.068634,628.591125,1305.026245
Validation SNR H144,549.382812,57.442600,491.121490,627.540955
Test MAE H24,0.000728,0.000287,0.000328,0.000985
Test MAE H48,0.000966,0.000331,0.000538,0.001345
Test MAE H72,0.002416,0.001468,0.001124,0.004469
Test MAE H96,0.002676,0.002107,0.001184,0.005656
Test MAE H120,0.001557,0.000287,0.001168,0.001849
Test MAE H144,0.004199,0.001469,0.003131,0.006277
Test R2 H24,0.994392,0.003347,0.991319,0.999047
Test R2 H48,0.991119,0.005116,0.985079,0.997588
Test R2 H72,0.935081,0.066588,0.841236,0.988769
Test R2 H96,0.906596,0.113830,0.745615,0.987263
Test R2 H120,0.978668,0.007764,0.970637,0.989168
Test R2 H144,0.838142,0.105240,0.689313,0.913404
Test Uncertainty H24,0.000644,0.000202,0.000359,0.000795
Test Uncertainty H48,0.000841,0.000307,0.000424,0.001152
Test Uncertainty H72,0.001447,0.000162,0.001223,0.001601
Test Uncertainty H96,0.001030,0.000743,0.000000,0.001727
Test Uncertainty H120,0.001152,0.000354,0.000654,0.001447
Test Uncertainty H144,0.001707,0.000219,0.001431,0.001968
Test SNR H24,1996.503540,802.791199,1412.589600,3131.665283
Test SNR H48,1602.322876,744.282715,974.658997,2647.908691
Test SNR H72,786.213867,94.501419,701.160156,918.016602
Test SNR H96,809446.812500,1143688.375000,650.223083,2426866.500000
Test SNR H120,1106.255859,431.355499,775.508545,1715.539429
Test SNR H144,668.932617,88.252296,570.183899,784.407043
