Metric,Average,Std Dev,Min,Max
Train MAE H24,0.004723,0.000012,0.004711,0.004739
Train MAE H48,0.006492,0.000041,0.006451,0.006549
Train MAE H72,0.007334,0.000178,0.007187,0.007585
Train MAE H96,0.007872,0.000203,0.007710,0.008158
Train MAE H120,0.008393,0.000312,0.008150,0.008833
Train MAE H144,0.008670,0.000409,0.008336,0.009247
Train R2 H24,0.996667,0.000018,0.996643,0.996688
Train R2 H48,0.993975,0.000100,0.993837,0.994073
Train R2 H72,0.992718,0.000354,0.992220,0.993012
Train R2 H96,0.991770,0.000356,0.991272,0.992079
Train R2 H120,0.990715,0.000499,0.990010,0.991092
Train R2 H144,0.989955,0.000757,0.988899,0.990637
Train Uncertainty H24,0.001936,0.000116,0.001799,0.002083
Train Uncertainty H48,0.002505,0.000198,0.002227,0.002665
Train Uncertainty H72,0.003279,0.000277,0.003059,0.003670
Train Uncertainty H96,0.003744,0.000234,0.003487,0.004054
Train Uncertainty H120,0.004055,0.000299,0.003669,0.004397
Train Uncertainty H144,0.004230,0.000210,0.004052,0.004525
Train SNR H24,639.068970,38.091122,591.809082,685.088135
Train SNR H48,495.065399,41.282791,462.438629,553.307556
Train SNR H72,378.402679,30.230249,335.813416,402.925323
Train SNR H96,330.378876,20.395920,303.814514,353.394562
Train SNR H120,305.610321,22.944582,280.281738,335.839569
Train SNR H144,291.988800,14.073462,272.272980,304.204224
Validation MAE H24,0.004322,0.000064,0.004268,0.004411
Validation MAE H48,0.007900,0.001068,0.006687,0.009286
Validation MAE H72,0.016600,0.000967,0.015725,0.017947
Validation MAE H96,0.025466,0.004722,0.020863,0.031958
Validation MAE H120,0.030860,0.006032,0.023526,0.038301
Validation MAE H144,0.036274,0.004616,0.032325,0.042749
Validation R2 H24,0.961069,0.001219,0.959356,0.962093
Validation R2 H48,0.876261,0.030730,0.836136,0.910779
Validation R2 H72,0.532710,0.036290,0.481542,0.561738
Validation R2 H96,-0.017201,0.305412,-0.442307,0.261524
Validation R2 H120,-0.448462,0.443183,-1.006522,0.077639
Validation R2 H144,-0.918365,0.385146,-1.461872,-0.615678
Validation Uncertainty H24,0.002962,0.000381,0.002556,0.003473
Validation Uncertainty H48,0.006817,0.001115,0.005562,0.008271
Validation Uncertainty H72,0.010010,0.001265,0.008560,0.011642
Validation Uncertainty H96,0.012442,0.002446,0.010181,0.015840
Validation Uncertainty H120,0.012743,0.002068,0.010130,0.015188
Validation Uncertainty H144,0.014074,0.001699,0.011946,0.016104
Validation SNR H24,409.542694,50.800480,343.616943,467.231659
Validation SNR H48,179.113876,28.894815,143.440628,214.211151
Validation SNR H72,119.590729,14.983469,101.062675,137.759247
Validation SNR H96,97.401405,17.660625,73.361069,115.286125
Validation SNR H120,93.915321,16.356747,76.078018,115.588882
Validation SNR H144,83.508614,10.584756,71.459457,97.225327
Test MAE H24,0.002843,0.000021,0.002825,0.002872
Test MAE H48,0.004307,0.000138,0.004141,0.004477
Test MAE H72,0.006753,0.000468,0.006180,0.007326
Test MAE H96,0.009620,0.000457,0.009104,0.010214
Test MAE H120,0.011619,0.000490,0.010949,0.012106
Test MAE H144,0.012872,0.001377,0.010961,0.014151
Test R2 H24,0.926873,0.000643,0.925976,0.927450
Test R2 H48,0.845132,0.011821,0.830095,0.858975
Test R2 H72,0.621662,0.046604,0.566465,0.680451
Test R2 H96,0.238731,0.072143,0.140455,0.311599
Test R2 H120,-0.080136,0.072929,-0.143758,0.021976
Test R2 H144,-0.331116,0.293029,-0.651203,0.056869
Test Uncertainty H24,0.002065,0.000209,0.001779,0.002274
Test Uncertainty H48,0.003008,0.000154,0.002802,0.003171
Test Uncertainty H72,0.004379,0.000406,0.004057,0.004952
Test Uncertainty H96,0.005435,0.000436,0.004899,0.005968
Test Uncertainty H120,0.006450,0.000858,0.005776,0.007660
Test Uncertainty H144,0.006372,0.000318,0.006134,0.006821
Test SNR H24,549.650085,58.957573,493.756104,631.177734
Test SNR H48,374.161499,19.768105,353.587128,400.840393
Test SNR H72,258.762238,23.128063,226.200150,277.716187
Test SNR H96,208.333328,17.428452,187.227371,229.910385
Test SNR H120,177.407410,22.492893,145.677856,195.227173
Test SNR H144,177.219070,9.378384,163.956161,183.901062
