Metric,Average,Std Dev,Min,Max
Train MAE H24,0.001207,0.000000,0.001207,0.001207
Train MAE H48,0.001243,0.000000,0.001243,0.001243
Train MAE H72,0.001138,0.000000,0.001138,0.001138
Train MAE H96,0.001090,0.000000,0.001090,0.001090
Train MAE H120,0.001341,0.000000,0.001341,0.001341
Train MAE H144,0.001104,0.000000,0.001104,0.001104
Train Naive MAE H24,0.000785,0.000000,0.000785,0.000785
Train Naive MAE H48,0.001120,0.000000,0.001120,0.001120
Train Naive MAE H72,0.001377,0.000000,0.001377,0.001377
Train Naive MAE H96,0.001595,0.000000,0.001595,0.001595
Train Naive MAE H120,0.001785,0.000000,0.001785,0.001785
Train Naive MAE H144,0.001939,0.000000,0.001939,0.001939
Train R2 H24,0.987467,0.000000,0.987467,0.987467
Train R2 H48,0.986391,0.000000,0.986391,0.986391
Train R2 H72,0.987913,0.000000,0.987913,0.987913
Train R2 H96,0.988410,0.000000,0.988410,0.988410
Train R2 H120,0.983618,0.000000,0.983618,0.983618
Train R2 H144,0.988357,0.000000,0.988357,0.988357
Train Uncertainty H24,0.000634,0.000000,0.000634,0.000634
Train Uncertainty H48,0.000653,0.000000,0.000653,0.000653
Train Uncertainty H72,0.000626,0.000000,0.000626,0.000626
Train Uncertainty H96,0.000649,0.000000,0.000649,0.000649
Train Uncertainty H120,0.000663,0.000000,0.000663,0.000663
Train Uncertainty H144,0.000672,0.000000,0.000672,0.000672
Train SNR H24,2119.061768,0.000000,2119.061768,2119.061768
Train SNR H48,2056.658691,0.000000,2056.658691,2056.658691
Train SNR H72,2145.011719,0.000000,2145.011719,2145.011719
Train SNR H96,2068.562012,0.000000,2068.562012,2068.562012
Train SNR H120,2023.822876,0.000000,2023.822876,2023.822876
Train SNR H144,1999.094971,0.000000,1999.094971,1999.094971
Validation MAE H24,0.001588,0.000000,0.001588,0.001588
Validation MAE H48,0.001851,0.000000,0.001851,0.001851
Validation MAE H72,0.002072,0.000000,0.002072,0.002072
Validation MAE H96,0.002497,0.000000,0.002497,0.002497
Validation MAE H120,0.003072,0.000000,0.003072,0.003072
Validation MAE H144,0.002899,0.000000,0.002899,0.002899
Validation Naive MAE H24,0.000909,0.000000,0.000909,0.000909
Validation Naive MAE H48,0.001350,0.000000,0.001350,0.001350
Validation Naive MAE H72,0.001728,0.000000,0.001728,0.001728
Validation Naive MAE H96,0.001992,0.000000,0.001992,0.001992
Validation Naive MAE H120,0.002210,0.000000,0.002210,0.002210
Validation Naive MAE H144,0.002409,0.000000,0.002409,0.002409
Validation R2 H24,0.935249,0.000000,0.935249,0.935249
Validation R2 H48,0.912084,0.000000,0.912084,0.912084
Validation R2 H72,0.897862,0.000000,0.897862,0.897862
Validation R2 H96,0.858385,0.000000,0.858385,0.858385
Validation R2 H120,0.795044,0.000000,0.795044,0.795044
Validation R2 H144,0.809783,0.000000,0.809783,0.809783
Validation Uncertainty H24,0.000456,0.000000,0.000456,0.000456
Validation Uncertainty H48,0.000477,0.000000,0.000477,0.000477
Validation Uncertainty H72,0.000446,0.000000,0.000446,0.000446
Validation Uncertainty H96,0.000457,0.000000,0.000457,0.000457
Validation Uncertainty H120,0.000465,0.000000,0.000465,0.000465
Validation Uncertainty H144,0.000442,0.000000,0.000442,0.000442
Validation SNR H24,2948.410889,0.000000,2948.410889,2948.410889
Validation SNR H48,2815.186279,0.000000,2815.186279,2815.186279
Validation SNR H72,3009.600586,0.000000,3009.600586,3009.600586
Validation SNR H96,2935.754395,0.000000,2935.754395,2935.754395
Validation SNR H120,2880.772461,0.000000,2880.772461,2880.772461
Validation SNR H144,3031.766357,0.000000,3031.766357,3031.766357
Test MAE H24,0.001623,0.000000,0.001623,0.001623
Test MAE H48,0.002103,0.000000,0.002103,0.002103
Test MAE H72,0.002313,0.000000,0.002313,0.002313
Test MAE H96,0.002587,0.000000,0.002587,0.002587
Test MAE H120,0.002850,0.000000,0.002850,0.002850
Test MAE H144,0.002996,0.000000,0.002996,0.002996
Test Naive MAE H24,0.000811,0.000000,0.000811,0.000811
Test Naive MAE H48,0.001130,0.000000,0.001130,0.001130
Test Naive MAE H72,0.001414,0.000000,0.001414,0.001414
Test Naive MAE H96,0.001637,0.000000,0.001637,0.001637
Test Naive MAE H120,0.001802,0.000000,0.001802,0.001802
Test Naive MAE H144,0.001956,0.000000,0.001956,0.001956
Test R2 H24,0.902020,0.000000,0.902020,0.902020
Test R2 H48,0.832076,0.000000,0.832076,0.832076
Test R2 H72,0.797986,0.000000,0.797986,0.797986
Test R2 H96,0.748276,0.000000,0.748276,0.748276
Test R2 H120,0.695449,0.000000,0.695449,0.695449
Test R2 H144,0.643836,0.000000,0.643836,0.643836
Test Uncertainty H24,0.000405,0.000000,0.000405,0.000405
Test Uncertainty H48,0.000396,0.000000,0.000396,0.000396
Test Uncertainty H72,0.000396,0.000000,0.000396,0.000396
Test Uncertainty H96,0.000425,0.000000,0.000425,0.000425
Test Uncertainty H120,0.000426,0.000000,0.000426,0.000426
Test Uncertainty H144,0.000429,0.000000,0.000429,0.000429
Test SNR H24,3309.657471,0.000000,3309.657471,3309.657471
Test SNR H48,3389.133057,0.000000,3389.133057,3389.133057
Test SNR H72,3386.140137,0.000000,3386.140137,3386.140137
Test SNR H96,3156.424561,0.000000,3156.424561,3156.424561
Test SNR H120,3142.677002,0.000000,3142.677002,3142.677002
Test SNR H144,3122.162109,0.000000,3122.162109,3122.162109
