Metric,Average,Std Dev,Min,Max
Train MAE H24,0.000560,0.000209,0.000385,0.000854
Train MAE H48,0.000528,0.000043,0.000468,0.000561
Train MAE H72,0.000642,0.000081,0.000550,0.000748
Train MAE H96,0.000762,0.000133,0.000646,0.000948
Train MAE H120,0.000911,0.000210,0.000733,0.001205
Train MAE H144,0.005463,0.000066,0.005398,0.005554
Train R2 H24,0.999951,0.000024,0.999917,0.999972
Train R2 H48,0.999951,0.000007,0.999946,0.999960
Train R2 H72,0.999932,0.000015,0.999912,0.999948
Train R2 H96,0.999907,0.000023,0.999876,0.999929
Train R2 H120,0.999872,0.000041,0.999815,0.999910
Train R2 H144,0.995844,0.000106,0.995699,0.995950
Train Uncertainty H24,0.000849,0.000033,0.000808,0.000889
Train Uncertainty H48,0.001018,0.000055,0.000946,0.001079
Train Uncertainty H72,0.001112,0.000015,0.001097,0.001133
Train Uncertainty H96,0.001256,0.000037,0.001212,0.001303
Train Uncertainty H120,0.001400,0.000057,0.001342,0.001477
Train Uncertainty H144,0.001729,0.000026,0.001692,0.001748
Train SNR H24,1577.242554,61.562893,1504.176025,1654.775146
Train SNR H48,1317.967407,71.899582,1239.257568,1413.070801
Train SNR H72,1202.876343,16.605263,1179.961060,1218.780273
Train SNR H96,1065.401001,31.657133,1026.123047,1103.646240
Train SNR H120,956.974121,38.166245,905.634888,997.072998
Train SNR H144,773.587891,11.880454,764.732178,790.381042
Validation MAE H24,0.000704,0.000082,0.000595,0.000790
Validation MAE H48,0.001094,0.000210,0.000832,0.001347
Validation MAE H72,0.001518,0.000235,0.001231,0.001807
Validation MAE H96,0.001802,0.000459,0.001198,0.002311
Validation MAE H120,0.002105,0.000464,0.001449,0.002446
Validation MAE H144,0.005668,0.000071,0.005602,0.005766
Validation R2 H24,0.999869,0.000008,0.999862,0.999881
Validation R2 H48,0.999640,0.000093,0.999547,0.999767
Validation R2 H72,0.999332,0.000133,0.999223,0.999519
Validation R2 H96,0.998999,0.000233,0.998790,0.999324
Validation R2 H120,0.998622,0.000358,0.998225,0.999092
Validation R2 H144,0.992012,0.000347,0.991745,0.992501
Validation Uncertainty H24,0.000577,0.000010,0.000566,0.000591
Validation Uncertainty H48,0.000654,0.000034,0.000614,0.000697
Validation Uncertainty H72,0.000773,0.000027,0.000746,0.000810
Validation Uncertainty H96,0.000884,0.000079,0.000801,0.000990
Validation Uncertainty H120,0.000967,0.000022,0.000946,0.000998
Validation Uncertainty H144,0.001999,0.000162,0.001797,0.002194
Validation SNR H24,2203.875732,40.380733,2149.226807,2245.553711
Validation SNR H48,1947.919312,100.537445,1821.723145,2067.740967
Validation SNR H72,1644.855103,57.316658,1566.457031,1701.889648
Validation SNR H96,1444.641602,124.815544,1280.113037,1582.278687
Validation SNR H120,1310.482056,29.255934,1270.380615,1339.351685
Validation SNR H144,637.980225,52.451660,577.323547,705.286133
Test MAE H24,0.001176,0.000370,0.000801,0.001679
Test MAE H48,0.002252,0.000704,0.001531,0.003208
Test MAE H72,0.003231,0.000942,0.002301,0.004522
Test MAE H96,0.003815,0.001216,0.002426,0.005387
Test MAE H120,0.004590,0.000890,0.003538,0.005713
Test MAE H144,0.005902,0.000376,0.005379,0.006249
Test R2 H24,0.998960,0.000493,0.998268,0.999387
Test R2 H48,0.996409,0.001907,0.993773,0.998219
Test R2 H72,0.992761,0.003630,0.987696,0.996017
Test R2 H96,0.989569,0.005333,0.982305,0.994960
Test R2 H120,0.985844,0.004634,0.979774,0.991020
Test R2 H144,0.970647,0.003221,0.967583,0.975098
Test Uncertainty H24,0.000563,0.000018,0.000547,0.000589
Test Uncertainty H48,0.000733,0.000066,0.000674,0.000826
Test Uncertainty H72,0.000871,0.000062,0.000795,0.000947
Test Uncertainty H96,0.000965,0.000106,0.000824,0.001079
Test Uncertainty H120,0.001040,0.000062,0.000960,0.001112
Test Uncertainty H144,0.002779,0.000262,0.002554,0.003146
Test SNR H24,2082.224854,65.227654,1991.271729,2141.027832
Test SNR H48,1613.180786,137.353500,1422.326782,1739.912964
Test SNR H72,1356.705566,95.205612,1242.710449,1475.751465
Test SNR H96,1234.171021,141.461029,1091.954834,1427.130493
Test SNR H120,1136.188843,68.448463,1060.340942,1226.200317
Test SNR H144,427.481110,38.111843,374.245575,461.396301
