Metric,Average,Std Dev,Min,Max
Train MAE H24,0.001091,0.000000,0.001091,0.001091
Train MAE H48,0.001242,0.000000,0.001242,0.001242
Train MAE H72,0.001321,0.000000,0.001321,0.001321
Train MAE H96,0.001535,0.000000,0.001535,0.001535
Train MAE H120,0.001388,0.000000,0.001388,0.001388
Train MAE H144,0.001752,0.000000,0.001752,0.001752
Train Naive MAE H24,0.000551,0.000000,0.000551,0.000551
Train Naive MAE H48,0.000780,0.000000,0.000780,0.000780
Train Naive MAE H72,0.000975,0.000000,0.000975,0.000975
Train Naive MAE H96,0.001145,0.000000,0.001145,0.001145
Train Naive MAE H120,0.001297,0.000000,0.001297,0.001297
Train Naive MAE H144,0.001426,0.000000,0.001426,0.001426
Train R2 H24,0.989120,0.000000,0.989120,0.989120
Train R2 H48,0.985359,0.000000,0.985359,0.985359
Train R2 H72,0.983867,0.000000,0.983867,0.983867
Train R2 H96,0.978546,0.000000,0.978546,0.978546
Train R2 H120,0.982132,0.000000,0.982132,0.982132
Train R2 H144,0.971932,0.000000,0.971932,0.971932
Train Uncertainty H24,0.001726,0.000000,0.001726,0.001726
Train Uncertainty H48,0.001931,0.000000,0.001931,0.001931
Train Uncertainty H72,0.001771,0.000000,0.001771,0.001771
Train Uncertainty H96,0.002236,0.000000,0.002236,0.002236
Train Uncertainty H120,0.001803,0.000000,0.001803,0.001803
Train Uncertainty H144,0.002577,0.000000,0.002577,0.002577
Train SNR H24,780.311157,0.000000,780.311157,780.311157
Train SNR H48,697.120361,0.000000,697.120361,697.120361
Train SNR H72,760.195435,0.000000,760.195435,760.195435
Train SNR H96,602.377869,0.000000,602.377869,602.377869
Train SNR H120,746.153259,0.000000,746.153259,746.153259
Train SNR H144,522.505249,0.000000,522.505249,522.505249
Validation MAE H24,0.001697,0.000000,0.001697,0.001697
Validation MAE H48,0.001987,0.000000,0.001987,0.001987
Validation MAE H72,0.001694,0.000000,0.001694,0.001694
Validation MAE H96,0.001930,0.000000,0.001930,0.001930
Validation MAE H120,0.002417,0.000000,0.002417,0.002417
Validation MAE H144,0.001780,0.000000,0.001780,0.001780
Validation Naive MAE H24,0.000487,0.000000,0.000487,0.000487
Validation Naive MAE H48,0.000719,0.000000,0.000719,0.000719
Validation Naive MAE H72,0.000874,0.000000,0.000874,0.000874
Validation Naive MAE H96,0.000995,0.000000,0.000995,0.000995
Validation Naive MAE H120,0.001101,0.000000,0.001101,0.001101
Validation Naive MAE H144,0.001198,0.000000,0.001198,0.001198
Validation R2 H24,0.679662,0.000000,0.679662,0.679662
Validation R2 H48,0.572721,0.000000,0.572721,0.572721
Validation R2 H72,0.645726,0.000000,0.645726,0.645726
Validation R2 H96,0.535004,0.000000,0.535004,0.535004
Validation R2 H120,0.336088,0.000000,0.336088,0.336088
Validation R2 H144,0.591954,0.000000,0.591954,0.591954
Validation Uncertainty H24,0.001220,0.000000,0.001220,0.001220
Validation Uncertainty H48,0.000938,0.000000,0.000938,0.000938
Validation Uncertainty H72,0.000874,0.000000,0.000874,0.000874
Validation Uncertainty H96,0.001069,0.000000,0.001069,0.001069
Validation Uncertainty H120,0.000968,0.000000,0.000968,0.000968
Validation Uncertainty H144,0.000835,0.000000,0.000835,0.000835
Validation SNR H24,1099.123047,0.000000,1099.123047,1099.123047
Validation SNR H48,1428.841553,0.000000,1428.841553,1428.841553
Validation SNR H72,1533.148071,0.000000,1533.148071,1533.148071
Validation SNR H96,1253.888916,0.000000,1253.888916,1253.888916
Validation SNR H120,1384.522217,0.000000,1384.522217,1384.522217
Validation SNR H144,1604.836304,0.000000,1604.836304,1604.836304
Test MAE H24,0.002054,0.000000,0.002054,0.002054
Test MAE H48,0.001764,0.000000,0.001764,0.001764
Test MAE H72,0.001918,0.000000,0.001918,0.001918
Test MAE H96,0.002456,0.000000,0.002456,0.002456
Test MAE H120,0.002340,0.000000,0.002340,0.002340
Test MAE H144,0.001982,0.000000,0.001982,0.001982
Test Naive MAE H24,0.000309,0.000000,0.000309,0.000309
Test Naive MAE H48,0.000455,0.000000,0.000455,0.000455
Test Naive MAE H72,0.000568,0.000000,0.000568,0.000568
Test Naive MAE H96,0.000659,0.000000,0.000659,0.000659
Test Naive MAE H120,0.000728,0.000000,0.000728,0.000728
Test Naive MAE H144,0.000774,0.000000,0.000774,0.000774
Test R2 H24,-1.169301,0.000000,-1.169301,-1.169301
Test R2 H48,-0.702738,0.000000,-0.702738,-0.702738
Test R2 H72,-1.014886,0.000000,-1.014886,-1.014886
Test R2 H96,-2.185851,0.000000,-2.185851,-2.185851
Test R2 H120,-1.989191,0.000000,-1.989191,-1.989191
Test R2 H144,-1.308666,0.000000,-1.308666,-1.308666
Test Uncertainty H24,0.002451,0.000000,0.002451,0.002451
Test Uncertainty H48,0.002150,0.000000,0.002150,0.002150
Test Uncertainty H72,0.002138,0.000000,0.002138,0.002138
Test Uncertainty H96,0.002269,0.000000,0.002269,0.002269
Test Uncertainty H120,0.002313,0.000000,0.002313,0.002313
Test Uncertainty H144,0.002131,0.000000,0.002131,0.002131
Test SNR H24,543.434814,0.000000,543.434814,543.434814
Test SNR H48,619.775085,0.000000,619.775085,619.775085
Test SNR H72,623.202454,0.000000,623.202454,623.202454
Test SNR H96,586.990723,0.000000,586.990723,586.990723
Test SNR H120,575.729858,0.000000,575.729858,575.729858
Test SNR H144,625.095825,0.000000,625.095825,625.095825
