Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000059,0.000017,0.000036,0.000077
Train MAE H2,0.000047,0.000009,0.000039,0.000060
Train MAE H3,0.000068,0.000015,0.000057,0.000089
Train MAE H4,0.000060,0.000009,0.000051,0.000073
Train MAE H5,0.000074,0.000005,0.000067,0.000079
Train MAE H6,0.000072,0.000013,0.000060,0.000090
Train R2 H1,0.999999,0.000000,0.999999,1.000000
Train R2 H2,0.999999,0.000000,0.999999,1.000000
Train R2 H3,0.999999,0.000000,0.999998,0.999999
Train R2 H4,0.999999,0.000000,0.999999,0.999999
Train R2 H5,0.999999,0.000000,0.999999,0.999999
Train R2 H6,0.999999,0.000000,0.999999,0.999999
Train Uncertainty H1,0.000116,0.000007,0.000111,0.000126
Train Uncertainty H2,0.000142,0.000009,0.000135,0.000155
Train Uncertainty H3,0.000157,0.000011,0.000147,0.000173
Train Uncertainty H4,0.000172,0.000012,0.000162,0.000189
Train Uncertainty H5,0.000182,0.000014,0.000171,0.000202
Train Uncertainty H6,0.000197,0.000013,0.000183,0.000215
Train SNR H1,10670.655273,611.711609,9805.618164,11111.503906
Train SNR H2,8743.592773,558.210510,7954.578613,9160.278320
Train SNR H3,7873.462402,542.058716,7130.116211,8407.367188
Train SNR H4,7189.864746,481.542603,6514.251953,7601.737305
Train SNR H5,6807.783203,498.782288,6103.723145,7197.230957
Train SNR H6,6300.414062,414.979065,5744.130859,6740.491211
Validation MAE H1,0.000050,0.000018,0.000027,0.000072
Validation MAE H2,0.000040,0.000009,0.000031,0.000053
Validation MAE H3,0.000063,0.000019,0.000049,0.000090
Validation MAE H4,0.000056,0.000013,0.000043,0.000073
Validation MAE H5,0.000078,0.000011,0.000064,0.000089
Validation MAE H6,0.000076,0.000013,0.000060,0.000093
Validation R2 H1,0.999995,0.000003,0.999991,0.999998
Validation R2 H2,0.999995,0.000002,0.999993,0.999997
Validation R2 H3,0.999990,0.000006,0.999982,0.999994
Validation R2 H4,0.999992,0.000003,0.999987,0.999995
Validation R2 H5,0.999987,0.000002,0.999984,0.999989
Validation R2 H6,0.999986,0.000004,0.999980,0.999991
Validation Uncertainty H1,0.000105,0.000008,0.000097,0.000116
Validation Uncertainty H2,0.000125,0.000011,0.000116,0.000140
Validation Uncertainty H3,0.000139,0.000010,0.000131,0.000153
Validation Uncertainty H4,0.000152,0.000011,0.000144,0.000167
Validation Uncertainty H5,0.000164,0.000013,0.000154,0.000183
Validation Uncertainty H6,0.000177,0.000012,0.000166,0.000194
Validation SNR H1,11419.500977,805.594666,10330.444336,12253.754883
Validation SNR H2,9666.805664,817.054260,8511.489258,10261.771484
Validation SNR H3,8651.311523,593.512512,7812.364258,9093.405273
Validation SNR H4,7900.244629,538.818787,7138.432617,8295.999023
Validation SNR H5,7346.259277,567.729736,6544.187988,7778.707520
Validation SNR H6,6796.601562,451.705872,6162.690430,7181.932617
Test MAE H1,0.000049,0.000021,0.000028,0.000078
Test MAE H2,0.000034,0.000006,0.000026,0.000041
Test MAE H3,0.000076,0.000023,0.000046,0.000102
Test MAE H4,0.000051,0.000017,0.000030,0.000072
Test MAE H5,0.000077,0.000023,0.000044,0.000097
Test MAE H6,0.000071,0.000020,0.000044,0.000091
Test R2 H1,0.999980,0.000012,0.999963,0.999992
Test R2 H2,0.999987,0.000004,0.999982,0.999992
Test R2 H3,0.999953,0.000026,0.999920,0.999983
Test R2 H4,0.999974,0.000014,0.999956,0.999990
Test R2 H5,0.999953,0.000016,0.999937,0.999976
Test R2 H6,0.999957,0.000020,0.999933,0.999981
Test Uncertainty H1,0.000079,0.000006,0.000074,0.000087
Test Uncertainty H2,0.000092,0.000008,0.000087,0.000103
Test Uncertainty H3,0.000105,0.000011,0.000095,0.000121
Test Uncertainty H4,0.000111,0.000009,0.000104,0.000123
Test Uncertainty H5,0.000119,0.000011,0.000110,0.000133
Test Uncertainty H6,0.000125,0.000007,0.000119,0.000135
Test SNR H1,14330.109375,1019.811157,12889.052734,15101.013672
Test SNR H2,12228.765625,965.896240,10864.676758,12973.095703
Test SNR H3,10840.562500,1106.294678,9293.870117,11817.964844
Test SNR H4,10176.152344,743.464905,9135.419922,10826.007812
Test SNR H5,9545.542969,800.345093,8418.605469,10200.323242
Test SNR H6,9028.518555,495.975098,8327.804688,9406.034180
