Metric,Average,Std Dev,Min,Max
Train MAE H24,0.000908,0.000186,0.000667,0.001120
Train MAE H48,0.001262,0.000452,0.000784,0.001868
Train MAE H72,0.001020,0.000103,0.000931,0.001165
Train MAE H96,0.000973,0.000168,0.000832,0.001210
Train MAE H120,0.001054,0.000285,0.000845,0.001457
Train MAE H144,0.004395,0.000296,0.003998,0.004710
Train R2 H24,0.999881,0.000037,0.999849,0.999933
Train R2 H48,0.999780,0.000110,0.999635,0.999903
Train R2 H72,0.999852,0.000026,0.999817,0.999880
Train R2 H96,0.999859,0.000042,0.999800,0.999893
Train R2 H120,0.999841,0.000075,0.999735,0.999901
Train R2 H144,0.997337,0.000313,0.997015,0.997762
Train Uncertainty H24,0.000940,0.000031,0.000897,0.000971
Train Uncertainty H48,0.001161,0.000178,0.000923,0.001353
Train Uncertainty H72,0.001137,0.000018,0.001116,0.001159
Train Uncertainty H96,0.001279,0.000037,0.001235,0.001325
Train Uncertainty H120,0.001351,0.000139,0.001174,0.001512
Train Uncertainty H144,0.001564,0.000149,0.001382,0.001748
Train SNR H24,1314.490479,44.187195,1270.768677,1375.017456
Train SNR H48,1090.561401,179.401566,911.579102,1335.781128
Train SNR H72,1084.594238,16.774431,1064.330200,1105.407959
Train SNR H96,964.736145,27.292791,931.043884,997.890808
Train SNR H120,922.723816,96.954582,815.851624,1050.551025
Train SNR H144,796.635071,76.016884,706.613708,892.537476
Validation MAE H24,0.000783,0.000139,0.000595,0.000928
Validation MAE H48,0.001106,0.000454,0.000596,0.001698
Validation MAE H72,0.000912,0.000091,0.000808,0.001029
Validation MAE H96,0.000820,0.000060,0.000742,0.000887
Validation MAE H120,0.000834,0.000067,0.000778,0.000928
Validation MAE H144,0.004708,0.000131,0.004529,0.004838
Validation R2 H24,0.998696,0.000368,0.998395,0.999214
Validation R2 H48,0.997437,0.001561,0.995404,0.999199
Validation R2 H72,0.998300,0.000322,0.997886,0.998671
Validation R2 H96,0.998561,0.000160,0.998398,0.998779
Validation R2 H120,0.998487,0.000185,0.998228,0.998654
Validation R2 H144,0.953626,0.002634,0.950924,0.957198
Validation Uncertainty H24,0.000872,0.000032,0.000832,0.000910
Validation Uncertainty H48,0.001091,0.000173,0.000852,0.001257
Validation Uncertainty H72,0.001035,0.000030,0.000995,0.001069
Validation Uncertainty H96,0.001132,0.000046,0.001073,0.001184
Validation Uncertainty H120,0.001175,0.000138,0.000994,0.001329
Validation Uncertainty H144,0.001326,0.000143,0.001156,0.001506
Validation SNR H24,1372.592407,50.359943,1314.408569,1437.253540
Validation SNR H48,1128.034058,197.459091,951.180847,1403.616577
Validation SNR H72,1156.635620,33.891766,1119.360962,1201.367554
Validation SNR H96,1057.264771,43.010765,1010.106384,1114.114868
Validation SNR H120,1032.303467,126.653099,899.440918,1202.764404
Validation SNR H144,911.083191,97.516136,793.363098,1032.157227
Test MAE H24,0.000690,0.000141,0.000504,0.000846
Test MAE H48,0.000893,0.000419,0.000461,0.001460
Test MAE H72,0.000713,0.000120,0.000561,0.000853
Test MAE H96,0.000609,0.000060,0.000526,0.000663
Test MAE H120,0.000616,0.000041,0.000564,0.000663
Test MAE H144,0.003298,0.000208,0.003051,0.003559
Test R2 H24,0.996029,0.001305,0.994760,0.997824
Test R2 H48,0.993078,0.004891,0.986434,0.998066
Test R2 H72,0.995709,0.001218,0.994190,0.997173
Test R2 H96,0.996721,0.000537,0.996335,0.997480
Test R2 H120,0.996659,0.000451,0.996103,0.997208
Test R2 H144,0.906805,0.010489,0.893315,0.918892
Test Uncertainty H24,0.000755,0.000029,0.000721,0.000792
Test Uncertainty H48,0.000935,0.000194,0.000674,0.001138
Test Uncertainty H72,0.000841,0.000023,0.000809,0.000862
Test Uncertainty H96,0.000940,0.000041,0.000882,0.000972
Test Uncertainty H120,0.000978,0.000148,0.000784,0.001144
Test Uncertainty H144,0.001187,0.000131,0.001029,0.001350
Test SNR H24,1490.299316,57.132126,1418.335327,1558.093384
Test SNR H48,1261.383057,291.538055,987.307678,1665.167236
Test SNR H72,1336.573364,37.498989,1304.160400,1389.129761
Test SNR H96,1197.341187,53.607807,1155.141724,1272.985352
Test SNR H120,1177.089233,189.110764,981.691223,1432.930664
Test SNR H144,958.383972,105.768677,832.328430,1091.147095
