Metric,Average,Std Dev,Min,Max
Train MAE H1,0.000208,0.000126,0.000030,0.000301
Train MAE H2,0.000179,0.000186,0.000036,0.000442
Train MAE H3,0.000209,0.000227,0.000047,0.000529
Train MAE H4,0.000235,0.000272,0.000039,0.000620
Train MAE H5,0.000060,0.000015,0.000046,0.000080
Train MAE H6,0.000058,0.000003,0.000054,0.000062
Train R2 H1,0.999932,0.000047,0.999899,1.000000
Train R2 H2,0.999931,0.000094,0.999798,0.999999
Train R2 H3,0.999898,0.000141,0.999698,0.999999
Train R2 H4,0.999865,0.000189,0.999598,0.999999
Train R2 H5,0.999999,0.000000,0.999998,0.999999
Train R2 H6,0.999998,0.000000,0.999998,0.999998
Train Uncertainty H1,0.000038,0.000018,0.000020,0.000063
Train Uncertainty H2,0.000059,0.000020,0.000031,0.000073
Train Uncertainty H3,0.000066,0.000022,0.000035,0.000083
Train Uncertainty H4,0.000071,0.000026,0.000034,0.000091
Train Uncertainty H5,0.000098,0.000003,0.000096,0.000102
Train Uncertainty H6,0.000105,0.000002,0.000102,0.000107
Train SNR H1,36461.011719,15504.294922,17592.562500,55567.925781
Train SNR H2,21960.322266,9692.180664,15055.097656,35667.003906
Train SNR H3,19633.568359,8664.865234,13211.145508,31882.712891
Train SNR H4,18914.552734,9250.501953,12098.145508,31992.820312
Train SNR H5,11202.567383,310.677429,10763.677734,11439.704102
Train SNR H6,10488.643555,252.426285,10286.948242,10844.574219
Validation MAE H1,0.000524,0.000327,0.000061,0.000755
Validation MAE H2,0.000426,0.000457,0.000085,0.001073
Validation MAE H3,0.000505,0.000572,0.000084,0.001314
Validation MAE H4,0.000573,0.000680,0.000085,0.001535
Validation MAE H5,0.000103,0.000018,0.000084,0.000126
Validation MAE H6,0.000101,0.000012,0.000087,0.000116
Validation R2 H1,0.998925,0.000751,0.998393,0.999988
Validation R2 H2,0.998926,0.001472,0.996845,0.999978
Validation R2 H3,0.998430,0.002176,0.995352,0.999977
Validation R2 H4,0.997906,0.002923,0.993772,0.999978
Validation R2 H5,0.999971,0.000004,0.999966,0.999976
Validation R2 H6,0.999968,0.000008,0.999957,0.999976
Validation Uncertainty H1,0.000062,0.000051,0.000020,0.000134
Validation Uncertainty H2,0.000114,0.000058,0.000031,0.000158
Validation Uncertainty H3,0.000131,0.000069,0.000034,0.000187
Validation Uncertainty H4,0.000143,0.000077,0.000035,0.000204
Validation Uncertainty H5,0.000215,0.000006,0.000208,0.000222
Validation Uncertainty H6,0.000228,0.000011,0.000216,0.000243
Validation SNR H1,35847.824219,21110.238281,8942.548828,60505.050781
Validation SNR H2,17842.158203,14331.901367,7580.594238,38109.992188
Validation SNR H3,16096.073242,13330.138672,6385.744629,34944.843750
Validation SNR H4,15440.184570,13281.732422,5851.958984,34222.007812
Validation SNR H5,5550.029785,144.265320,5391.225586,5740.358398
Validation SNR H6,5255.903809,247.571701,4924.322266,5519.048828
Test MAE H1,0.000370,0.000233,0.000041,0.000535
Test MAE H2,0.000298,0.000325,0.000054,0.000758
Test MAE H3,0.000354,0.000406,0.000059,0.000928
Test MAE H4,0.000399,0.000480,0.000055,0.001078
Test MAE H5,0.000069,0.000014,0.000055,0.000089
Test MAE H6,0.000065,0.000003,0.000061,0.000067
Test R2 H1,0.997564,0.001706,0.996357,0.999977
Test R2 H2,0.997574,0.003346,0.992841,0.999962
Test R2 H3,0.996485,0.004891,0.989569,0.999958
Test R2 H4,0.995431,0.006398,0.986383,0.999964
Test R2 H5,0.999948,0.000012,0.999934,0.999963
Test R2 H6,0.999950,0.000005,0.999946,0.999957
Test Uncertainty H1,0.000049,0.000034,0.000020,0.000097
Test Uncertainty H2,0.000084,0.000038,0.000031,0.000112
Test Uncertainty H3,0.000097,0.000045,0.000035,0.000133
Test Uncertainty H4,0.000106,0.000050,0.000035,0.000144
Test Uncertainty H5,0.000155,0.000003,0.000152,0.000160
Test Uncertainty H6,0.000162,0.000006,0.000154,0.000170
Test SNR H1,35260.402344,18449.720703,11560.059570,56560.898438
Test SNR H2,18846.914062,12374.795898,10021.851562,36347.304688
Test SNR H3,16625.580078,11168.322266,8457.992188,32416.849609
Test SNR H4,16041.312500,11404.044922,7785.786621,32167.537109
Test SNR H5,7229.165527,157.572769,7022.492676,7404.671875
Test SNR H6,6927.940918,273.914581,6627.700195,7290.041016
